v_mps,signal_arb
5.6536,0.237376979934881
11.3072,0.478075000009868
16.9608,0.70119044889548
22.6144,0.889816971474765
28.268,1.02298336359069
33.9216,1.14250208159789
39.5752,1.30881746188598
45.2288,1.51795633584149
50.8824,1.6605250747766
56.536,1.74716289072449
62.1896,1.83654081385166
67.8432,2.04126187892242
73.4968,2.27045143235145
79.1504,2.45936146854596
84.804,2.57955159410288
90.4576,2.72827256625832
96.1112,2.91689764562503
101.7648,3.06333741085996
107.4184,3.16882907197158
113.072,3.2529008171177
118.7256,3.42569355980938
124.3792,3.596424683226
130.0328,3.7308875216063
135.6864,3.8392599706882
141.34,3.94525527174001
146.9936,4.15210024699567
152.6472,4.37171249529881
158.3008,4.57186062809631
163.9544,4.62931607814545
169.608,4.62080866992487
175.2616,4.61967234261247
180.9152,4.73146853872208
186.5688,4.95516442219462
192.2224,5.18971867159362
197.876,5.371457217781
203.5296,5.53375387816919
209.1832,5.68644336837778
214.8368,5.79670869237064
220.4904,5.78004849723545
226.144,5.7999001979479
231.7976,5.90754490262854
237.4512,6.06643342786479
243.1048,6.29245442454179
248.7584,6.54608185387485
254.412,6.72272724426456
260.0656,6.71218299671555
265.7192,6.78194751553642
271.3728,7.09811758627332
277.0264,7.50653124676304
282.68,7.80309700270552
288.3336,7.85364453208858
293.9872,7.77453510668358
299.6408,7.63612667751212
305.2944,7.6704690362497
310.948,7.77450182162159
316.6016,7.81245192628322
322.2552,8.01029056575131
327.9088,8.30955051419679
333.5624,8.5707392842324
339.216,8.7590882276035
344.8696,8.99123502266607
350.5232,9.36660834860999
356.1768,9.69650109042431
361.8304,9.81725455883189
367.484,9.97847458181629
373.1376,10.1669242786417
378.7912,10.5554580475373
384.4448,10.9165520690923
390.0984,11.032994353869
395.752,11.0856501485327
401.4056,11.238706553925
407.0592,11.553474261194
412.7128,11.8904412093393
418.3664,12.0742856785923
424.02,12.1634046270966
429.6736,12.1131274486801
435.3272,12.0637979688513
440.9808,12.2219259072155
446.6344,12.6132447907415
452.288,12.9915479519633
457.9416,13.2823835455665
463.5952,13.4381382290015
469.2488,13.5358208843247
474.9024,13.6810877447234
480.556,13.9221089701667
486.2096,14.3134558471808
491.8632,14.7414159926454
497.5168,14.7924102340161
503.1704,14.6602299711274
508.824,14.3254168564952
514.4776,14.1618756137419
520.1312,14.3716378996264
525.7848,14.8189271566227
531.4384,15.0539833639994
537.092,15.0906626668305
542.7456,15.1794947196611
548.3992,15.4295188714969
554.0528,15.77942127612
559.7064,16.3736786360579
565.36,16.997246730135
571.0136,17.3256305516266
576.6672,17.2413905484464
582.3208,17.0146779825707
587.9744,16.9289768363884
593.628,16.8725077735567
599.2816,17.233074654025
604.9352,17.7762140832697
610.5888,18.4384893682793
616.2424,18.8314914142167
621.896,18.8507577625274
627.5496,18.7475614852179
633.2032,18.6152166937011
638.8568,18.5842740328815
644.5104,18.5472840572398
650.164,18.5387672155667
655.8176,18.4847541628776
661.4712,18.4953920153135
667.1248,18.478961620667
672.7784,18.5146737182537
678.432,18.7410114533499
684.0856,18.7998862197912
689.7392,18.8130583437217
695.3928,19.0582375366468
701.0464,19.2957249694728
706.7,19.4327475709855
712.3536,18.7267322474038
718.0072,17.7879457790372
723.6608,17.3367552501188
729.3144,17.6933777861653
734.968,18.1128944908112
740.6216,17.9870188467132
746.2752,17.6021252657264
751.9288,17.2883533319262
757.5824,17.1598508515785
763.236,17.1567593446814
768.8896,17.0539254183407
774.5432,17.235853497231
780.1968,17.4502780672174
785.8504,17.5560313824032
791.504,17.3568863257076
797.1576,16.8816002800959
802.8112,16.6345307099187
808.4648,16.4961110006533
814.1184,16.4124174134376
819.772,16.0687173787967
825.4256,15.6869969424823
831.0792,15.2899424679265
836.7328,14.8819001408459
842.3864,14.4060903741885
848.04,13.9259619077725
853.6936,13.6602918562771
859.3472,13.4919499231983
865.0008,13.2926740024694
870.6544,13.081852029527
876.308,13.0588903888967
881.9616,13.3508268251822
887.6152,13.5566400195729
893.2688,13.4886781503824
898.9224,13.0382978634481
904.576,12.790504175319
910.2296,12.6149202605465
915.8832,12.4738400270817
921.5368,12.0062096573313
927.1904,11.524635433808
932.844,11.4131745270544
938.4976,11.3704280962735
944.1512,11.2679224250013
949.8048,11.0573798435696
955.4584,10.7517978341303
961.112,10.4940326221378
966.7656,10.4046799931146
972.4192,10.4371949971974
978.0728,10.5211926256872
983.7264,10.2747651688633
989.38,9.8039603366539
995.0336,9.11670530395196
1000.6872,8.65511472844351
1006.3408,8.20995783444443
1011.9944,7.80566167263064
1017.648,7.60642855999928
1023.3016,7.59079482570456
1028.9552,7.94072149904137
1034.6088,8.17750493554379
1040.2624,8.38877195540134
1045.916,8.29061372600263
1051.5696,8.13518767233035
1057.2232,8.1940542965885
1062.8768,8.31443170270309
1068.5304,7.92129069160717
1074.184,7.25609359641546
1079.8376,6.85162127456009
1085.4912,6.95918531923639
1091.1448,7.08647364982589
1096.7984,6.95897161076691
1102.452,6.5502287527335
1108.1056,6.43815452803146
1113.7592,6.45145324248028
1119.4128,6.46976332344177
1125.0664,6.29286887227967
1130.72,5.913321325271
1136.3736,5.44706230573828
1142.0272,5.09537278613889
1147.6808,5.14901522957058
1153.3344,5.41775131053182
1158.988,5.57844837127827
1164.6416,5.68922701276822
1170.2952,5.60391964861692
1175.9488,5.62052473155339
1181.6024,5.51922891196394
1187.256,5.5054379597978
1192.9096,5.39161770987648
1198.5632,5.15265899169399
1204.2168,4.91230235480249
1209.8704,4.83245448502867
1215.524,4.7621147756092
1221.1776,4.67497225312867
1226.8312,4.58300282605307
1232.4848,4.40385083541716
1238.1384,4.32728465402313
1243.792,4.15368090105428
1249.4456,3.97999546098987
1255.0992,3.81024837779175
1260.7528,3.69644765356568
1266.4064,3.57411155723573
1272.06,3.43856077154408
1277.7136,3.40667659712211
1283.3672,3.41306879538652
1289.0208,3.48528463445543
1294.6744,3.35956054224602
1300.328,3.3481923881493
1305.9816,3.35620178394676
1311.6352,3.31358852286401
1317.2888,3.12027739632903
1322.9424,2.87814046910815
1328.596,2.76643281129185
1334.2496,2.79868964041023
1339.9032,2.7382407919651
1345.5568,2.59652568250693
1351.2104,2.42587187695846
1356.864,2.57478791828382
1362.5176,2.87889507622658
1368.1712,3.19564461402982
1373.8248,3.33323761297358
1379.4784,3.21991844510134
1385.132,2.8860405818221
1390.7856,2.46463569223306
1396.4392,2.14786663074134
1402.0928,2.04626646958718
1407.7464,2.16367067687661
1413.4,2.13576510704596
1419.0536,2.04225928578372
1424.7072,2.19507755344791
