t_ps,v_spline_Aps,F_drag_amuAps2
2.67,4.932931699690619,335.9662555215451
2.671,4.932293227080149,335.9621205456373
2.672,4.9316547503488515,335.95795024818693
2.673,4.9310162695066335,335.9537435766411
2.674,4.93037778456341,335.94949914733684
2.675,4.929739295529091,335.9452159246881
2.676,4.929100802413589,335.9408926843487
2.677,4.928462305226815,335.9365279457765
2.678,4.92782380397868,335.9321207836319
2.679,4.927185298679098,335.9276702907321
2.68,4.926546789337978,335.9231751531237
2.681,4.925908275965233,335.9186338465191
2.682,4.925269758570775,335.91404485235523
2.683,4.9246312371645145,335.9094070432536
2.684,4.923992711756363,335.90471848137145
2.685,4.923354182356231,335.89997722558246
2.686,4.922715648974035,335.89518187368674
2.687,4.922077111619681,335.890331095291
2.688,4.921438570303083,335.885423258669
2.689,4.920800025034155,335.8804572850554
2.69,4.920161475822802,335.8754323590901
2.691,4.919522922678942,335.8703471565252
2.692,4.918884365612484,335.8652001112086
2.693,4.91824580463334,335.8599895033235
2.694,4.9176072397514226,335.85471376592307
2.695,4.91696867097664,335.84937125570116
2.696,4.916330098318908,335.84396065207545
2.697,4.915691521788136,335.838480977209
2.698,4.915052941394235,335.832931187465
2.699,4.914414357147118,335.82730989246295
2.7,4.913775769056697,335.8216155919316
2.701,4.9131371771328824,335.81584722272237
2.702,4.912498581385584,335.8100037415792
2.703,4.911859981824718,335.8040839121596
2.704,4.911221378460192,335.7980863107307
2.705,4.910582771301921,335.7920096873271
2.706,4.909944160359815,335.7858528754334
2.707,4.909305545643783,335.7796145833075
2.708,4.90866692716374,335.77329326719155
2.709,4.908028304929598,335.7668875884372
2.71,4.907389678951265,335.7603963500512
2.711,4.906751049238657,335.7538183176738
2.712,4.9061124158016804,335.7471520388781
2.713,4.9054737786502525,335.74039624638056
2.714,4.90483513779428,335.73355011439196
2.715,4.904196493243679,335.7266130451066
2.716,4.903557845008356,335.719584152139
2.717,4.902919193098229,335.71246231288444
2.718,4.902280537523204,335.70524639311355
2.719,4.901641878293195,335.69793517394163
2.72,4.901003215418114,335.69052765527294
2.721,4.90036454890787,335.6830226623749
2.722,4.899725878772378,335.6754192472636
2.723,4.899087205021547,335.6677163547894
2.724,4.89844852766529,335.6599128495579
2.725,4.897809846713518,335.6520076808393
2.726,4.897171162176144,335.64400009180645
2.727,4.896532474063077,335.6358893270133
2.728,4.895893782384232,335.6276743388743
2.729,4.8952550871495175,335.61935402282904
2.73,4.8946163883688465,335.6109276512236
2.731,4.893977686052129,335.6023945954809
2.732,4.893338980209278,335.59375403717485
2.733,4.892700270850208,335.58500527643173
2.734,4.8920615579848254,335.57614739043663
2.735,4.8914228416230445,335.56717960902427
2.736,4.890784121774776,335.5581012670366
2.737,4.890145398449933,335.5489117177888
2.738,4.889506671658425,335.5396106582531
2.739,4.888867941410167,335.5301981417433
2.74,4.888229207715066,335.5206740619984
2.741,4.887590470583039,335.5110382949173
2.742,4.886951730023991,335.50129039894716
2.743,4.886312986047839,335.4914300264792
2.744,4.885674238664492,335.4814571499411
2.745,4.885035487883862,335.47137171934895
2.746,4.884396733715863,335.46117307740417
2.747,4.883757976170402,335.45086089875406
2.748,4.883119215257393,335.4404349568588
2.749,4.88248045098675,335.4298950778863
2.75,4.881841683368382,335.41924130577365
2.751,4.881202912412201,335.4084737167446
2.752,4.880564138128118,335.39759226323685
2.753,4.879925360526044,335.38659667318234
2.754,4.879286579615894,335.3754868968151
2.755,4.878647795407575,335.3642631214857
2.756,4.878009007911005,335.3529256193615
2.757,4.877370217136088,335.3414744760319
2.758,4.87673142309274,335.32990974176914
2.759,4.876092625790872,335.3182310384426
2.76,4.875453825240395,335.3064382355719
2.761,4.874815021451221,335.2945313385319
2.762,4.874176214433263,335.28251056559185
2.763,4.873537404196431,335.27037602035784
2.764,4.872898590750637,335.25812742802
2.765,4.872259774105792,335.2457645630956
2.766,4.871620954271807,335.2332872443326
2.767,4.870982131258596,335.2206952504102
2.768,4.8703433050760685,335.20798816784986
2.769,4.869704475734137,335.1951654871737
2.77,4.869065643242713,335.1822268009706
2.771,4.868426807611708,335.1691718454647
2.772,4.867787968851035,335.15600033499686
2.773,4.867149126970602,335.1427120274877
2.774,4.866510281980325,335.1293067492054
2.775,4.865871433890112,335.1157844142417
2.776,4.8652325827098775,335.1021446571283
2.777,4.864593728449529,335.0883871099116
2.778,4.863954871118984,335.07451167392975
2.779,4.863316010728149,335.06051814426144
2.78,4.862677147286939,335.0464063744662
2.781,4.862038280805263,335.03217597811704
2.782,4.861399411293033,335.01782676157586
2.783,4.860760538760164,335.0033588610248
2.784,4.860121663216563,334.9887723982554
2.785,4.859482784672144,334.9740673524314
2.786,4.858843903136817,334.9592433141146
2.787,4.858205018620497,334.94429999602846
2.788,4.857566131133092,334.92923746578936
2.789,4.856927240684515,334.91405564005595
2.79,4.856288347284678,334.89875425324465
2.791,4.855649450943492,334.88333339293354
2.792,4.855010551670867,334.8677929614969
2.793,4.854371649476718,334.852132760467
2.794,4.853732744370957,334.8363527855037
2.795,4.853093836363491,334.82045280301446
2.796,4.852454925464234,334.8044326991486
2.797,4.851816011683099,334.7882923004797
2.798,4.851177095029997,334.77203140832444
2.799,4.850538175514837,334.75565009242064
2.8,4.849899253147534,334.7391485233112
2.801,4.849260327937998,334.72252695286096
2.802,4.848621399896141,334.70578584653845
2.803,4.847982469031874,334.6889258558739
2.804,4.84734353535511,334.6719474056217
2.805,4.846704598875758,334.65485087526076
