v_Aps,signal_arb
0.086178,33.3221889605405
0.172356,72.0786818909478
0.258534,117.749834279345
0.344712,172.725140505901
0.43089,253.636123615168
0.517068,420.156627838493
0.603246,701.574025182638
0.689424,1045.57618615966
0.775602,1433.84111350495
0.86178,1801.31707740754
0.947958,1955.40383569106
1.034136,1914.57261011909
1.120314,1761.60814271234
1.206492,1534.53804567632
1.29267,1279.3654963961
1.378848,1106.65358296782
1.465026,1015.28757304007
1.551204,962.520719888143
1.637382,922.177940209536
1.72356,889.090402080486
1.809738,850.375910949862
1.895916,803.907173742055
1.982094,752.785836749393
2.068272,696.875074430159
2.15445,639.998479579054
2.240628,599.385569707033
2.326806,574.157261885565
2.412984,545.302269122526
2.499162,505.697402042655
2.58534,457.583562500011
2.671518,399.538160224666
2.757696,335.227616404532
2.843874,275.069172283681
2.930052,227.990157063863
3.01623,194.845112048773
3.102408,173.612155464779
3.188586,163.719510063809
3.274764,166.70673195542
3.360942,183.590273285033
3.44712,209.724438739809
3.533298,241.254528731201
3.619476,276.981756222616
3.705654,318.450269387753
3.791832,367.23698425394
3.87801,422.359604694218
3.964188,481.530984561196
4.050366,542.083604357708
4.136544,599.275424826486
4.222722,647.114573923073
4.3089,687.47049689617
4.395078,721.434184934808
4.481256,750.533857206468
4.567434,776.258162395701
4.653612,801.120729630266
4.73979,827.721852331689
4.825968,858.796164784098
4.912146,892.440930171987
4.998324,924.686926613796
5.084502,950.991921047207
5.17068,969.175058547871
5.256858,979.770743216965
5.343036,984.682343652435
5.429214,986.2955466718
5.515392,986.907917680628
5.60157,990.167648891405
5.687748,997.182631458399
5.773926,1007.57157343306
5.860104,1018.07095035326
5.946282,1024.6373090923
6.03246,1024.06298505906
6.118638,1015.18568226453
6.204816,998.877914930603
6.290994,975.633493525079
6.377172,949.306967478934
6.46335,924.354907078865
6.549528,904.813131710189
6.635706,890.55789252235
6.721884,884.485191377095
6.808062,884.980352400732
6.89424,888.096300000216
6.980418,891.17176717929
7.066596,893.915164117376
7.152774,898.063050965077
7.238952,906.836599810324
7.32513,921.171013304299
7.411308,940.238888969366
7.497486,963.602612130916
7.583664,991.933659434924
7.669842,1022.78321574125
7.75602,1052.12086447836
7.842198,1077.10937683756
7.928376,1096.98292956641
8.014554,1109.31237776363
8.100732,1111.91267750212
8.18691,1110.13115779682
8.273088,1107.56288104775
8.359266,1106.30028102617
8.445444,1110.17574324609
8.531622,1122.69871505352
8.6178,1140.56421591991
8.703978,1160.32043682096
8.790156,1179.59906763099
8.876334,1193.32806613189
8.962512,1197.51599397943
9.04869,1190.09407103283
9.134868,1173.09928258941
9.221046,1149.61633844757
9.307224,1121.21931482425
9.393402,1091.66231822172
9.47958,1066.34286195012
9.565758,1049.38356990208
9.651936,1041.16525985208
9.738114,1047.94209845904
9.824292,1070.60504753261
9.91047,1099.56322035164
9.996648,1131.36084402931
10.082826,1162.02829033371
10.169004,1186.65379989762
10.255182,1201.35410776885
10.34136,1206.44494171942
10.427538,1202.53269997098
10.513716,1190.63488279644
10.599894,1171.78850668035
10.686072,1144.90223362092
10.77225,1113.22335932074
10.858428,1079.63604672807
10.944606,1045.50148019419
11.030784,1012.04542055014
11.116962,979.565469848864
11.20314,948.501028748696
11.289318,918.226335283146
11.375496,889.234981371151
11.461674,863.566914663922
11.547852,841.454290538604
11.63403,823.403462065156
11.720208,808.044019108498
11.806386,794.403089448829
11.892564,781.710258770713
11.978742,768.38674461822
12.06492,752.936279588153
12.151098,734.38616842996
12.237276,711.964837754508
12.323454,684.693665930437
12.409632,651.736468577031
12.49581,615.656990604159
12.581988,577.289774073325
12.668166,538.217465633974
12.754344,500.019776233457
12.840522,464.135285134426
12.9267,430.314448485079
13.012878,398.764931500239
13.099056,369.575865125317
13.185234,342.892412587093
13.271412,319.40073168414
13.35759,297.770947118094
13.443768,277.362431200169
13.529946,257.682553765174
13.616124,238.700307393817
13.702302,220.521368299407
13.78848,202.873128790602
13.874658,185.621573870758
13.960836,168.799796902692
14.047014,152.303733564258
14.133192,136.207916461515
14.21937,120.678073974551
14.305548,105.983421691242
14.391726,92.7923341023293
14.477904,81.5561354051139
14.564082,73.5458136589816
14.65026,68.2662241097803
14.736438,65.4192095583512
14.822616,64.3860851369522
14.908794,64.7682555729561
14.994972,65.8877769171116
15.08115,67.1780215635145
15.167328,68.2611418485576
15.253506,69.3049628455874
15.339684,70.6481760192749
15.425862,72.8446070770048
15.51204,76.4563569403221
15.598218,81.1008113666933
15.684396,86.4067841037674
15.770574,91.9884012341825
15.856752,97.4557800381071
15.94293,102.945844707853
16.029108,108.669293860032
16.115286,115.586763254825
16.201464,125.826084015038
16.287642,142.298219160048
16.37382,163.078225317031
16.459998,187.255654406631
16.546176,213.104357179517
16.632354,238.157919730187
16.718532,259.624698140052
16.80471,275.907730502149
16.890888,287.4558449596
16.977066,295.311518413303
17.063244,300.239908685159
17.149422,304.685892233811
17.2356,312.276482760599
17.321778,324.590901797064
17.407956,341.704515502613
17.494134,364.883508641467
17.580312,393.763210253423
17.66649,424.681318386891
17.752668,455.610026253
17.838846,484.574311597222
17.925024,509.068755359276
18.011202,527.372914686043
18.09738,541.199413007484
18.183558,549.602203328822
18.269736,552.535873858752
18.355914,549.99286420262
18.442092,541.669354709265
18.52827,530.327679601597
18.614448,516.67255045837
18.700626,502.116537271308
