# Tier-0 MD ensemble-mean trajectory. run=18A_drag_tier0_N50, N=50, ion_steps=3000, window=[4.54,8.0] ps, m_eff=202.953908 amu.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
0.000000000000000000e+00,1.799999860081050329e+01,1.399189397344162032e-04,1.399189397344162032e-04
1.000000000000000021e-02,1.800020336178727476e+01,2.061577269002232149e-02,2.061577269002232149e-02
2.000000000000000042e-02,1.800082323168361143e+01,4.137047855617278364e-02,4.137047855617278364e-02
2.999999999999999889e-02,1.800185818079867062e+01,6.212320029352912110e-02,6.212320029352912110e-02
4.000000000000000083e-02,1.800330815940370854e+01,8.287293358642225383e-02,8.287293358642225383e-02
5.000000000000000278e-02,1.800517309762537366e+01,1.036186684253699031e-01,1.036186684253699031e-01
6.000000000000000472e-02,1.800745290533452092e+01,1.243593893663007127e-01,1.243593893663007127e-01
7.000000000000000666e-02,1.801014747204028765e+01,1.450940757930997416e-01,1.450940757930997416e-01
8.000000000000000167e-02,1.801325666678904014e+01,1.658217021828790605e-01,1.658217021828790605e-01
8.999999999999999667e-02,1.801678033806917867e+01,1.865412383738941082e-01,1.865412383738941082e-01
9.999999999999999167e-02,1.802071831372087729e+01,2.072516498359653070e-01,2.072516498359653070e-01
1.099999999999999867e-01,1.802507040085157897e+01,2.279518979434151382e-01,2.279518979434151382e-01
1.199999999999999817e-01,1.802983638575678071e+01,2.486409402501336963e-01,2.486409402501336963e-01
1.299999999999999767e-01,1.803501603384637519e+01,2.693177307666111409e-01,2.693177307666111409e-01
1.399999999999999856e-01,1.804060908957668019e+01,2.899812202392612059e-01,2.899812202392612059e-01
1.499999999999999944e-01,1.804661527638786822e+01,3.106303564313160348e-01,3.106303564313160348e-01
1.600000000000000033e-01,1.805303429664720127e+01,3.312640844052896494e-01,3.312640844052896494e-01
1.700000000000000122e-01,1.805986583159783265e+01,3.518813468070772776e-01,3.518813468070772776e-01
1.800000000000000211e-01,1.806710954131338198e+01,3.724810841513320203e-01,3.724810841513320203e-01
1.900000000000000300e-01,1.807476506465811639e+01,3.930622351079884891e-01,3.930622351079884891e-01
2.000000000000000389e-01,1.808283201925301853e+01,4.136237367897466766e-01,4.136237367897466766e-01
2.100000000000000477e-01,1.809131000144749279e+01,4.341645250405741230e-01,4.341645250405741230e-01
2.200000000000000566e-01,1.810019858629690503e+01,4.546835347246737657e-01,4.546835347246737657e-01
2.300000000000000655e-01,1.810949732754589903e+01,4.751797000160029039e-01,4.751797000160029039e-01
2.400000000000000744e-01,1.811920575761749319e+01,4.956519546884430860e-01,4.956519546884430860e-01
2.500000000000000555e-01,1.812932338760801088e+01,5.160992324058873981e-01,5.160992324058873981e-01
2.600000000000000644e-01,1.813984970728780510e+01,5.365204670123336905e-01,5.365204670123336905e-01
2.700000000000000733e-01,1.815078418510775293e+01,5.569145928220726738e-01,5.569145928220726738e-01
2.800000000000000822e-01,1.816212626821159404e+01,5.772805449094025043e-01,5.772805449094025043e-01
2.900000000000000910e-01,1.817387538245401757e+01,5.976172593979813819e-01,5.976172593979813819e-01
3.000000000000000999e-01,1.818603093242460034e+01,6.179236737496583975e-01,6.179236737496583975e-01
3.100000000000001088e-01,1.819859230147740092e+01,6.381987270524355216e-01,6.381987270524355216e-01
3.200000000000001177e-01,1.821155885176647971e+01,6.584413603074479315e-01,6.584413603074479315e-01
3.300000000000001266e-01,1.822492992428689362e+01,6.786505167149186057e-01,6.786505167149186057e-01
3.400000000000001354e-01,1.823870483892168082e+01,6.988251419589738278e-01,6.988251419589738278e-01
