time,cleaned_SG,IMF_cleaned
2.67,4.941823728767045,4.671971122084195
2.671,4.9411911774535255,4.676194208427295
2.672,4.940558626140006,4.680163723452813
2.673,4.939926074826486,4.683870989895991
2.674,4.939293523512967,4.687330776943
2.675,4.938660972199448,4.690544763144522
2.676,4.938028420885928,4.693507058303157
2.677,4.937395869572408,4.696228229079237
2.678,4.936763318258889,4.698729409206447
2.679,4.936130766945369,4.701027429824889
2.68,4.935498215631849,4.703156566956945
2.681,4.93486566431833,4.7050994630895895
2.682,4.934233113004811,4.706861598609725
2.683,4.933600561691291,4.708483965998187
2.684,4.932968010377771,4.709972715319599
2.685,4.932335459064252,4.711331458708406
2.686,4.931702907750732,4.712576947494726
2.687,4.931070356437212,4.713720044020706
2.688,4.930437805123693,4.714777240890515
2.689,4.929805253810174,4.715723401425081
2.69,4.929172702496654,4.716568623424811
2.691,4.928540151183134,4.717310480298584
2.692,4.927907599869615,4.717960748803762
2.693,4.927275048556095,4.718552726538722
2.694,4.926642497242575,4.719053730787763
2.695,4.926009945929056,4.719458231400527
2.696,4.925377394615537,4.719779100297809
2.697,4.924744843302017,4.720038490159388
2.698,4.924112291988497,4.720235987304142
2.699,4.923479740674978,4.72037512338037
2.7,4.922847189361458,4.720491198317334
2.701,4.922214638047938,4.720590080508196
2.702,4.921582086734419,4.720662851967705
2.703,4.9209495354209,4.7207205995492485
2.704,4.92031698410738,4.720758879644499
2.705,4.9196844327938605,4.720785128528936
2.706,4.919051881480341,4.720804050158935
2.707,4.918419330166821,4.720845451896297
2.708,4.917786778853301,4.72090703005237
2.709,4.917154227539782,4.720960368379487
2.71,4.916521676226262,4.7210303318280324
2.711,4.915889124912743,4.721128309243213
2.712,4.9152565735992235,4.721235334298263
2.713,4.914624022285704,4.721358584968068
2.714,4.913991470972184,4.721488601942869
2.715,4.9133589196586644,4.72161689530291
2.716,4.912726368345145,4.721750798037376
2.717,4.912093817031625,4.721895409483267
2.718,4.911461265718106,4.722047737737493
2.719,4.910828714404587,4.722189613573189
2.72,4.910196163091067,4.722320393230234
2.721,4.909563611777547,4.72244000909478
2.722,4.9089310604640275,4.72254450250751
2.723,4.908298509150508,4.722646153513974
2.724,4.907665957836988,4.722748299482184
2.725,4.907033406523469,4.72285094600203
2.726,4.90640085520995,4.722970130855882
2.727,4.90576830389643,4.723100985343328
2.728,4.90513575258291,4.723223724844507
2.729,4.9045032012693905,4.723337576019959
2.73,4.903870649955871,4.723446908630988
2.731,4.903238098642351,4.723546587044807
2.732,4.902605547328832,4.723638769764462
2.733,4.901972996015313,4.723726141030603
2.734,4.901340444701793,4.7238132337522085
2.735,4.900707893388273,4.723885351652932
2.736,4.900075342074754,4.72395002645652
2.737,4.899442790761234,4.723999602272821
2.738,4.898810239447714,4.724037459198638
2.739,4.8981776881341945,4.72406807589994
2.74,4.897545136820676,4.724074464482788
2.741,4.896912585507156,4.724062833982378
2.742,4.896280034193636,4.7240432170091875
2.743,4.895647482880117,4.724018345000416
2.744,4.895014931566597,4.7239923597942655
2.745,4.894382380253077,4.723955734945451
2.746,4.893749828939558,4.723914265024193
2.747,4.893117277626039,4.723883090837912
2.748,4.892484726312519,4.723850139261308
2.749,4.891852174998999,4.723814016372129
2.75,4.89121962368548,4.7237749894953405
2.751,4.89058707237196,4.723750096200375
2.752,4.88995452105844,4.72373898774151
2.753,4.889321969744921,4.723729564281176
2.754,4.888689418431402,4.723723642880562
2.755,4.888056867117882,4.723723170838515
2.756,4.887424315804362,4.723732511772146
2.757,4.886791764490843,4.723764309514363
2.758,4.886159213177323,4.723797622783024
2.759,4.885526661863803,4.723832574424588
2.76,4.884894110550284,4.723865474867464
2.761,4.884261559236764,4.723898429384163
2.762,4.883629007923245,4.723916804820459
2.763,4.8829964566097255,4.723930868355219
2.764,4.882363905296206,4.723947755062488
2.765,4.881731353982686,4.723963488068784
2.766,4.881098802669166,4.723960119838891
2.767,4.880466251355647,4.723950111052302
2.768,4.879833700042127,4.723940716817566
2.769,4.879201148728608,4.723935466482179
2.77,4.8785685974150885,4.723936293762911
2.771,4.877936046101569,4.723927349933354
2.772,4.877303494788049,4.723907369907526
2.773,4.8766709434745295,4.723871826768047
2.774,4.87603839216101,4.723829727811221
2.775,4.87540584084749,4.723771714234129
2.776,4.874773289533971,4.723720725911258
2.777,4.874140738220452,4.723683166250797
2.778,4.873508186906932,4.7236490131505375
2.779,4.872875635593412,4.723628339792315
2.78,4.8722430842798925,4.7236249185659425
2.781,4.871610532966373,4.72364048138491
2.782,4.870977981652853,4.723672432379323
2.783,4.870345430339334,4.723740424290182
2.784,4.869712879025815,4.723834502566064
2.785,4.869080327712295,4.723932903077641
2.786,4.868447776398775,4.724026550879084
2.787,4.8678152250852555,4.724122437141879
2.788,4.867182673771736,4.7242101432455215
