time,cleaned_SG,IMF_cleaned
2.67,4.944616269689972,4.894747497303336
2.671,4.944004656291181,4.902117215939931
2.672,4.943393133924839,4.9094615558109105
2.673,4.942781702590945,4.91677479618146
2.674,4.942170362289501,4.924066668388933
2.675,4.941559113020504,4.931329649681145
2.676,4.940947954783957,4.938547615643319
2.677,4.940336887579859,4.94572078612808
2.678,4.939725911408209,4.9528599480614055
2.679,4.939115026269008,4.959971585775685
2.68,4.938504232162255,4.967079626021634
2.681,4.937893529087951,4.974156352158656
2.682,4.937282917046097,4.98119688298212
2.683,4.93667239603669,4.988231837889492
2.684,4.936061966059733,4.995256954950021
2.685,4.935451627115224,5.002265474406022
2.686,4.934841379203164,5.009263866638717
2.687,4.934231222323553,5.016252716513897
2.688,4.93362115647639,5.023238319202528
2.689,4.933011181661676,5.030185558043301
2.69,4.932401297879411,5.037095157389977
2.691,4.931791505129595,5.043955654401265
2.692,4.931181803412227,5.050769965357359
2.693,4.930572192727308,5.057562693701067
2.694,4.929962673074837,5.064292578699548
2.695,4.929353244454816,5.0709458677082
2.696,4.928743906867243,5.077527632353181
2.697,4.92813466031212,5.084052837001373
2.698,4.927525504789444,5.090514538285686
2.699,4.926916440299217,5.096910368142989
2.7,4.92630746684144,5.103270183050393
2.701,4.92569858441611,5.109594939425299
2.702,4.92508979302323,5.1158712602249325
2.703,4.9244810926627975,5.12210630696961
2.704,4.923872483334815,5.128292180887773
2.705,4.923263965039281,5.1344332039937495
2.706,4.922655537776195,5.14053143540085
2.707,4.922047201545558,5.1466142820288034
2.708,4.92143895634737,5.152677238143403
2.709,4.920830802181631,5.158689974981106
2.71,4.92022273904834,5.164675743977315
2.711,4.919614766947498,5.170644626376834
2.712,4.919006885879105,5.1765764552478455
2.713,4.91839909584316,5.182477153059088
2.714,4.9177913968396645,5.188335938881488
2.715,4.917183788868617,5.194143211944302
2.716,4.916576271930019,5.199905426281433
2.717,4.91596884602387,5.205626906999344
2.718,4.915361511150168,5.211303938464026
2.719,4.914754267308917,5.216917755755175
2.72,4.914147114500113,5.222467319916541
2.721,4.913540052723758,5.227952328602308
2.722,4.912933081979852,5.233368626374308
2.723,4.912326202268395,5.238728232867116
2.724,4.9117194135893865,5.244034493343556
2.725,4.911112715942827,5.249287530045194
2.726,4.910506109328716,5.254503458868845
2.727,4.9098995937470535,5.259677550544264
2.728,4.90929316919784,5.264790152882778
2.729,4.908686835681075,5.269840710719851
2.73,4.908080593196758,5.274833998160519
