E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
0.00044,25.5,0.02490,0.89729,NaN,NaN
0.00176,50.9,0.05862,1.05636,NaN,NaN
0.00396,76.4,0.08530,1.02482,NaN,NaN
0.00704,101.9,0.11253,1.01395,NaN,NaN
0.01100,127.3,0.15544,1.12049,0.01308,0.12097
0.01584,152.8,0.18435,1.10742,0.00000,0.00000
0.02155,178.3,0.19606,1.00947,0.02847,0.18800
0.02815,203.7,0.20518,0.92438,0.00000,0.00000
0.03563,229.2,0.21121,0.84582,0.01144,0.05877
0.04399,254.7,0.26122,0.94150,0.00000,0.00000
0.05323,280.1,0.27619,0.90494,0.00000,0.00000
0.06334,305.6,0.28005,0.84113,0.04599,0.17719
0.07434,331.0,0.32279,0.89494,0.00000,0.00000
0.08622,356.5,0.32936,0.84792,0.13621,0.44980
0.09898,382.0,0.35329,0.84889,0.00000,0.00000
0.11261,407.4,0.40642,0.91552,0.05743,0.16594
0.12713,432.9,0.40163,0.85150,0.08033,0.21844
0.14253,458.4,0.44279,0.88662,0.02806,0.07207
0.15880,483.8,0.49654,0.94192,0.00794,0.01932
0.17596,509.3,0.47509,0.85616,0.00000,0.00000
0.19399,534.8,0.51391,0.88201,0.00000,0.00000
0.21291,560.2,0.56155,0.91997,0.00953,0.02002
0.23270,585.7,0.57254,0.89719,0.04138,0.08318
0.25338,611.2,0.61951,0.93036,0.00000,0.00000
0.27493,636.6,0.67956,0.97972,0.34469,0.63741
0.29737,662.1,0.71807,0.99542,0.07834,0.13929
0.32068,687.6,0.73419,0.98007,0.03974,0.06804
0.34488,713.0,0.76203,0.98090,0.23549,0.38881
0.36995,738.5,0.75368,0.93670,0.22264,0.35492
0.39590,764.0,0.84612,1.01654,0.18289,0.28184
0.42274,789.4,0.84507,0.98251,0.43518,0.64899
0.45045,814.9,0.88917,1.00148,0.51511,0.74417
0.47904,840.3,0.92607,1.01144,0.29176,0.40874
0.50852,865.8,0.92841,0.98417,0.49638,0.67493
0.53887,891.3,0.93403,0.96184,0.40262,0.53181
0.57010,916.7,0.97666,0.97781,0.48080,0.61742
0.60221,942.2,0.98366,0.95819,0.80953,1.01148
0.63521,967.7,1.05391,0.99961,0.56677,0.68952
0.66908,993.1,1.01509,0.93810,0.66409,0.78720
0.70383,1018.6,1.07023,0.96433,0.69217,0.79998
0.73946,1044.1,1.02829,0.90395,0.76689,0.86472
0.77597,1069.5,1.00940,0.86622,1.15629,1.27275
0.81336,1095.0,0.98296,0.82390,0.76244,0.81972
0.85163,1120.5,0.93589,0.76662,1.11984,1.17661
0.89078,1145.9,0.94391,0.75601,1.07134,1.10063
0.93082,1171.4,0.93038,0.72897,0.98262,0.98753
0.97173,1196.9,0.86893,0.66635,1.13858,1.11993
1.01352,1222.3,0.89607,0.67284,0.94340,0.90861
1.05618,1247.8,0.82827,0.60924,1.00639,0.94951
1.09973,1273.3,0.81018,0.58401,0.85252,0.78825
1.14416,1298.7,0.78636,0.55572,0.96658,0.87618
1.18947,1324.2,0.76379,0.52939,1.00807,0.89622
1.23566,1349.7,0.67435,0.45858,0.74973,0.65397
1.28273,1375.1,0.63690,0.42510,0.65611,0.56171
1.33068,1400.6,0.62153,0.40730,0.82591,0.69422
1.37951,1426.0,0.58421,0.37600,0.76157,0.62871
1.42921,1451.5,0.56625,0.35805,1.11790,0.90668
1.47980,1477.0,0.52416,0.32572,0.75416,0.60112
1.53127,1502.4,0.50245,0.30694,0.54930,0.43041
1.58362,1527.9,0.44864,0.26950,0.96865,0.74635
1.63684,1553.4,0.44244,0.26142,0.68664,0.52038
1.69095,1578.8,0.42477,0.24693,0.50085,0.37346
1.74594,1604.3,0.35050,0.20052,0.76556,0.56178
1.80180,1629.8,0.34191,0.19255,0.50110,0.36197
1.85855,1655.2,0.36896,0.20459,0.63411,0.45100
1.91618,1680.7,0.29600,0.16164,0.68185,0.47761
1.97468,1706.2,0.29718,0.15986,0.44598,0.30773
2.03407,1731.6,0.24483,0.12977,0.39622,0.26937
2.09433,1757.1,0.24592,0.12846,0.61606,0.41276
2.15548,1782.6,0.24669,0.12702,0.09068,0.05989
2.21750,1808.0,0.22634,0.11490,0.45215,0.29441
2.28041,1833.5,0.21026,0.10526,0.29329,0.18832
2.34419,1859.0,0.19072,0.09416,0.28288,0.17914
2.40886,1884.4,0.16018,0.07802,0.43370,0.27095
2.47440,1909.9,0.13879,0.06670,0.32529,0.20051
2.54083,1935.3,0.12448,0.05903,0.16016,0.09743
2.60813,1960.8,0.12588,0.05892,0.44048,0.26446
2.67631,1986.3,0.13185,0.06092,0.11229,0.06656
2.74538,2011.7,0.09746,0.04446,0.30814,0.18032
2.81532,2037.2,0.10913,0.04917,0.07868,0.04547
2.88614,2062.7,0.06483,0.02885,0.19060,0.10878
2.95785,2088.1,0.06144,0.02701,0.26786,0.15101
3.03043,2113.6,0.06008,0.02609,0.04719,0.02629
3.10389,2139.1,0.04099,0.01759,0.33549,0.18464
3.17823,2164.5,0.06426,0.02725,0.01606,0.00874
3.25345,2190.0,0.06855,0.02873,0.08069,0.04338
3.32956,2215.5,0.05457,0.02261,0.13754,0.07309
3.40654,2240.9,0.02997,0.01227,0.31841,0.16727
3.48440,2266.4,0.05091,0.02062,0.00167,0.00087
3.56314,2291.9,0.02356,0.00944,0.10664,0.05478
3.64276,2317.3,0.01373,0.00544,0.00837,0.00425
3.72326,2342.8,0.02742,0.01074,0.00000,0.00000
3.80464,2368.3,0.02180,0.00845,0.05955,0.02960
3.88690,2393.7,0.02650,0.01016,0.06312,0.03104
3.97004,2419.2,0.04380,0.01662,0.00000,0.00000
4.05406,2444.6,0.02005,0.00753,0.06808,0.03279
4.13896,2470.1,0.02547,0.00946,0.01588,0.00757
4.22474,2495.6,-0.00609,-0.00224,0.01938,0.00914
4.31140,2521.0,-0.00627,-0.00228,0.00000,0.00000
4.39894,2546.5,0.00948,0.00342,0.00000,0.00000
4.48736,2572.0,0.00387,0.00138,0.00000,0.00000
4.57665,2597.4,-0.01482,-0.00524,0.00000,0.00000
4.66683,2622.9,-0.03363,-0.01177,0.02159,0.00969
4.75789,2648.4,0.00450,0.00156,0.02361,0.01050
4.84983,2673.8,-0.02382,-0.00818,0.00000,0.00000
4.94265,2699.3,0.00316,0.00107,0.00000,0.00000
5.03634,2724.8,0.00559,0.00188,0.00000,0.00000
5.13092,2750.2,-0.00842,-0.00281,0.00000,0.00000
5.22638,2775.7,-0.00449,-0.00148,0.00000,0.00000
5.32271,2801.2,-0.00855,-0.00280,0.10617,0.04462
5.41993,2826.6,-0.00624,-0.00203,0.00000,0.00000
5.51803,2852.1,0.00754,0.00243,0.08714,0.03597
5.61700,2877.6,0.00770,0.00245,0.00000,0.00000
5.71686,2903.0,-0.00254,-0.00080,0.08698,0.03527
5.81759,2928.5,-0.00094,-0.00029,0.04317,0.01735
5.91921,2954.0,0.00409,0.00127,0.02109,0.00840
6.02171,2979.4,0.00109,0.00034,0.00000,0.00000
6.12508,3004.9,-0.00004,-0.00001,0.00000,0.00000
