E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
0.00044,25.9,0.01385,0.82924,NaN,NaN
0.00176,51.7,0.00643,0.19266,NaN,NaN
0.00396,77.6,-0.03130,-0.62472,NaN,NaN
0.00704,103.5,0.00665,0.09959,NaN,NaN
0.01100,129.3,0.05403,0.64709,NaN,NaN
0.01584,155.2,0.03815,0.38070,NaN,NaN
0.02155,181.0,0.09280,0.79387,NaN,NaN
0.02815,206.9,-0.00330,-0.02469,NaN,NaN
0.03563,232.8,0.03186,0.21197,NaN,NaN
0.04399,258.6,0.04434,0.26554,NaN,NaN
0.05323,284.5,0.09592,0.52215,NaN,NaN
0.06334,310.4,0.06877,0.34315,NaN,NaN
0.07434,336.2,0.06200,0.28561,NaN,NaN
0.08622,362.1,0.09247,0.39553,NaN,NaN
0.09898,388.0,0.07487,0.29888,NaN,NaN
0.11261,413.8,0.14758,0.55235,NaN,NaN
0.12713,439.7,0.19796,0.69729,NaN,NaN
0.14253,465.5,0.14258,0.47433,NaN,NaN
0.15880,491.4,0.18649,0.58775,NaN,NaN
0.17596,517.3,0.19346,0.57925,NaN,NaN
0.19399,543.1,0.22016,0.62780,NaN,NaN
0.21291,569.0,0.25792,0.70202,NaN,NaN
0.23270,594.9,0.21397,0.55707,NaN,NaN
0.25338,620.7,0.25390,0.63350,NaN,NaN
0.27493,646.6,0.18724,0.44850,NaN,NaN
0.29737,672.5,0.24487,0.56398,NaN,NaN
0.32068,698.3,0.33955,0.75307,NaN,NaN
0.34488,724.2,0.31962,0.68355,NaN,NaN
0.36995,750.0,0.33101,0.68348,NaN,NaN
0.39590,775.9,0.31322,0.62520,NaN,NaN
0.42274,801.8,0.40887,0.78979,0.13432,0.44935
0.45045,827.6,0.39431,0.73787,0.06671,0.21620
0.47904,853.5,0.41789,0.75829,0.06468,0.20328
0.50852,879.4,0.48297,0.85061,0.00000,0.00000
0.53887,905.2,0.45171,0.77283,0.15119,0.44801
0.57010,931.1,0.42405,0.70536,0.06257,0.18026
0.60221,957.0,0.51183,0.82836,0.00000,0.00000
0.63521,982.8,0.62261,0.98112,0.00000,0.00000
0.66908,1008.7,0.56740,0.87120,0.00000,0.00000
0.70383,1034.5,0.58027,0.86868,0.16457,0.42668
0.73946,1060.4,0.60258,0.88009,0.00000,0.00000
0.77597,1086.3,0.65853,0.93890,0.00000,0.00000
0.81336,1112.1,0.63984,0.89103,0.00000,0.00000
0.85163,1138.0,0.67559,0.91944,0.10445,0.24620
0.89078,1163.9,0.64205,0.85438,0.00000,0.00000
0.93082,1189.7,0.73006,0.95037,0.05428,0.12237
0.97173,1215.6,0.74856,0.95372,0.00000,0.00000
1.01352,1241.5,0.72525,0.90477,0.09360,0.20224
1.05618,1267.3,0.82081,1.00309,0.00000,0.00000
1.09973,1293.2,0.84266,1.00919,0.00000,0.00000
1.14416,1319.0,0.92276,1.08345,0.00000,0.00000
1.18947,1344.9,0.91854,1.05776,0.23787,0.47442
1.23566,1370.8,0.90288,1.02011,0.09735,0.19050
1.28273,1396.6,0.85051,0.94314,0.41024,0.78788
1.33068,1422.5,0.87350,0.95103,0.00000,0.00000
1.37951,1448.4,0.87275,0.93324,0.26215,0.48550
1.42921,1474.2,0.99390,1.04414,0.09646,0.17550
1.47980,1500.1,0.92486,0.95486,0.00824,0.01474
1.53127,1526.0,0.95105,0.96526,0.11853,0.20835
1.58362,1551.8,0.92671,0.92487,0.46813,0.80916
1.63684,1577.7,0.95646,0.93892,0.25528,0.43401
1.69095,1603.5,0.98141,0.94787,0.21263,0.35568
1.74594,1629.4,0.94282,0.89615,0.22491,0.37024
1.80180,1655.3,0.99141,0.92761,0.60240,0.97617
1.85855,1681.1,0.99797,0.91939,0.38990,0.62210
1.91618,1707.0,1.01178,0.91799,0.27117,0.42610
1.97468,1732.9,1.00992,0.90262,0.69377,1.07389
2.03407,1758.7,0.96220,0.84732,0.10960,0.16716
2.09433,1784.6,0.98362,0.85363,0.66726,1.00292
2.15548,1810.5,0.92172,0.78849,0.37778,0.55970
2.21750,1836.3,0.99402,0.83835,0.80637,1.17787
2.28041,1862.2,0.96342,0.80126,0.99714,1.43630
2.34419,1888.0,0.95007,0.77934,0.36750,0.52210
2.40886,1913.9,1.04752,0.84766,0.32122,0.45018
2.47440,1939.8,1.07736,0.86019,0.33590,0.46448
2.54083,1965.6,1.01440,0.79926,0.93613,1.27744
2.60813,1991.5,0.98022,0.76230,0.19573,0.26362
2.67631,2017.4,1.01368,0.77821,0.77854,1.03516
2.74538,2043.2,0.99229,0.75215,0.70307,0.92297
2.81532,2069.1,0.96702,0.72383,0.62164,0.80588
2.88614,2095.0,0.94664,0.69983,0.26146,0.33476
2.95785,2120.8,0.98184,0.71700,0.43875,0.55491
3.03043,2146.7,0.96205,0.69408,0.63181,0.78946
3.10389,2172.5,0.99312,0.70797,0.59821,0.73857
3.17823,2198.4,0.97320,0.68561,0.40011,0.48818
3.25345,2224.3,0.95203,0.66290,0.65154,0.78571
3.32956,2250.1,0.92498,0.63666,0.73044,0.87073
3.40654,2276.0,0.87186,0.59327,0.24180,0.28497
3.48440,2301.9,0.91422,0.61511,1.14716,1.33676
3.56314,2327.7,0.98014,0.65214,0.51115,0.58901
3.64276,2353.6,0.87626,0.57661,0.87760,1.00018
3.72326,2379.4,0.89034,0.57951,0.63279,0.71333
3.80464,2405.3,0.88945,0.57270,0.79035,0.88136
3.88690,2431.2,0.91798,0.58478,0.71419,0.78796
3.97004,2457.0,0.92711,0.58439,0.56923,0.62141
