E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
0.00044,25.1,0.03747,1.07355,NaN,NaN
0.00176,50.2,0.07225,1.03482,NaN,NaN
0.00396,75.3,0.11270,1.07614,NaN,NaN
0.00704,100.3,0.13848,0.99177,NaN,NaN
0.01100,125.4,0.18929,1.08453,0.04218,0.31808
0.01584,150.5,0.22670,1.08238,0.00000,0.00000
0.02155,175.6,0.22408,0.91703,0.01077,0.05801
0.02815,200.7,0.24056,0.86143,0.00522,0.02459
0.03563,225.8,0.27075,0.86181,0.00000,0.00000
0.04399,250.8,0.31805,0.91112,0.07639,0.28805
0.05323,275.9,0.30399,0.79167,0.00000,0.00000
0.06334,301.0,0.38452,0.91796,0.07541,0.23696
0.07434,326.1,0.36265,0.79915,0.01968,0.05708
0.08622,351.2,0.38536,0.78854,0.00000,0.00000
0.09898,376.3,0.41942,0.80102,0.00000,0.00000
0.11261,401.4,0.48001,0.85944,0.19714,0.46460
0.12713,426.4,0.46486,0.78335,0.00000,0.00000
0.14253,451.5,0.58380,0.92912,0.24072,0.50428
0.15880,476.6,0.62901,0.94839,0.00298,0.00591
0.17596,501.7,0.66722,0.95570,0.00000,0.00000
0.19399,526.8,0.69485,0.94788,0.05066,0.09096
0.21291,551.9,0.74976,0.97630,0.37116,0.63616
0.23270,576.9,0.85380,1.06343,0.17376,0.28487
0.25338,602.0,0.89774,1.07157,0.27916,0.43860
0.27493,627.1,0.88311,1.01195,0.18705,0.28213
0.29737,652.2,0.90585,0.99808,0.45777,0.66390
0.32068,677.3,0.92188,0.97812,0.34661,0.48407
0.34488,702.4,0.97076,0.99320,0.61380,0.82660
0.36995,727.5,1.01611,1.00375,0.51639,0.67144
0.39590,752.5,0.99650,0.95157,0.71048,0.89301
0.42274,777.6,1.01790,0.94065,0.53760,0.65392
0.45045,802.7,1.00874,0.90305,1.02006,1.20199
0.47904,827.8,1.02323,0.88826,0.52692,0.60208
0.50852,852.9,1.04870,0.88360,1.01300,1.12346
0.53887,878.0,1.01624,0.83179,1.13913,1.22725
0.57010,903.0,0.96585,0.76858,0.41334,0.43294
0.60221,928.1,0.93596,0.72467,1.39054,1.41713
0.63521,953.2,0.87246,0.65772,1.09986,1.09138
0.66908,978.3,0.88429,0.64955,1.08146,1.04561
0.70383,1003.4,0.81518,0.58381,0.78972,0.74445
0.73946,1028.5,0.64508,0.45073,1.21095,1.11370
0.77597,1053.5,0.66464,0.45334,1.13328,1.01745
0.81336,1078.6,0.65191,0.43432,0.65780,0.57683
0.85163,1103.7,0.56222,0.36605,1.08392,0.92891
0.89078,1128.8,0.48905,0.31134,0.76216,0.63865
0.93082,1153.9,0.40778,0.25395,0.38802,0.31807
0.97173,1179.0,0.41184,0.25103,0.74847,0.60048
1.01352,1204.1,0.39198,0.23394,0.76671,0.60230
1.05618,1229.1,0.31171,0.18224,0.68679,0.52851
1.09973,1254.2,0.27735,0.15891,0.35459,0.26741
1.14416,1279.3,0.22169,0.12452,0.43133,0.31891
1.18947,1304.4,0.20252,0.11157,0.38700,0.28063
1.23566,1329.5,0.16623,0.08985,0.41918,0.29823
1.28273,1354.6,0.13821,0.07332,0.36602,0.25559
1.33068,1379.6,0.09934,0.05174,0.29272,0.20069
1.37951,1404.7,0.09182,0.04697,0.20758,0.13977
1.42921,1429.8,0.08014,0.04028,0.10337,0.06838
1.47980,1454.9,0.08232,0.04066,0.13904,0.09039
1.53127,1480.0,0.09633,0.04677,0.09643,0.06163
1.58362,1505.1,0.10187,0.04864,0.07316,0.04598
1.63684,1530.2,0.05196,0.02440,0.12692,0.07846
1.69095,1555.2,0.03155,0.01458,0.04788,0.02912
1.74594,1580.3,0.03355,0.01526,0.06252,0.03742
1.80180,1605.4,0.01305,0.00584,0.20759,0.12231
1.85855,1630.5,0.02740,0.01208,0.02066,0.01199
1.91618,1655.6,0.03374,0.01464,0.10479,0.05987
1.97468,1680.7,0.02153,0.00921,0.01792,0.01008
2.03407,1705.7,0.03846,0.01620,0.03134,0.01738
2.09433,1730.8,0.05096,0.02116,0.08493,0.04641
2.15548,1755.9,0.03534,0.01446,0.01803,0.00971
2.21750,1781.0,0.04359,0.01759,0.00000,0.00000
2.28041,1806.1,0.01187,0.00472,0.00000,0.00000
2.34419,1831.2,0.00717,0.00281,0.00000,0.00000
2.40886,1856.3,0.01185,0.00459,0.03038,0.01548
2.47440,1881.3,0.01151,0.00440,0.00000,0.00000
2.54083,1906.4,-0.00076,-0.00029,0.16750,0.08311
