E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
0.00044,24.4,0.05231,1.10187,NaN,NaN
0.00176,48.7,0.09964,1.04949,NaN,NaN
0.00396,73.1,0.15209,1.06797,NaN,NaN
0.00704,97.5,0.18686,0.98413,NaN,NaN
0.01100,121.9,0.20030,0.84391,0.02297,0.12837
0.01584,146.2,0.25994,0.91267,0.00000,0.00000
0.02155,170.6,0.28478,0.85703,0.00682,0.02722
0.02815,195.0,0.31895,0.83989,0.00000,0.00000
0.03563,219.3,0.38584,0.90314,0.00000,0.00000
0.04399,243.7,0.41561,0.87554,0.04374,0.12222
0.05323,268.1,0.47368,0.90714,0.00867,0.02203
0.06334,292.5,0.53009,0.93058,0.18381,0.42801
0.07434,316.8,0.58472,0.94752,0.08032,0.17265
0.08622,341.2,0.62422,0.93928,0.02454,0.04897
0.09898,365.6,0.69901,0.98170,0.05664,0.10552
0.11261,389.9,0.77453,1.01977,0.20189,0.35258
0.12713,414.3,0.77878,0.96505,0.70236,1.15444
0.14253,438.7,0.83822,0.98101,0.09821,0.15245
0.15880,463.1,0.91980,1.01983,0.23579,0.34677
0.17596,487.4,1.04402,1.09967,0.65514,0.91530
0.19399,511.8,1.01094,1.01412,0.61591,0.81952
0.21291,536.2,1.02951,0.98581,0.44801,0.56902
0.23270,560.6,1.08497,0.99375,0.91126,1.10708
0.25338,584.9,1.06851,0.93789,0.58367,0.67955
0.27493,609.3,0.99624,0.83948,1.03404,1.15574
0.29737,633.7,1.01888,0.82554,1.24259,1.33542
0.32068,658.0,0.94247,0.73534,0.89030,0.92137
0.34488,682.4,0.88467,0.66559,1.03022,1.02810
0.36995,706.8,0.86262,0.62662,0.71474,0.68867
0.39590,731.2,0.81540,0.57258,1.29024,1.20175
0.42274,755.5,0.70255,0.47742,0.95138,0.85754
0.45045,779.9,0.60674,0.39943,1.17359,1.02478
0.47904,804.3,0.61085,0.38995,0.86393,0.73152
0.50852,828.6,0.50792,0.31471,0.80897,0.66484
0.53887,853.0,0.42982,0.25870,0.52984,0.42300
0.57010,877.4,0.33348,0.19514,0.77443,0.60109
0.60221,901.8,0.28155,0.16030,0.64522,0.48727
0.63521,926.1,0.23098,0.12805,0.42661,0.31370
0.66908,950.5,0.18366,0.09921,0.25678,0.18398
0.70383,974.9,0.15801,0.08322,0.50366,0.35184
0.73946,999.2,0.08321,0.04275,0.26102,0.17789
0.77597,1023.6,0.09014,0.04521,0.27385,0.18219
0.81336,1048.0,0.06711,0.03288,0.07633,0.04960
0.85163,1072.4,0.05269,0.02523,0.05119,0.03251
0.89078,1096.7,0.03473,0.01626,0.27105,0.16831
0.93082,1121.1,0.03902,0.01787,0.00682,0.00414
0.97173,1145.5,0.04652,0.02085,0.03799,0.02258
1.01352,1169.8,0.05166,0.02267,0.05819,0.03387
1.05618,1194.2,0.02924,0.01257,0.10695,0.06099
1.09973,1218.6,0.03398,0.01432,0.00246,0.00137
1.14416,1243.0,0.02976,0.01229,0.05373,0.02944
1.18947,1267.3,0.00396,0.00161,0.00000,0.00000
1.23566,1291.7,-0.01846,-0.00734,0.00000,0.00000
1.28273,1316.1,0.01889,0.00737,0.01586,0.00821
1.33068,1340.4,0.04905,0.01879,0.00000,0.00000
1.37951,1364.8,0.04918,0.01850,0.00000,0.00000
1.42921,1389.2,0.01029,0.00380,0.00000,0.00000
1.47980,1413.6,0.00188,0.00068,0.00000,0.00000
1.53127,1437.9,0.03171,0.01132,0.02035,0.00964
1.58362,1462.3,0.00531,0.00186,0.05060,0.02356
1.63684,1486.7,-0.01461,-0.00505,0.00000,0.00000
1.69095,1511.1,-0.00642,-0.00218,0.00000,0.00000
1.74594,1535.4,-0.01546,-0.00517,0.04882,0.02165
1.80180,1559.8,-0.02725,-0.00897,0.00000,0.00000
1.85855,1584.2,0.00059,0.00019,0.00000,0.00000
1.91618,1608.5,0.01770,0.00565,0.10374,0.04392
1.97468,1632.9,0.01470,0.00462,0.00000,0.00000
2.03407,1657.3,0.00650,0.00201,0.00000,0.00000
2.09433,1681.7,-0.03027,-0.00924,0.00000,0.00000
2.15548,1706.0,0.00591,0.00178,0.00000,0.00000
2.21750,1730.4,0.01194,0.00354,0.00000,0.00000
2.28041,1754.8,-0.00092,-0.00027,0.04846,0.01881
