v_Aps,signal_arb
0.100995,0.237376979934881
0.20199,0.478075000009868
0.302985,0.70119044889548
0.40398,0.889816971474765
0.504975,1.02298336359069
0.60597,1.14250208159789
0.706965,1.30881746188598
0.80796,1.51795633584149
0.908955,1.6605250747766
1.00995,1.74716289072449
1.110945,1.83654081385166
1.21194,2.04126187892242
1.312935,2.27045143235145
1.41393,2.45936146854596
1.514925,2.57955159410288
1.61592,2.72827256625832
1.716915,2.91689764562503
1.81791,3.06333741085996
1.918905,3.16882907197158
2.0199,3.2529008171177
2.120895,3.42569355980938
2.22189,3.596424683226
2.322885,3.7308875216063
2.42388,3.8392599706882
2.524875,3.94525527174001
2.62587,4.15210024699567
2.726865,4.37171249529881
2.82786,4.57186062809631
2.928855,4.62931607814545
3.02985,4.62080866992487
3.130845,4.61967234261247
3.23184,4.73146853872208
3.332835,4.95516442219462
3.43383,5.18971867159362
3.534825,5.371457217781
3.63582,5.53375387816919
3.736815,5.68644336837778
3.83781,5.79670869237064
3.938805,5.78004849723545
4.0398,5.7999001979479
4.140795,5.90754490262854
4.24179,6.06643342786479
4.342785,6.29245442454179
4.44378,6.54608185387485
4.544775,6.72272724426456
4.64577,6.71218299671555
4.746765,6.78194751553642
4.84776,7.09811758627332
4.948755,7.50653124676304
5.04975,7.80309700270552
5.150745,7.85364453208858
5.25174,7.77453510668358
5.352735,7.63612667751212
5.45373,7.6704690362497
5.554725,7.77450182162159
5.65572,7.81245192628322
5.756715,8.01029056575131
5.85771,8.30955051419679
5.958705,8.5707392842324
6.0597,8.7590882276035
6.160695,8.99123502266607
6.26169,9.36660834860999
6.362685,9.69650109042431
6.46368,9.81725455883189
6.564675,9.97847458181629
6.66567,10.1669242786417
6.766665,10.5554580475373
6.86766,10.9165520690923
6.968655,11.032994353869
7.06965,11.0856501485327
7.170645,11.238706553925
7.27164,11.553474261194
7.372635,11.8904412093393
7.47363,12.0742856785923
7.574625,12.1634046270966
7.67562,12.1131274486801
7.776615,12.0637979688513
7.87761,12.2219259072155
7.978605,12.6132447907415
8.0796,12.9915479519633
8.180595,13.2823835455665
8.28159,13.4381382290015
8.382585,13.5358208843247
8.48358,13.6810877447234
8.584575,13.9221089701667
8.68557,14.3134558471808
8.786565,14.7414159926454
8.88756,14.7924102340161
8.988555,14.6602299711274
9.08955,14.3254168564952
9.190545,14.1618756137419
9.29154,14.3716378996264
9.392535,14.8189271566227
9.49353,15.0539833639994
9.594525,15.0906626668305
9.69552,15.1794947196611
9.796515,15.4295188714969
9.89751,15.77942127612
9.998505,16.3736786360579
10.0995,16.997246730135
10.200495,17.3256305516266
10.30149,17.2413905484464
10.402485,17.0146779825707
10.50348,16.9289768363884
10.604475,16.8725077735567
10.70547,17.233074654025
10.806465,17.7762140832697
10.90746,18.4384893682793
11.008455,18.8314914142167
11.10945,18.8507577625274
11.210445,18.7475614852179
11.31144,18.6152166937011
11.412435,18.5842740328815
11.51343,18.5472840572398
11.614425,18.5387672155667
11.71542,18.4847541628776
11.816415,18.4953920153135
11.91741,18.478961620667
12.018405,18.5146737182537
12.1194,18.7410114533499
12.220395,18.7998862197912
12.32139,18.8130583437217
12.422385,19.0582375366468
12.52338,19.2957249694728
12.624375,19.4327475709855
12.72537,18.7267322474038
12.826365,17.7879457790372
12.92736,17.3367552501188
13.028355,17.6933777861653
13.12935,18.1128944908112
13.230345,17.9870188467132
13.33134,17.6021252657264
13.432335,17.2883533319262
13.53333,17.1598508515785
13.634325,17.1567593446814
13.73532,17.0539254183407
13.836315,17.235853497231
13.93731,17.4502780672174
14.038305,17.5560313824032
14.1393,17.3568863257076
14.240295,16.8816002800959
14.34129,16.6345307099187
14.442285,16.4961110006533
14.54328,16.4124174134376
14.644275,16.0687173787967
14.74527,15.6869969424823
14.846265,15.2899424679265
14.94726,14.8819001408459
15.048255,14.4060903741885
15.14925,13.9259619077725
15.250245,13.6602918562771
15.35124,13.4919499231983
15.452235,13.2926740024694
15.55323,13.081852029527
15.654225,13.0588903888967
15.75522,13.3508268251822
15.856215,13.5566400195729
15.95721,13.4886781503824
16.058205,13.0382978634481
16.1592,12.790504175319
16.260195,12.6149202605465
16.36119,12.4738400270817
16.462185,12.0062096573313
16.56318,11.524635433808
16.664175,11.4131745270544
16.76517,11.3704280962735
16.866165,11.2679224250013
16.96716,11.0573798435696
17.068155,10.7517978341303
17.16915,10.4940326221378
17.270145,10.4046799931146
17.37114,10.4371949971974
17.472135,10.5211926256872
17.57313,10.2747651688633
17.674125,9.8039603366539
17.77512,9.11670530395196
17.876115,8.65511472844351
17.97711,8.20995783444443
18.078105,7.80566167263064
18.1791,7.60642855999928
18.280095,7.59079482570456
18.38109,7.94072149904137
18.482085,8.17750493554379
18.58308,8.38877195540134
18.684075,8.29061372600263
18.78507,8.13518767233035
18.886065,8.1940542965885
18.98706,8.31443170270309
19.088055,7.92129069160717
19.18905,7.25609359641546
19.290045,6.85162127456009
19.39104,6.95918531923639
19.492035,7.08647364982589
19.59303,6.95897161076691
19.694025,6.5502287527335
19.79502,6.43815452803146
19.896015,6.45145324248028
19.99701,6.46976332344177
20.098005,6.29286887227967
20.199,5.913321325271
20.299995,5.44706230573828
20.40099,5.09537278613889
20.501985,5.14901522957058
20.60298,5.41775131053182
20.703975,5.57844837127827
20.80497,5.68922701276822
20.905965,5.60391964861692
21.00696,5.62052473155339
21.107955,5.51922891196394
21.20895,5.5054379597978
21.309945,5.39161770987648
21.41094,5.15265899169399
21.511935,4.91230235480249
21.61293,4.83245448502867
21.713925,4.7621147756092
21.81492,4.67497225312867
21.915915,4.58300282605307
22.01691,4.40385083541716
22.117905,4.32728465402313
22.2189,4.15368090105428
22.319895,3.97999546098987
22.42089,3.81024837779175
22.521885,3.69644765356568
22.62288,3.57411155723573
22.723875,3.43856077154408
22.82487,3.40667659712211
22.925865,3.41306879538652
23.02686,3.48528463445543
23.127855,3.35956054224602
23.22885,3.3481923881493
23.329845,3.35620178394676
23.43084,3.31358852286401
23.531835,3.12027739632903
23.63283,2.87814046910815
23.733825,2.76643281129185
23.83482,2.79868964041023
23.935815,2.7382407919651
24.03681,2.59652568250693
24.137805,2.42587187695846
24.2388,2.57478791828382
24.339795,2.87889507622658
24.44079,3.19564461402982
24.541785,3.33323761297358
24.64278,3.21991844510134
24.743775,2.8860405818221
24.84477,2.46463569223306
24.945765,2.14786663074134
25.04676,2.04626646958718
25.147755,2.16367067687661
25.24875,2.13576510704596
25.349745,2.04225928578372
25.45074,2.19507755344791
25.551735,2.52942463249452
25.65273,2.91121502577013
25.753725,3.00361901639927
25.85472,2.8881438188225
25.955715,2.75202137655147
26.05671,2.56099021639148
26.157705,2.29689061850427
26.2587,1.87688979267654
26.359695,1.5060069647386
26.46069,1.39679607180805
26.561685,1.46190654615993
26.66268,1.55344428341411
26.763675,1.58097866847062
26.86467,1.54818432286437
26.965665,1.59922175951653
27.06666,1.71258960042826
27.167655,1.74602460970165
27.26865,1.60547441865106
27.369645,1.59811848130133
27.47064,1.62010299647386
27.571635,1.74057811748846
27.67263,1.87794240557055
27.773625,1.89745882969773
27.87462,1.84172132552994
27.975615,1.48797924842669
28.07661,1.25512135238378
28.177605,1.13987159874
28.2786,1.134398242452
28.379595,1.14869903713376
28.48059,1.05120677441165
28.581585,1.07145301747582
28.68258,1.11675503131912
28.783575,1.12127531243169
28.88457,1.1088985375747
28.985565,1.10361279311252
29.08656,1.19063540207725
29.187555,1.34056226925232
29.28855,1.4499418083513
29.389545,1.48173727406364
29.49054,1.44205948682301
29.591535,1.30117073232157
29.69253,1.11873952415439
29.793525,0.963820867541854
29.89452,0.971383235845965
29.995515,1.06820424469091
30.09651,1.23152501245315
30.197505,1.1632118429335
30.2985,0.950277206083067
30.399495,0.82836807356312
30.50049,0.693824859366189
30.601485,0.556375363108178
30.70248,0.480874637882309
30.803475,0.40028934495552
30.90447,0.406201630394403
31.005465,0.430123422687809
31.10646,0.444938745619942
31.207455,0.491846287197025
31.30845,0.562900852043073
31.409445,0.717491906029533
31.51044,0.865763565614057
31.611435,0.879677702499795
31.71243,0.77504694776918
31.813425,0.692849212198928
31.91442,0.650461426087432
32.015415,0.711312402809639
32.11641,0.881995216747397
32.217405,0.954415495034772
32.3184,0.945032615515679
32.419395,0.734510921650454
32.52039,0.480572308396538
32.621385,0.318640613567243
32.72238,0.325217998478203
32.823375,0.413686745275777
