phi_rad,signal_arb
0,0.576333982165105
0.0523598775598299,0.615276945785337
0.10471975511966,0.630671996614687
0.15707963267949,0.617845197581852
0.20943951023932,0.613875243979215
0.261799387799149,0.601323944428421
0.314159265358979,0.603451508163626
0.366519142918809,0.593755312246495
0.418879020478639,0.573895521047666
0.471238898038469,0.578816677247016
0.523598775598299,0.553884064183464
0.575958653158129,0.568693390724123
0.628318530717959,0.551493089610647
0.680678408277788,0.550877596651862
0.733038285837618,0.525748448078817
0.785398163397448,0.518701857432991
0.837758040957278,0.481941461250787
0.890117918517108,0.453958314646894
0.942477796076938,0.423895087733381
0.994837673636768,0.406876591677333
1.0471975511966,0.353088054598207
1.09955742875643,0.3717036576698
1.15191730631626,0.382950422060179
1.20427718387609,0.318221962247051
1.25663706143592,0.290684306723326
1.30899693899575,0.301526488791674
1.36135681655558,0.291351770347193
1.41371669411541,0.265054752689344
1.46607657167524,0.243855380667682
1.51843644923507,0.237296921536642
1.5707963267949,0.21884172671486
1.62315620435473,0.213814003339985
1.67551608191456,0.206900768764568
1.72787595947439,0.185867626894991
1.78023583703422,0.18991016690738
1.83259571459405,0.181076423875916
1.88495559215388,0.190806054270804
1.93731546971371,0.191057875509316
1.98967534727354,0.224715786364842
2.04203522483337,0.264748853220932
2.0943951023932,0.272224969679467
2.14675497995302,0.308135284446415
2.19911485751286,0.311536323758747
2.25147473507268,0.333580523217693
2.30383461263251,0.384512586734484
2.35619449019234,0.417890695171244
2.40855436775217,0.474111134745947
2.460914245312,0.482032330402217
2.51327412287183,0.569910223419042
2.56563400043166,0.64644674572484
2.61799387799149,0.687868993320188
2.67035375555132,0.719141141839511
2.72271363311115,0.818258692375508
2.77507351067098,0.779025107088039
2.82743338823081,0.803084716796934
2.87979326579064,0.805594797489178
2.93215314335047,0.866697323327452
2.9845130209103,0.967726905528828
3.03687289847013,0.935703176532215
3.08923277602996,0.934713726379601
3.14159265358979,0.935452343851104
3.19395253114962,1
3.24631240870945,0.964517403888446
3.29867228626928,0.962762473196217
3.35103216382911,0.95823112180662
3.40339204138894,0.881066099905985
3.45575191894877,0.81978762917074
3.5081117965086,0.877173953775572
3.56047167406843,0.779077875614358
3.61283155162826,0.771379726109324
3.66519142918809,0.752279636035558
3.71755130674792,0.708436556793501
3.76991118430775,0.623868457032653
3.82227106186758,0.583619525567196
3.87463093942741,0.514484312666108
3.92699081698724,0.470907075607474
3.97935069454707,0.43303937806226
4.0317105721069,0.420541802637545
4.08407044966673,0.402228853226053
4.13643032722656,0.331143340494951
4.18879020478639,0.290371731426606
4.24115008234622,0.266680631800813
4.29350995990605,0.23250380070193
4.34586983746588,0.238062899961013
4.39822971502571,0.21712252864393
4.45058959258554,0.206843837973366
4.50294947014537,0.198230641454425
4.5553093477052,0.163508587894501
4.60766922526503,0.177142348848363
4.66002910282486,0.180304065908465
4.71238898038469,0.175813140911511
4.76474885794452,0.193147921342991
4.81710873550435,0.175479795219293
4.86946861306418,0.179957818465835
4.92182849062401,0.210605489362834
4.97418836818384,0.210273320075516
5.02654824574367,0.222375878410155
5.0789081233035,0.225225372905589
5.13126800086333,0.252170433777246
5.18362787842316,0.251321435468044
5.23598775598299,0.287542122971507
5.28834763354282,0.326357573484009
5.34070751110265,0.317570817484507
5.39306738866248,0.330214167318271
5.44542726622231,0.360335444288717
5.49778714378214,0.365647228470304
5.55014702134197,0.381283221521957
5.6025068989018,0.406583479236063
5.65486677646163,0.435644915645567
5.70722665402146,0.470264654545526
5.75958653158129,0.480117730258699
5.81194640914112,0.499428588885313
5.86430628670095,0.503551115577547
5.91666616426078,0.521735756688365
5.96902604182061,0.57102971489474
6.02138591938044,0.569836115683777
6.07374579694027,0.583891081721158
6.1261056745001,0.582087226749428
6.17846555205993,0.590562506981619
6.23082542961976,0.625560322957258
