v_mps,signal_arb
8.6178,33.4882958725074
17.2356,67.4728269506706
25.8534,103.907869576018
34.4712,139.346964703976
43.089,169.219428020713
51.7068,194.717513707966
60.3246,216.330918379718
68.9424,234.266856344125
77.5602,251.750119322888
86.178,271.823742817194
94.7958,293.728904223884
103.4136,318.094682468126
112.0314,343.201375104802
120.6492,368.705181353165
129.267,394.686086161913
137.8848,420.40779585215
146.5026,444.593798740819
155.1204,466.752677115491
163.7382,487.006133298851
172.356,504.1555307715
180.9738,518.695031377458
189.5916,532.895440581256
198.2094,548.037880115173
206.8272,564.959528344324
215.445,582.703908094722
224.0628,598.017183120546
232.6806,609.1216485426
241.2984,615.290723111338
249.9162,618.452214586645
258.534,620.301487328861
267.1518,625.093053442562
275.7696,633.130984365404
284.3874,641.94397519907
293.0052,650.254708454747
301.623,658.431174999289
310.2408,666.84714383501
318.8586,675.909462654685
327.4764,690.00088600673
336.0942,707.246916406223
344.712,726.424590294524
353.3298,744.244608554594
361.9476,758.61889694192
370.5654,769.327085704553
379.1832,780.656315935886
387.801,794.838760297251
396.4188,814.27951240438
405.0366,839.72990864938
413.6544,868.350372333836
422.2722,898.451146976974
430.89,927.705713219536
439.5078,953.34837496483
448.1256,974.922562317881
456.7434,992.874985048297
465.3612,1008.47433317906
473.979,1023.61860662459
482.5968,1040.67026712912
491.2146,1059.89051429321
499.8324,1080.44718443187
508.4502,1101.14191806625
517.068,1118.35770603895
525.6858,1130.67326171317
534.3036,1137.45021043205
542.9214,1138.55528243046
551.5392,1137.06259876637
560.157,1133.48822743578
568.7748,1130.41611179177
577.3926,1126.07280176398
586.0104,1120.55249758724
594.6282,1116.16683729084
603.246,1115.26157115037
611.8638,1115.74202727448
620.4816,1117.34021631468
629.0994,1118.33926617961
637.7172,1113.87916514869
646.335,1105.35471066267
654.9528,1097.58142145445
663.5706,1092.75697005849
672.1884,1090.29909098473
680.8062,1092.30576483544
689.424,1095.23309696949
698.0418,1097.95121840795
706.6596,1100.74294532597
715.2774,1103.30975793718
723.8952,1106.19790361793
732.513,1111.92563486075
741.1308,1119.45480080241
749.7486,1126.29641448243
758.3664,1131.89806994247
766.9842,1137.85472134101
775.602,1144.04456754082
784.2198,1148.56400469813
792.8376,1150.81405932135
801.4554,1152.4971992571
810.0732,1154.56368361956
818.691,1154.27765272053
827.3088,1152.3400557301
835.9266,1148.42812166073
844.5444,1142.9472044938
853.1622,1138.06543158943
861.78,1138.48254547178
870.3978,1142.1010894461
879.0156,1144.9788056469
887.6334,1151.50945923986
896.2512,1158.29118269482
904.869,1159.0324728832
913.4868,1153.8572379177
922.1046,1144.63342225829
930.7224,1137.64287443233
939.3402,1133.57093408229
947.958,1127.22029117369
956.5758,1122.8974674132
965.1936,1120.7668571094
973.8114,1116.98220537224
982.4292,1108.0899612566
991.047,1097.7317306784
999.6648,1084.68271321976
1008.2826,1071.04489537399
1016.9004,1058.46580676134
1025.5182,1047.60628466174
1034.136,1035.93337226087
1042.7538,1026.19295585079
1051.3716,1014.79112609409
1059.9894,998.347379588731
1068.6072,977.837981177401
1077.225,954.023594077358
1085.8428,928.434925778552
1094.4606,904.174626644429
1103.0784,882.035394057742
1111.6962,861.169341744542
1120.314,842.902923136766
1128.9318,827.319561117578
1137.5496,813.1958668368
1146.1674,796.598612055827
1154.7852,779.969173773742
1163.403,760.023878971828
1172.0208,737.330144522453
1180.6386,713.09129686195
1189.2564,689.635785663948
1197.8742,666.592249821181
1206.492,644.160770852431
1215.1098,622.126053673536
1223.7276,602.702942362133
1232.3454,584.542936812455
1240.9632,568.060258131562
1249.581,553.397493380055
1258.1988,539.018191456589
1266.8166,524.173270836721
1275.4344,507.491728830169
1284.0522,491.170602187178
1292.67,475.088613417643
1301.2878,458.407029420067
1309.9056,441.455351271977
1318.5234,428.452932110422
1327.1412,415.970907498847
1335.759,403.298962349142
1344.3768,392.463442319282
1352.9946,384.762868798903
1361.6124,377.407924654028
1370.2302,371.96454286778
1378.848,369.346267038619
1387.4658,367.770584856375
1396.0836,365.677726391783
1404.7014,362.984697222474
1413.3192,360.829612324753
1421.937,358.410202963432
1430.5548,358.176867234402
1439.1726,359.02352820566
1447.7904,361.865379933395
1456.4082,364.843201651268
1465.026,368.077999058166
1473.6438,372.160798014997
1482.2616,376.535257508882
1490.8794,381.204283176549
1499.4972,387.325846005712
1508.115,394.565999910157
1516.7328,403.098386138149
1525.3506,411.413420694996
1533.9684,417.999347700666
1542.5862,422.598239381358
1551.204,426.475204704162
1559.8218,430.008356875671
1568.4396,434.2419258559
1577.0574,441.703517243763
1585.6752,451.373243611543
1594.293,463.207578476456
1602.9108,475.186964819097
1611.5286,484.896828864233
1620.1464,491.618919723147
1628.7642,498.620297723214
1637.382,505.71727673363
1645.9998,513.352509356622
1654.6176,521.792730275088
1663.2354,530.537663910917
1671.8532,539.138369992059
1680.471,546.05120234345
1689.0888,551.38858106096
1697.7066,557.557516338799
1706.3244,564.173255226782
1714.9422,567.241188944156
1723.56,568.686822192899
1732.1778,570.598131953511
1740.7956,572.516696292717
1749.4134,573.204880528283
1758.0312,571.886860987255
1766.649,571.204868194077
1775.2668,569.196574759527
1783.8846,566.953187413182
1792.5024,562.6780693187
1801.1202,557.953011357034
1809.738,552.510164824091
1818.3558,543.503533199764
1826.9736,531.497870939575
1835.5914,517.993204778278
1844.2092,502.896332094734
1852.827,483.907790784228
1861.4448,465.903248593663
1870.0626,450.507118620645
1878.6804,435.423618884049
1887.2982,420.016967529705
1895.916,403.666271379839
1904.5338,386.795948812429
1913.1516,369.848396707602
1921.7694,354.084535218163
1930.3872,340.163216119448
1939.005,330.923452362057
1947.6228,324.2076842213
1956.2406,318.3852615587
1964.8584,310.734869807898
1973.4762,302.717222626363
1982.094,294.523897588981
1990.7118,285.302583495424
1999.3296,275.148515359414
2007.9474,264.625794667681
2016.5652,254.300720853268
2025.183,244.726628317483
2033.8008,237.046965584475
2042.4186,229.686105519802
2051.0364,223.106067976126
2059.6542,216.818054389659
2068.272,210.930431289919
2076.8898,204.562798641563
2085.5076,197.24139491671
2094.1254,189.793159651934
2102.7432,182.943040623167
2111.361,177.347998410531
2119.9788,173.270159741266
2128.5966,171.949192766613
2137.2144,172.748919058199
2145.8322,173.42203771259
2154.45,174.973492630627
2163.0678,177.565526913406
2171.6856,179.147697848877
2180.3034,179.186577831973
2188.9212,179.472103394776
2197.539,178.626318240832
2206.1568,176.803306018216
2214.7746,173.871151163319
2223.3924,170.573671055189
2232.0102,167.896224462733
2240.628,165.113068279364
2249.2458,163.524893912098
2257.8636,163.660590443847
2266.4814,165.626602844799
2275.0992,167.585680972162
2283.717,170.228551331887
2292.3348,174.060128791781
2300.9526,177.086527678726
2309.5704,178.895224503112
2318.1882,179.333441738224
2326.806,179.163811508425
2335.4238,178.788825322952
2344.0416,178.427165399291
2352.6594,178.018099496389
2361.2772,179.812125265186
2369.895,181.599533620559
2378.5128,182.903104431546
2387.1306,184.29193629786
2395.7484,183.965790979081
2404.3662,182.954304759629
2412.984,182.616431235567
2421.6018,180.77999860645
2430.2196,177.52078559296
2438.8374,174.951719911338
2447.4552,171.139535491376
2456.073,165.852701818164
2464.6908,160.607859276497
2473.3086,155.570153728489
2481.9264,148.632812364465
2490.5442,140.265355363912
2499.162,132.259564305963
2507.7798,124.224493581399
2516.3976,118.350314058358
2525.0154,113.078110202319
2533.6332,107.836924775357
2542.251,102.853935809242
2550.8688,96.8865116046459
2559.4866,90.7244756664223
2568.1044,85.0457452982991
2576.7222,80.6680194737639
2585.34,76.7455540683267
2593.9578,72.3047909846641
2602.5756,66.9758956785994
2611.1934,61.6185932278715
2619.8112,56.0524553625351
2628.429,50.6341630228727
2637.0468,46.0300839091101
2645.6646,42.3078935579868
2654.2824,38.5225589168656
2662.9002,34.650568286344
2671.518,30.5989055633146
2680.1358,26.8397228460248
2688.7536,24.2177743360906
2697.3714,22.2297876356844
2705.9892,20.0379087044347
2714.607,18.0445813884031
2723.2248,16.1248150192365
2731.8426,13.5957016204471
2740.4604,10.9630672325411
2749.0782,9.03204081175458
2757.696,7.68050223475408
2766.3138,6.80860535787286
2774.9316,5.9238231046256
2783.5494,5.27273166623895
2792.1672,4.60662458554091
2800.785,4.02092808721529
2809.4028,3.66217982769129
2818.0206,3.77456586886005
2826.6384,4.22110805477215
2835.2562,4.88851002397276
2843.874,5.49556858897945
2852.4918,5.83541995706259
2861.1096,5.80119079869471
2869.7274,5.28838147075141
2878.3452,4.50911990119192
2886.963,3.78867524308661
2895.5808,3.38062856997364
2904.1986,3.1087032003717
2912.8164,2.96070918081659
2921.4342,3.06456391991617
2930.052,3.34817493209424
2938.6698,3.5476091548658
2947.2876,3.76315119574889
2955.9054,4.10559172955929
2964.5232,4.02682196291863
2973.141,3.62404689926
2981.7588,3.12382808680298
2990.3766,2.47604507800552
2998.9944,1.83022854113606
3007.6122,1.55773691147047
3016.23,1.26115406406781
3024.8478,1.1219788733257
3033.4656,1.19398085416409
3042.0834,1.34562774600408
3050.7012,1.29132277759767
3059.319,0.915617852512179
3067.9368,0.627134438426732
3076.5546,0.382861295644051
3085.1724,0.163952439550485
3093.7902,0.0285092179362765
3102.408,0
3111.0258,0
3119.6436,0
3128.2614,0
3136.8792,0
3145.497,0
3154.1148,0
3162.7326,0
3171.3504,0
3179.9682,0
3188.586,0
