time_ps,mean_velocity_Aps
3.6799999999999655,4.949793183594567
3.6899999999999653,4.935606378338225
3.699999999999965,4.922490675988515
3.709999999999965,4.909368999641252
3.7199999999999647,4.896419863759843
3.7299999999999645,4.883218644508674
3.7399999999999642,4.869072439198529
3.749999999999964,4.8561124634425346
3.759999999999964,4.842636914688971
3.7699999999999636,4.829998810181285
3.7799999999999634,4.816683433444123
3.789999999999963,4.803597445883483
3.799999999999963,4.791887778575341
3.8099999999999627,4.77967453530101
3.8199999999999625,4.766393165382175
3.8299999999999623,4.753973866834
3.839999999999962,4.741411671770655
3.849999999999962,4.729446263209577
3.8599999999999617,4.71751437789889
3.8699999999999615,4.7042115685916395
3.8799999999999613,4.693028510857604
3.889999999999961,4.6813474759597415
3.899999999999961,4.669286718600007
3.9099999999999606,4.657826805858057
3.9199999999999604,4.646039056081173
3.92999999999996,4.634359670283893
3.93999999999996,4.62364602074041
3.9499999999999598,4.6120802931755485
3.9599999999999596,4.600436258705824
3.9699999999999593,4.589986009255308
3.979999999999959,4.578865603169351
3.989999999999959,4.567632442400381
3.9999999999999587,4.556415257863712
4.009999999999959,4.545606207088396
4.019999999999959,4.535018775639555
4.0299999999999585,4.525021882432189
4.039999999999958,4.514583150482682
4.049999999999958,4.504558666941657
4.059999999999958,4.494582569442634
4.069999999999958,4.483462548529929
4.079999999999957,4.473760533492025
4.089999999999957,4.463518257627117
4.099999999999957,4.453687898174562
4.109999999999957,4.443769755640167
4.119999999999957,4.433862128992566
4.129999999999956,4.424034820700263
4.139999999999956,4.413811019700589
4.149999999999956,4.404468337396957
4.159999999999956,4.395500439572356
4.1699999999999555,4.3862218145070075
4.179999999999955,4.376655444012178
4.189999999999955,4.36739901075159
4.199999999999955,4.3577508520331305
4.209999999999955,4.348195533847499
4.2199999999999545,4.3393208587653636
4.229999999999954,4.3300497152248845
4.239999999999954,4.3206588262737915
4.249999999999954,4.311447775551616
4.259999999999954,4.302237688730192
4.269999999999953,4.293440323297906
4.279999999999953,4.2847041595486175
4.289999999999953,4.276063663497524
4.299999999999953,4.267324559716287
4.3099999999999525,4.2584116859513514
4.319999999999952,4.249366681873337
4.329999999999952,4.240677764731284
4.339999999999952,4.2319224726188835
4.349999999999952,4.224159635555331
4.3599999999999515,4.216011779661434
4.369999999999951,4.207265247517962
4.379999999999951,4.199058580982498
4.389999999999951,4.1907961852740465
4.399999999999951,4.18263156750245
4.40999999999995,4.174969961966338
4.41999999999995,4.166593881381984
4.42999999999995,4.1589070845316
4.43999999999995,4.150816480235093
4.4499999999999496,4.142839596409686
4.459999999999949,4.134848888589983
4.469999999999949,4.126981520000619
4.479999999999949,4.119693579673466
4.489999999999949,4.111742740849513
4.4999999999999485,4.103803668780439
4.509999999999948,4.096205841304128
4.519999999999948,4.0884690078444335
4.529999999999948,4.0810331065139085
4.539999999999948,4.0735988340526665
4.549999999999947,4.0663688877192365
4.559999999999947,4.059036339991809
4.569999999999947,4.051723792730951
4.579999999999947,4.045034626166735
4.589999999999947,4.03779213323477
4.599999999999946,4.030422619903266
4.609999999999946,4.023394654271405
4.619999999999946,4.016399091568884
4.629999999999946,4.009000125766604
4.6399999999999455,4.002043282337653
4.649999999999945,3.9946425029332704
4.659999999999945,3.987687193757822
4.669999999999945,3.9807078344306936
4.679999999999945,3.973863676793163
4.689999999999944,3.9672777160495944
4.699999999999944,3.9604960464095096
4.709999999999944,3.9533154247781095
4.719999999999944,3.9464847514079517
4.729999999999944,3.939735429452759
4.739999999999943,3.933152233058572
4.749999999999943,3.9264489423775366
4.759999999999943,3.9197394917746085
4.769999999999943,3.913253564567548
4.7799999999999425,3.9066987888887197
4.789999999999942,3.9002166765921302
4.799999999999942,3.8935595992656533
4.809999999999942,3.8867687478639956
4.819999999999942,3.880256162056419
4.8299999999999415,3.8739871719605294
4.839999999999941,3.8675477688930586
4.849999999999941,3.8607941747082
4.859999999999941,3.8545417091352907
4.869999999999941,3.8482143986375674
4.87999999999994,3.842015044298269
4.88999999999994,3.8359351144882474
4.89999999999994,3.8298638500464515
4.90999999999994,3.8236325712750063
4.9199999999999395,3.8173591807539586
4.929999999999939,3.811193572158409
4.939999999999939,3.8051429670118098
4.949999999999939,3.79898079085587
4.959999999999939,3.792772870400526
4.9699999999999385,3.7866223028764328
4.979999999999938,3.7806110069781464
4.989999999999938,3.7746825523820475
4.999999999999938,3.7685956983642726
5.009999999999938,3.7627356156798224
5.019999999999937,3.7567347302559515
5.029999999999937,3.750794104602825
5.039999999999937,3.744701365368374
5.049999999999937,3.73892578405646
5.0599999999999365,3.7329302368731736
5.069999999999936,3.7269273825408145
5.079999999999936,3.721083842105114
5.089999999999936,3.7152553325671307
5.099999999999936,3.709540772489927
5.1099999999999355,3.7037818512491136
5.119999999999935,3.698218956638717
5.129999999999935,3.6926496906192425
5.139999999999935,3.6870837903573817
5.149999999999935,3.6814219773582875
5.159999999999934,3.6758343607793784
5.169999999999934,3.6702242652753596
5.179999999999934,3.6646642733127552
5.189999999999934,3.6590571327229564
5.199999999999934,3.653420811282783
5.209999999999933,3.6479547835704897
5.219999999999933,3.6425142347984014
5.229999999999933,3.637033777137591
5.239999999999933,3.6316325102290903
5.2499999999999325,3.6262389077111554
5.259999999999932,3.6208196932678813
5.269999999999932,3.6153647900327983
5.279999999999932,3.609998683435152
5.289999999999932,3.60472404066718
5.299999999999931,3.5993472958331294
5.309999999999931,3.5940012132201757
5.319999999999931,3.5887719045048843
5.329999999999931,3.583526346440004
5.339999999999931,3.578377009861173
5.34999999999993,3.573178114128895
5.35999999999993,3.568043408092464
5.36999999999993,3.562933967243134
5.37999999999993,3.5578335035962674
5.3899999999999295,3.552790720587128
5.399999999999929,3.5477593295934207
5.409999999999929,3.5427589286651364
5.419999999999929,3.5379059833787565
5.429999999999929,3.5329577608498646
5.4399999999999284,3.5280937134389205
5.449999999999928,3.523203862438007
