# Tier-1a onset-strip stress MD ensemble-mean trajectory. run_tag=tier1a_stress_onset_strip_n0_t0.5, n_final=0, t_strip_ps=0.5, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.586999999999970612e+01,1.066304684033302834e+02,2.610291731296701556e+00,2.610291731296701556e+00
1.587999999999970591e+01,1.066826822193757351e+02,2.611089875885518996e+00,2.611089875885518996e+00
1.588999999999970569e+01,1.067349119996721072e+02,2.611888154470234813e+00,2.611888154470234813e+00
1.589999999999970548e+01,1.067871577468541204e+02,2.612686562520325495e+00,2.612686562520325495e+00
1.590999999999970527e+01,1.068394194634658447e+02,2.613485095523156332e+00,2.613485095523156332e+00
1.591999999999970505e+01,1.068916971519613099e+02,2.614283748984001843e+00,2.614283748984001843e+00
1.592999999999970484e+01,1.069439908147047902e+02,2.615082518425992930e+00,2.615082518425992930e+00
1.593999999999970463e+01,1.069963004539712301e+02,2.615881399390147966e+00,2.615881399390147966e+00
1.594999999999970441e+01,1.070486260719466003e+02,2.616680387435375899e+00,2.616680387435375899e+00
1.595999999999970420e+01,1.071009676707282807e+02,2.617479478138450499e+00,2.617479478138450499e+00
1.596999999999970399e+01,1.071533252523251889e+02,2.618278667094029011e+00,2.618278667094029011e+00
1.597999999999970377e+01,1.072056988186585897e+02,2.619077949914631276e+00,2.619077949914631276e+00
1.598999999999970356e+01,1.072580883715618114e+02,2.619877322230645511e+00,2.619877322230645511e+00
1.599999999999970335e+01,1.073104939127812401e+02,2.620676779690302105e+00,2.620676779690302105e+00
1.600999999999970314e+01,1.073629154439763624e+02,2.621476317959709590e+00,2.621476317959709590e+00
1.601999999999970470e+01,1.074153529667201497e+02,2.622275932722847536e+00,2.622275932722847536e+00
1.602999999999970626e+01,1.074678064824993271e+02,2.623075619681506154e+00,2.623075619681506154e+00
1.603999999999970782e+01,1.075202759927150282e+02,2.623875374555313389e+00,2.623875374555313389e+00
1.604999999999970939e+01,1.075727614986827945e+02,2.624675193081782432e+00,2.624675193081782432e+00
1.605999999999971095e+01,1.076252630016332148e+02,2.625475071016239781e+00,2.625475071016239781e+00
1.606999999999971251e+01,1.076777805027119399e+02,2.626275004131792823e+00,2.626275004131792823e+00
1.607999999999971408e+01,1.077303140029806343e+02,2.627074988219394669e+00,2.627074988219394669e+00
1.608999999999971564e+01,1.077828635034166496e+02,2.627875019087797526e+00,2.627875019087797526e+00
1.609999999999971720e+01,1.078354290049137063e+02,2.628675092563546034e+00,2.628675092563546034e+00
1.610999999999971877e+01,1.078880105082825196e+02,2.629475204491005247e+00,2.629475204491005247e+00
1.611999999999972033e+01,1.079406080142505147e+02,2.630275350732311335e+00,2.630275350732311335e+00
1.612999999999972189e+01,1.079932215234627506e+02,2.631075527167375139e+00,2.631075527167375139e+00
1.613999999999972346e+01,1.080458510364819631e+02,2.631875729693865740e+00,2.631875729693865740e+00
1.614999999999972502e+01,1.080984965537890758e+02,2.632675954227215787e+00,2.632675954227215787e+00
1.615999999999972658e+01,1.081511580757834281e+02,2.633476196700592187e+00,2.633476196700592187e+00
1.616999999999972815e+01,1.082038356027833998e+02,2.634276453064894774e+00,2.634276453064894774e+00
1.617999999999972971e+01,1.082565291350262555e+02,2.635076719288765190e+00,2.635076719288765190e+00
1.618999999999973127e+01,1.083092386726690677e+02,2.635876991358546029e+00,2.635876991358546029e+00
1.619999999999973284e+01,1.083619642157887171e+02,2.636677265278311033e+00,2.636677265278311033e+00
1.620999999999973440e+01,1.084147057643822478e+02,2.637477537069809586e+00,2.637477537069809586e+00
1.621999999999973596e+01,1.084674633183675780e+02,2.638277802772434288e+00,2.638277802772434288e+00
1.622999999999973753e+01,1.085202368775833008e+02,2.639078058443254715e+00,2.639078058443254715e+00
1.623999999999973909e+01,1.085730264417894375e+02,2.639878300157035174e+00,2.639878300157035174e+00
1.624999999999974065e+01,1.086258320106677502e+02,2.640678524006172090e+00,2.640678524006172090e+00
1.625999999999974222e+01,1.086786535838219265e+02,2.641478726100665586e+00,2.641478726100665586e+00
1.626999999999974378e+01,1.087314911607781340e+02,2.642278902568129251e+00,2.642278902568129251e+00
1.627999999999974534e+01,1.087843447409851763e+02,2.643079049553783033e+00,2.643079049553783033e+00
1.628999999999974690e+01,1.088372143238149476e+02,2.643879163220423933e+00,2.643879163220423933e+00
1.629999999999974847e+01,1.088900999085628314e+02,2.644679239748439326e+00,2.644679239748439326e+00
1.630999999999975003e+01,1.089430014944479694e+02,2.645479275335756775e+00,2.645479275335756775e+00
1.631999999999975159e+01,1.089959190806135467e+02,2.646279266197833380e+00,2.646279266197833380e+00
1.632999999999975316e+01,1.090488526661274165e+02,2.647079208567666875e+00,2.647079208567666875e+00
1.633999999999975472e+01,1.091018022499821001e+02,2.647879098695751665e+00,2.647879098695751665e+00
1.634999999999975628e+01,1.091547678310953415e+02,2.648678932850080159e+00,2.648678932850080159e+00
1.635999999999975785e+01,1.092077494083104767e+02,2.649478707316100579e+00,2.649478707316100579e+00
1.636999999999975941e+01,1.092607469803967319e+02,2.650278418396731617e+00,2.650278418396731617e+00
1.637999999999976097e+01,1.093137605460494939e+02,2.651078062412356662e+00,2.651078062412356662e+00
1.638999999999976254e+01,1.093667901038906933e+02,2.651877635700762070e+00,2.651877635700762070e+00
1.639999999999976410e+01,1.094198356524693736e+02,2.652677134617109633e+00,2.652677134617109633e+00
1.640999999999976566e+01,1.094728971902616621e+02,2.653476555533953896e+00,2.653476555533953896e+00
1.641999999999976723e+01,1.095259747156714667e+02,2.654275894841226613e+00,2.654275894841226613e+00
1.642999999999976879e+01,1.095790682270305609e+02,2.655075148946204333e+00,2.655075148946204333e+00
1.643999999999977035e+01,1.096321777225990104e+02,2.655874314273502623e+00,2.655874314273502623e+00
1.644999999999977192e+01,1.096853032005656843e+02,2.656673387265044983e+00,2.656673387265044983e+00
1.645999999999977348e+01,1.097384446590483265e+02,2.657472364380016661e+00,2.657472364380016661e+00
1.646999999999977504e+01,1.097916020960941523e+02,2.658271242094889075e+00,2.658271242094889075e+00
1.647999999999977661e+01,1.098447755096800194e+02,2.659070016903391398e+00,2.659070016903391398e+00
1.648999999999977817e+01,1.098979648977128392e+02,2.659868685316471915e+00,2.659868685316471915e+00
1.649999999999977973e+01,1.099511702580297765e+02,2.660667243862250064e+00,2.660667243862250064e+00
1.650999999999978129e+01,1.100043915883990877e+02,2.661465689086058628e+00,2.661465689086058628e+00
1.651999999999978286e+01,1.100576288865196943e+02,2.662264017550397543e+00,2.662264017550397543e+00
1.652999999999978442e+01,1.101108821500221921e+02,2.663062225834884611e+00,2.663062225834884611e+00
1.653999999999978598e+01,1.101641513764688511e+02,2.663860310536240839e+00,2.663860310536240839e+00
1.654999999999978755e+01,1.102174365633541697e+02,2.664658268268317531e+00,2.664658268268317531e+00
1.655999999999978911e+01,1.102707377081048605e+02,2.665456095662030567e+00,2.665456095662030567e+00
