t_ps,v_spline_Aps,F_drag_amuAps2
2.67,4.928756553409064,333.7979092932263
2.671,4.928128767169618,333.7927856466766
2.672,4.9275009816748945,333.78762905533034
2.673,4.926873196923089,333.7824384666344
2.674,4.926245412912405,333.7772124969259
2.675,4.925617629641044,333.77195011061895
2.676,4.924989847107205,333.76665008336715
2.677,4.924362065309091,333.76131093462857
2.678,4.9237342842449,333.75593173906327
2.679,4.9231065039128366,333.75051158948884
2.68,4.922478724311097,333.74504917195156
2.681,4.921850945437886,333.73954296216414
2.682,4.921223167291402,333.7339914415633
2.683,4.920595389869849,333.72839348277057
2.684,4.9199676131714245,333.7227471479432
2.685,4.919339837194331,333.7170504959549
2.686,4.918712061936768,333.7113021246058
2.687,4.918084287396938,333.7055007035026
2.688,4.917456513573038,333.69964460091893
2.689,4.916828740463277,333.69373273808964
2.69,4.916200968065846,333.68776429965453
2.691,4.915573196378952,333.6817379613657
2.692,4.914945425400797,333.6756521570711
2.693,4.914317655129577,333.6695051669539
2.694,4.913689885563495,333.6632954240673
2.695,4.913062116700751,333.6570212851051
2.696,4.91243434853955,333.65068142948496
2.697,4.911806581078087,333.64427487936996
2.698,4.911178814314566,333.6378005911233
2.699,4.910551048247187,333.6312571743646
2.7,4.909923282874152,333.6246431288224
2.701,4.909295518193661,333.6179573913483
2.702,4.908667754203912,333.61119891868606
2.703,4.908039990903111,333.60436647449336
2.704,4.907412228289457,333.5974586350372
2.705,4.906784466361148,333.59047415035235
2.706,4.9061567051163895,333.58341185392317
2.707,4.905528944553379,333.5762704540077
2.708,4.904901184670317,333.56904840684814
2.709,4.904273425465408,333.56174437379605
2.71,4.903645666936849,333.55435715785825
2.711,4.903017909082842,333.54688552467485
2.712,4.902390151901588,333.5393280218191
2.713,4.901762395391289,333.53168338200743
2.714,4.901134639550145,333.5239507794506
2.715,4.900506884376356,333.5161296163428
2.716,4.899879129868123,333.5082190062989
2.717,4.899251376023647,333.50021782671377
2.718,4.898623622841131,333.4921249433582
2.719,4.8979958703187725,333.4839391373475
2.72,4.897368118454774,333.475659408586
2.721,4.896740367247339,333.467284582341
2.722,4.896112616694662,333.45881371062865
2.723,4.895484866794949,333.4502457382992
2.724,4.894857117546398,333.44157952995846
2.725,4.894229368947212,333.4328140348765
2.726,4.893601620995591,333.4239484962262
2.727,4.892973873689737,333.4149821585615
2.728,4.892346127027847,333.4059139742967
2.729,4.8917183810081255,333.39674283887183
2.73,4.891090635628771,333.3874680246325
