v_mps,signal_296,signal_297
5.636,0.109183464076051,0.168182951254081
11.272,0.196648858945338,0.313403983911198
16.908,0.276412708352782,0.400755308417594
22.544,0.372897721888603,0.444164703581466
28.18,0.493934048122288,0.497054860566664
33.816,0.63418424384046,0.60875600866287
39.452,0.808139010930395,0.755165741031019
45.088,0.973983366281134,0.881160606996622
50.724,1.0817940002462,1.02768151934561
56.36,1.13721782003229,1.15411991789077
61.996,1.17785549325647,1.21851683155625
67.632,1.20278896155854,1.18134687022411
73.268,1.20226302390017,1.18608483656696
78.904,1.23641639149421,1.28751298116484
84.54,1.33713841096116,1.48141266114445
90.176,1.43801664380013,1.66905458721936
95.812,1.50858403989771,1.80820387938765
101.448,1.56405548446809,1.89443262693645
107.084,1.61000530352089,1.91907510248775
112.72,1.66406941224104,1.95645325083645
118.356,1.71644484814701,1.97481911069931
123.992,1.71784432064363,1.97741489663632
129.628,1.6957936833403,1.97151616598235
135.264,1.69644879367919,1.99874936639495
140.9,1.80662590094579,2.01440238592784
146.536,1.92559510161399,2.02443703506382
152.172,2.0301045334315,2.08726834972761
157.808,2.07875557549561,2.17871339683034
163.444,2.1214663931367,2.1321804109308
169.08,2.14009622176693,2.07920621391083
174.716,2.21411796175477,2.13182499654112
180.352,2.22294326282217,2.25953758549797
185.988,2.06785167341086,2.23607220452584
191.624,1.81585627542702,2.09837052539491
197.26,1.71374064045172,2.07648624311254
202.896,1.8853894028441,2.26413359809331
208.532,2.22681412081638,2.51055543852857
214.168,2.4893386845947,2.61369504238222
219.804,2.50891994369011,2.49020811489135
225.44,2.38775409553358,2.3273207770429
231.076,2.36574157517817,2.34492971826201
236.712,2.51823506766569,2.56314657957459
242.348,2.53618058014055,2.66875504335413
247.984,2.45301696904076,2.72271692399572
253.62,2.44201382273177,2.90960123225695
259.256,2.50454052135351,3.1841962763483
264.892,2.75428211362969,3.43330959468931
270.528,3.12167676995537,3.26402559841268
276.164,3.51736131925335,2.90390423843097
281.8,3.8662438233732,2.78325417643246
287.436,4.05558135504653,3.03052028853272
293.072,3.97468526054775,3.44152513627761
298.708,3.60336129084073,3.71705950631746
304.344,3.42287511736508,3.73093242331334
309.98,3.42654563701057,3.54414643866602
315.616,3.42704522202771,3.2555718137214
321.252,3.38702210938066,3.01160956201195
326.888,3.46368853989703,3.0427391602
332.524,3.63850043346182,3.36494509658727
338.16,3.96151238665415,3.66477163232976
343.796,4.30996669437118,3.83380504104881
349.432,4.44341498945916,3.8628213148064
355.068,4.25586525751928,3.84602262057938
360.704,4.05631869112391,3.88605833657795
366.34,4.02429722591184,4.00899312986027
371.976,4.28181086707334,4.3716462973039
377.612,4.41781856776916,4.67518379564314
383.248,4.55482507279325,4.94054410581545
388.884,4.57813344162237,5.03190817367477
394.52,4.92875385234742,5.06887011983821
400.156,5.20290970765945,4.82331923013355
405.792,5.13168468246291,4.37153987536312
411.428,4.73327982895813,4.06716839919777
417.064,4.38114598506194,4.10824280696196
422.7,4.23522905922652,4.54819139768706
428.336,4.27944885591741,4.95362316662069
433.972,4.37087800217965,5.01007283014649
439.608,4.50921966752414,4.79362613671743
445.244,4.75633614010896,4.61508843650404
450.88,4.96590742094439,4.7142073224244
456.516,5.05153544189725,4.8441029897641
462.152,4.90650628307215,5.01728334995682
467.788,4.7341976380419,5.11796667507037
473.424,4.67067628137089,5.15874984165265
479.06,4.73068692323994,5.05669868114884
484.696,4.8349316772951,5.04663780997307
490.332,4.89467933937953,5.09674190728101
495.968,4.77927527014395,5.06214773429166
501.604,4.53484459389544,4.79640245163429
