t_ps,v_spline_Aps,F_drag_amuAps2
2.67,4.930533596188817,331.6230088697811
2.671,4.929916524457803,331.6185830731514
2.672,4.929299450037179,331.6141226540666
2.673,4.928682372933409,331.60962655997366
2.674,4.928065293152962,331.60509340720967
2.675,4.927448210702302,331.6005221601885
2.676,4.926831125587899,331.59591159456403
2.677,4.926214037816217,331.5912602297942
2.678,4.925596947393727,331.58656714053916
2.679,4.924979854326893,331.5818314196164
2.68,4.9243627586221805,331.5770517530723
2.681,4.9237456602860625,331.57222661661933
2.682,4.9231285593250025,331.5673544916946
2.683,4.922511455745467,331.56243425091935
2.684,4.9218943495539245,331.55746395645093
2.685,4.92127724075684,331.55244166716295
2.686,4.920660129360682,331.5473659808557
2.687,4.920043015371916,331.5422355671358
2.688,4.9194258987970105,331.53704879427687
2.689,4.918808779642436,331.5318045835138
2.69,4.918191657914653,331.52650211948634
2.691,4.917574533620131,331.5211400779466
2.692,4.91695740676534,331.51571689274255
2.693,4.916340277356743,331.51023084405733
2.694,4.915723145400809,331.50468036494414
2.695,4.915106010904004,331.4990638120968
2.696,4.914488873872797,331.493379864933
2.697,4.913871734313652,331.4876275456158
2.698,4.913254592233039,331.4818058105085
2.699,4.912637447637423,331.4759132692304
2.7,4.912020300533272,331.46994842151037
2.701,4.911403150927055,331.4639102041998
2.702,4.910785998825234,331.4577975740427
2.703,4.910168844234281,331.4516092946964
2.704,4.9095516871606595,331.4453439424282
2.705,4.908934527610838,331.4390002672728
2.706,4.9083173655912855,331.4325771027145
2.707,4.907700201108466,331.4260731570113
2.708,4.9070830341688465,331.4194868864055
2.709,4.906465864778897,331.41281695224865
2.71,4.905848692945083,331.40606215754747
2.711,4.905231518673871,331.3992212679422
2.712,4.904614341971728,331.39229283100605
2.713,4.903997162845121,331.3852755794554
2.714,4.903379981300517,331.378168687501
2.715,4.902762797344385,331.37097155733716
2.716,4.90214561098319,331.3636833025785
2.717,4.9015284222234,331.35630280062026
2.718,4.900911231071483,331.34882891723294
2.719,4.900294037533902,331.34126043353194
2.72,4.899676841617127,331.33359634942167
2.721,4.899059643327625,331.3258354901693
2.722,4.898442442671864,331.317976907791
2.723,4.897825239656309,331.3100195471371
2.724,4.897208034287429,331.30196227281334
2.725,4.896590826571686,331.2938040340898
2.726,4.895973616515555,331.2855440741394
2.727,4.895356404125499,331.277181637516
2.728,4.894739189407984,331.26871567663403
2.729,4.894121972369478,331.26014508693333
2.73,4.8935047530164475,331.2514691407597
2.731,4.8928875313553615,331.24268720953614
2.732,4.892270307392684,331.2337984748366
2.733,4.891653081134886,331.22480223678735
2.734,4.8910358525884305,331.21569757257345
2.735,4.890418621759787,331.20648371202964
2.736,4.889801388655422,331.1971599899979
2.737,4.889184153281803,331.18772575979335
2.738,4.888566915645394,331.1781807183882
2.739,4.887949675752669,331.1685249190964
2.74,4.887332433610087,331.15875825565683
2.741,4.8867151892241205,331.14888060396834
2.742,4.886097942601234,331.13889152247816
2.743,4.885480693747894,331.12879066357766
2.744,4.884863442670571,331.11857799969425
2.745,4.884246189375727,331.1082534808441
2.746,4.883628933869835,331.0978164497288
2.747,4.883011676159357,331.08726658099533
2.748,4.8823944162507615,331.07660364810425
2.749,4.881777154150517,331.06582747722314
2.75,4.8811598898650885,331.0549381122893
2.751,4.880542623400945,331.0439356295264
2.752,4.879925354764553,331.0328199813722
2.753,4.879308083962377,331.02159089575844
2.754,4.878690811000888,331.0102483229195
2.755,4.87807353588655,330.9987924502056
2.756,4.877456258625834,330.98722354978423
2.757,4.876838979225202,330.97554170724493
2.758,4.876221697691123,330.9637469728598
2.759,4.875604414030066,330.9518389684982
2.76,4.874987128248494,330.93981756367975
2.761,4.874369840352878,330.92768276377944
2.762,4.873752550349684,330.9154347870664
2.763,4.873135258245378,330.9030737371467
