step,t_ps,atom,x_A,y_A,z_A,vx_Aps,vy_Aps,vz_Aps,mass_kg,E_kin_eV,E_pot_eV,E_dissip_eV
13,1.2999999999999998e-01,0,3.1881562175752420e+00,2.1207479958931357e+00,1.0672287123733932e+00,2.3585523831738961e+00,1.5310110074562409e+00,8.2349649748011544e-01,2.1088846189000000e-25,5.6506197791453987e-02,1.0592873408493040e+00,0.0000000000000000e+00
13,1.2999999999999998e-01,1,-3.1751465393807545e+00,-2.0687703796808332e+00,-1.0802139442238190e+00,-2.2583299217476629e+00,-1.1315254216854072e+00,-9.2315701972879083e-01,2.1088846189000000e-25,4.7605389397878312e-02,1.0588767668550905e+00,0.0000000000000000e+00
14,1.3999999999999999e-01,0,3.2124072427417194e+00,2.1364960164465625e+00,1.0756883650055691e+00,2.4906550137158647e+00,1.6178960027258700e+00,8.6811731883783461e-01,2.1088846189000000e-25,6.3020222635475395e-02,1.0530749993030997e+00,0.0000000000000000e+00
14,1.3999999999999999e-01,1,-3.1983951725211064e+00,-2.0805239307450791e+00,-1.0896699468222262e+00,-2.3903978906757288e+00,-1.2184903626116386e+00,-9.6772500969278419e-01,2.1088846189000000e-25,5.3546268989525130e-02,1.0526331129952000e+00,0.0000000000000000e+00
15,1.4999999999999999e-01,0,3.2379693178495597e+00,2.1531059159476529e+00,1.0845910587501499e+00,2.6207281103434408e+00,1.7033660647174469e+00,9.1209224911231290e-01,2.1088846189000000e-25,6.9780017285631490e-02,1.0466122786463437e+00,0.0000000000000000e+00
15,1.4999999999999999e-01,1,-3.2229544971942690e+00,-2.0931401869330659e+00,-1.0995684444176745e+00,-2.5204339859663945e+00,-1.3040456550182418e+00,-1.0116435830119577e+00,2.1088846189000000e-25,5.9742155894440763e-02,1.0461391184450541e+00,0.0000000000000000e+00
16,1.6000000000000000e-01,0,3.2648218049485886e+00,2.1705633377409113e+00,1.0939302099878152e+00,2.7487071096226376e+00,1.7873823778990650e+00,9.5539766138798121e-01,2.1088846189000000e-25,7.6765711941382084e-02,1.0399189257598747e+00,0.0000000000000000e+00
16,1.6000000000000000e-01,1,-3.2488038522404343e+00,-2.1066048438454441e+00,-1.1099028184824653e+00,-2.6483736819955079e+00,-1.3881523628714700e+00,-1.0548891832932026e+00,2.1088846189000000e-25,6.6173438099288551e-02,1.0394145306154170e+00,0.0000000000000000e+00
17,1.7000000000000001e-01,0,3.2929434600420127e+00,2.1888535635056341e+00,1.1036990119779095e+00,2.8745353009597712e+00,1.8699113682263391e+00,9.9801254342899659e-01,2.1088846189000000e-25,8.3957505617463485e-02,1.0330146352938894e+00,0.0000000000000000e+00
17,1.7000000000000001e-01,1,-3.2759219708341791e+00,-2.1209032341904952e+00,-1.1206662280835384e+00,-2.7741603063991276e+00,-1.4707767874114892e+00,-1.0974408707898602e+00,2.1088846189000000e-25,7.2820537749246225e-02,1.0324790448687868e+00,0.0000000000000000e+00
18,1.8000000000000002e-01,0,3.3223125109677842e+00,2.2079615651054381e+00,1.1138904608563951e+00,2.9981636714369739e+00,1.9509245738978198e+00,1.0399184588271237e+00,2.1088846189000000e-25,9.1335782937094129e-02,1.0259189324232276e+00,0.0000000000000000e+00
18,1.8000000000000002e-01,1,-3.3042870583684167e+00,-2.1360203795936736e+00,-1.1318516358982624e+00,-2.8977448846326732e+00,-1.5518903383605474e+00,-1.1392802832022368e+00,2.1088846189000000e-25,7.9664028765090017e-02,1.0253521872831077e+00,0.0000000000000000e+00
19,1.9000000000000003e-01,0,3.3529067334707525e+00,2.2278720549835906e+00,1.1244973811544519e+00,3.1195507021903639e+00,2.0303984858729942e+00,1.0810994909644311e+00,2.1088846189000000e-25,9.8881220779614504e-02,1.0186510656591570e+00,0.0000000000000000e+00
19,1.9000000000000003e-01,1,-3.3338768685268323e+00,-2.1519410409577060e+00,-1.1434518337475832e+00,-3.0190859361656175e+00,-1.6314693749377753e+00,-1.1803915793309372e+00,2.1088846189000000e-25,8.6684744519993917e-02,1.0180532074707715e+00,0.0000000000000000e+00
20,2.0000000000000004e-01,0,3.3847035250115916e+00,2.2485695348228978e+00,1.1355124506756835e+00,3.2386621226237007e+00,2.1083143624728571e+00,1.1215421718262555e+00,2.1088846189000000e-25,1.0657488428156163e-01,1.0112299102342117e+00,0.0000000000000000e+00
20,2.0000000000000004e-01,1,-3.3646687770917287e+00,-2.1686497670924294e+00,-1.1554594674848813e+00,-3.1381492286572441e+00,-1.7094950210292514e+00,-1.2207613676387377e+00,2.1088846189000000e-25,9.3863875051303530e-02,1.0106009819694866e+00,0.0000000000000000e+00
21,2.1000000000000005e-01,0,3.4176799759232264e+00,2.2700383422330477e+00,1.1469282245909769e+00,3.3554706288637206e+00,2.1846580224082879e+00,1.1612353977628815e+00,2.1088846189000000e-25,1.1439831192969542e-01,1.0036738823422835e+00,0.0000000000000000e+00
21,2.1000000000000005e-01,1,-3.3966398530999773e+00,-2.1861309413782912e+00,-1.1678670611003581e+00,-3.2549074961810383e+00,-1.7859529586340281e+00,-1.2603786217057196e+00,2.1088846189000000e-25,1.0118305349777310e-01,1.0030139284872541e+00,0.0000000000000000e+00
22,2.2000000000000006e-01,0,3.4518129375888655e+00,2.2922626952710639e+00,1.1587371586309410e+00,3.4699555725416373e+00,2.2594196203215331e+00,1.2001703342136500e+00,2.1088846189000000e-25,1.2233358968290599e-01,9.9600086430386170e-01,0.0000000000000000e+00
22,2.2000000000000006e-01,1,-3.4297669270153497e+00,-2.2043688262651098e+00,-1.1806670399189956e+00,-3.3693401277780128e+00,-1.8608332037970414e+00,-1.2992345846588431e+00,2.1088846189000000e-25,1.0862443168173035e-01,9.9530993107129551e-01,0.0000000000000000e+00
23,2.3000000000000007e-01,0,3.4870790873740587e+00,2.3152267346394786e+00,1.1709316312752496e+00,3.5821026258477042e+00,2.3325934087931497e+00,1.2383403113819509e+00,2.1088846189000000e-25,1.3036341425087544e-01,9.8822814053615904e-01,0.0000000000000000e+00
23,2.3000000000000007e-01,1,-3.4640266556555379e+00,-2.2233476054542320e+00,-1.1938517527935348e+00,-3.4814328324477990e+00,-1.9341298690845057e+00,-1.3373226646204974e+00,2.1088846189000000e-25,1.1617074494893025e-01,9.8750627608078545e-01,0.0000000000000000e+00
24,2.4000000000000007e-01,0,3.5234549901058196e+00,2.3389145634469273e+00,1.1835039648585799e+00,3.6919034286160053e+00,2.4041774906042952e+00,1.2757407128043863e+00,2.1088846189000000e-25,1.3847114582686676e-01,9.8037234404478701e-01,0.0000000000000000e+00
24,2.4000000000000007e-01,1,-3.4993955836643060e+00,-2.2430514236468002e+00,-1.2074134932114056e+00,-3.5911772861055979e+00,-2.0058409162410347e+00,-1.3746383230418835e+00,2.1088846189000000e-25,1.2380536652468509e-01,9.7961959868006165e-01,0.0000000000000000e+00
25,2.5000000000000006e-01,0,3.5609171559463788e+00,2.3633102844515648e+00,1.1964464455313373e+00,3.7993552227856524e+00,2.4741735647399263e+00,1.3123688586354760e+00,2.1088846189000000e-25,1.4664085070547142e-01,9.7244941301615540e-01,0.0000000000000000e+00
25,2.5000000000000006e-01,1,-3.5358502013776500e+00,-2.2634644237790531e+00,-1.2213445192543726e+00,-3.6985707659364055e+00,-2.0759679025681086e+00,-1.4111789577722351e+00,2.1088846189000000e-25,1.3151235179898552e-01,9.7166583943155604e-01,0.0000000000000000e+00
26,2.6000000000000006e-01,0,3.5994420945615326e+00,2.3883980347417255e+00,1.2097513420312893e+00,3.9044604791731081e+00,2.5425866693194066e+00,1.3482238853444879e+00,2.1088846189000000e-25,1.5485733432648768e-01,9.6447455697892592e-01,0.0000000000000000e+00
26,2.6000000000000006e-01,1,-3.5733669989830341e+00,-2.2845707816981622e+00,-1.2356370723668502e+00,-3.8036157770386883e+00,-2.1445157241823058e+00,-1.4469437825461224e+00,2.1088846189000000e-25,1.3927647305761756e-01,9.6366021045681638e-01,0.0000000000000000e+00
27,2.7000000000000007e-01,0,3.6390063655298408e+00,2.4141620178379526e+00,1.2234109232382269e+00,4.0072265210068103e+00,2.6094249242993612e+00,1.3833066233693956e+00,2.1088846189000000e-25,1.6310616536830125e-01,9.5646223191730462e-01,0.0000000000000000e+00
27,2.7000000000000007e-01,1,-3.6119225169184239e+00,-2.3063547382626988e+00,-1.2502833949052949e+00,-3.9063196758595171e+00,-2.2114923590310727e+00,-1.4819337044512553e+00,2.1088846189000000e-25,1.4708324526719566e-01,9.5561717054847017e-01,0.0000000000000000e+00
28,2.8000000000000008e-01,0,3.6795866249816687e+00,2.4405865332277124e+00,1.2374174744986770e+00,4.1076651482206445e+00,2.6746992764759687e+00,1.4176194741286934e+00,2.1088846189000000e-25,1.7137369157622903e-01,9.4842612365711521e-01,0.0000000000000000e+00
28,2.8000000000000008e-01,1,-3.6514933925002246e+00,-2.3288006288787835e+00,-1.2652757464558755e+00,-4.0066942944344435e+00,-2.2769086122043318e+00,-1.5161512007831570e+00,2.1088846189000000e-25,1.5491894358439387e-01,9.4755040855413220e-01,0.0000000000000000e+00
29,2.9000000000000009e-01,0,3.7211596684942534e+00,2.4676560033674719e+00,1.2517633127208005e+00,4.2057922660287144e+00,2.7384232489881195e+00,1.4511662876386136e+00,2.1088846189000000e-25,1.7964704805109585e-01,9.4037913880548030e-01,0.0000000000000000e+00
29,2.9000000000000009e-01,1,-3.6920564028071126e+00,-2.3518929105067858e+00,-1.2806064189209583e+00,-4.1047555689116173e+00,-2.3407778657163285e+00,-1.5496001965192503e+00,2.1088846189000000e-25,1.6277061329703169e-01,9.3947283431315942e-01,0.0000000000000000e+00
30,3.0000000000000010e-01,0,3.7637024703022424e+00,2.4953549982074752e+00,1.2664408002514491e+00,4.3016275208403432e+00,2.8006126972081438e+00,1.4839522418316504e+00,2.1088846189000000e-25,1.8791415874453576e-01,9.3233340250424535e-01,0.0000000000000000e+00
30,3.0000000000000010e-01,1,-3.7335885038784569e+00,-2.3756161861931107e+00,-1.2962677503862603e+00,-4.2005231753931573e+00,-2.4031158346284145e+00,-1.5822859434990719e+00,2.1088846189000000e-25,1.7062607292867041e-01,9.3139657640643669e-01,0.0000000000000000e+00
31,3.1000000000000011e-01,0,3.8071922189110601e+00,2.5236682573116349e+00,1.2814423575574334e+00,4.3951939461183791e+00,2.8612855726008788e+00,1.5159837245213501e+00,2.1088846189000000e-25,1.9616373191165118e-01,9.2430026225322459e-01,0.0000000000000000e+00
31,3.1000000000000011e-01,1,-3.7760668663149759e+00,-2.3999552271993543e+00,-1.3122521377909395e+00,-4.2940201757391812e+00,-2.4639403311210675e+00,-1.6142149022700429e+00,2.1088846189000000e-25,1.7847391124993303e-01,9.2333298597533986e-01,0.0000000000000000e+00
32,3.2000000000000012e-01,0,3.8516063492246100e+00,2.5525807096594924e+00,1.2967604747418762e+00,4.4865176202396597e+00,2.9204616957706886e+00,1.5472682187759657e+00,2.1088846189000000e-25,2.0438525025168305e-01,9.1629029706957787e-01,0.0000000000000000e+00
32,3.2000000000000012e-01,1,-3.8194689073932406e+00,-2.4248949928155321e+00,-1.3285520484316613e+00,-4.3852726754348836e+00,-2.5232710377642253e+00,-1.6453946273746136e+00,2.1088846189000000e-25,1.8630347892282254e-01,9.1529264587624604e-01,0.0000000000000000e+00
33,3.3000000000000013e-01,0,3.8969225713158528e+00,2.5820774912270483e+00,1.3123877219329529e+00,4.5756273381375321e+00,2.9781625397331934e+00,1.5778141923691986e+00,2.1088846189000000e-25,2.1256895645615950e-01,9.0831333127197911e-01,0.0000000000000000e+00
33,3.3000000000000013e-01,1,-3.8637723198236738e+00,-2.4504206479546391e+00,-1.3451600303384319e+00,-4.4743094951809708e+00,-2.5811292909465484e+00,-1.6758336567055023e+00,2.1088846189000000e-25,1.9410487548065494e-01,9.0728538445932849e-01,0.0000000000000000e+00
34,3.4000000000000014e-01,0,3.9431188959873600e+00,2.6121439604541563e+00,1.3283167585892601e+00,4.6625542980277030e+00,3.0344110241355966e+00,1.6076309918134513e+00,2.1088846189000000e-25,2.2070583484386566e-01,9.0037845220933066e-01,0.0000000000000000e+00
34,3.4000000000000014e-01,1,-3.9089550972968601e+00,-2.4765175786344633e+00,-1.3620687215657712e+00,-4.5611618575845707e+00,-2.6375378752383343e+00,-1.7055414054597759e+00,2.1088846189000000e-25,2.0186893232407066e-01,8.9932029329141205e-01,0.0000000000000000e+00
35,3.5000000000000014e-01,0,3.9901736572764066e+00,2.6427657117097603e+00,1.3445403417692219e+00,4.7473318041772190e+00,3.0892313209293798e+00,1.6367287413634730e+00,2.1088846189000000e-25,2.2878758972319066e-01,8.9249403129254778e-01,0.0000000000000000e+00
35,3.5000000000000014e-01,1,-3.9549955569753652e+00,-2.5031714054594061e+00,-1.3792708584476272e+00,-4.6458630899694118e+00,-2.6925208292314200e+00,-1.7345280650993229e+00,2.1088846189000000e-25,2.0958719237582929e-01,8.9140574818150653e-01,0.0000000000000000e+00
36,3.6000000000000015e-01,0,4.0380655320709042e+00,2.6739285868727438e+00,1.3610513334165295e+00,4.8299949865431557e+00,3.1426486719180344e+00,1.6651182473302344e+00,2.1088846189000000e-25,2.3680662109572154e-01,8.8466774773128398e-01,0.0000000000000000e+00
36,3.6000000000000015e-01,1,-4.0018723590962484e+00,-2.5303679952190921e+00,-1.3967592828677575e+00,-4.7284483439447484e+00,-2.7461032631574147e+00,-1.7628045075934977e+00,2.1088846189000000e-25,2.1725188698866288e-01,8.8354943291092403e-01,0.0000000000000000e+00
37,3.7000000000000016e-01,0,4.0867735570072696e+00,2.7056186851481208e+00,1.3778427067158265e+00,4.9105805374450187e+00,3.1946892181718751e+00,1.6928109078179274e+00,2.1088846189000000e-25,2.4475599823118188e-01,8.7690661442452200e-01,0.0000000000000000e+00
37,3.7000000000000016e-01,1,-4.0495645238542606e+00,-2.5580934707225542e+00,-1.4145269485994971e+00,-4.8089543321419450e+00,-2.7983111884397713e+00,-1.7903821951388528e+00,2.1088846189000000e-25,2.2485591065828944e-01,8.7575836511693761e-01,0.0000000000000000e+00
38,3.8000000000000017e-01,0,4.1362771428198037e+00,2.7378223712361809e+00,1.3949075515728881e+00,4.9891264655359695e+00,3.2453798413780324e+00,1.7198186280268861e+00,2.1088846189000000e-25,2.5262943162655010e-01,8.6921700550296899e-01,0.0000000000000000e+00
38,3.8000000000000017e-01,1,-4.0980514457390873e+00,-2.5863342189878873e+00,-1.4325669267705345e+00,-4.8874190822135519e+00,-2.8491713591380394e+00,-1.8172730954401601e+00,2.1088846189000000e-25,2.3239279403888838e-01,8.6803892382801739e-01,0.0000000000000000e+00
39,3.9000000000000018e-01,0,4.1865560863179878e+00,2.7705262819756813e+00,1.4122390792763642e+00,5.0656718670699563e+00,3.2947480170251260e+00,1.7461537411707078e+00,2.1088846189000000e-25,2.6042124380803883e-01,8.6160468507012622e-01,0.0000000000000000e+00
39,3.9000000000000018e-01,1,-4.1473129054985307e+00,-2.6150768979053152e+00,-1.4508724105083002e+00,-4.9638817080490982e+00,-2.8987111251569155e+00,-1.8434896025859733e+00,2.1088846189000000e-25,2.3985667571559532e-01,8.6039687819749644e-01,0.0000000000000000e+00
40,4.0000000000000019e-01,0,4.2375905801612026e+00,2.8037173315766832e+00,1.4298306263963021e+00,5.1402567141080153e+00,3.3428216790971947e+00,1.7718289349322114e+00,2.1088846189000000e-25,2.6812633936776387e-01,8.5407483673785156e-01,0.0000000000000000e+00
40,4.0000000000000019e-01,1,-4.1973290799000686e+00,-2.6443084414910256e+00,-1.4694367188222539e+00,-5.0383821980456824e+00,-2.9469582970230026e+00,-1.8690444635092922e+00,2.1088846189000000e-25,2.4724227314652317e-01,8.5283741703155824e-01,0.0000000000000000e+00
41,4.1000000000000020e-01,0,4.2893612206001484e+00,2.8373827155576250e+00,1.4476756579750083e+00,5.2129216593516601e+00,3.3896290959902995e+00,1.7968571833935061e+00,2.1088846189000000e-25,2.7574017459821404e-01,8.4663209359938341e-01,0.0000000000000000e+00
41,4.1000000000000020e-01,1,-4.2480805494594440e+00,-2.6740160638457753e+00,-1.4882532997784859e+00,-5.1109612199505374e+00,-2.9939410218341025e+00,-1.8939507099092625e+00,2.1088846189000000e-25,2.5454485312319114e-01,8.4536517875454931e-01,0.0000000000000000e+00
42,4.2000000000000021e-01,0,4.3418490133482353e+00,2.8715099134964897e+00,1.4657677700641722e+00,5.2837078570653242e+00,3.4351987572244513e+00,1.8212516842950170e+00,2.1088846189000000e-25,2.8325872703161209e-01,8.3928056832827047e-01,0.0000000000000000e+00
42,4.2000000000000021e-01,1,-4.2995483042990799e+00,-2.7041872619277081e+00,-1.5073157330204390e+00,-5.1816599418649281e+00,-3.0396876700365585e+00,-1.9182215955323152e+00,2.1088846189000000e-25,2.6176020207167894e-01,8.3798428150008042e-01,0.0000000000000000e+00
43,4.3000000000000022e-01,0,4.3950353777414541e+00,2.9060866907021143e+00,1.4841006916609085e+00,5.3526567995317871e+00,3.4795592705201273e+00,1.8450258014681309e+00,2.1088846189000000e-25,2.9067846515631590e-01,8.3202388313404008e-01,0.0000000000000000e+00
43,4.3000000000000022e-01,1,-4.3517137482967430e+00,-2.7348098172465067e+00,-1.5266177316891323e+00,-5.2505198687164096e+00,-3.0842267325138284e+00,-1.9418705386094046e+00,2.1088846189000000e-25,2.6888459645593710e-01,8.3069835305881090e-01,0.0000000000000000e+00
44,4.4000000000000022e-01,0,4.4489021493388714e+00,2.9411010989068922e+00,1.5026682860935348e+00,5.4198101683424511e+00,3.5227392687226988e+00,1.8681930122342583e+00,2.1088846189000000e-25,2.9799631853524827e-01,8.2486519934567304e-01,0.0000000000000000e+00
44,4.4000000000000022e-01,1,-4.4045587016734080e+00,-2.7658717965779847e+00,-1.5461531437926272e+00,-5.3175826935262389e+00,-3.1275867274874916e+00,-1.9649110692499983e+00,2.1088846189000000e-25,2.7591477351359733e-01,8.2351056045396298e-01,0.0000000000000000e+00
45,4.5000000000000023e-01,0,4.5034315811083037e+00,2.9765414760765685e+00,1.5214645519055938e+00,5.4852096998259823e+00,3.5647673260666801e+00,1.8907668595600247e+00,2.1088846189000000e-25,3.0520964852025040e-01,8.1780724643032243e-01,0.0000000000000000e+00
45,4.5000000000000023e-01,1,-4.4580654021672679e+00,-2.7973615517962567e+00,-1.5659159530741324e+00,-5.3828901629121670e+00,-3.1697961168090623e+00,-1.9873567816302611e+00,2.1088846189000000e-25,2.8284790253565217e-01,8.1642363895206216e-01,0.0000000000000000e+00
46,4.6000000000000024e-01,0,4.5586063433353905e+00,3.0123964454282257e+00,1.5404836232847352e+00,5.5488970637544250e+00,3.6056718831700163e+00,1.9127609086993198e+00,2.1088846189000000e-25,3.1231621970836931e-01,8.1085235028834224e-01,0.0000000000000000e+00
46,4.6000000000000024e-01,1,-4.5122165049316516e+00,-2.8292677189141662e+00,-1.5859002794252326e+00,-5.4464839558872624e+00,-3.2108832309878861e+00,-2.0092212906769089e+00,2.1088846189000000e-25,2.8968155683258662e-01,8.0943992034998713e-01,0.0000000000000000e+00
47,4.7000000000000025e-01,0,4.6144095223833910e+00,3.0486549137399686e+00,1.5597197700795802e+00,5.6109137546700447e+00,3.6454811802900355e+00,1.9341887081187235e+00,2.1088846189000000e-25,3.1931417228032771e-01,8.0400246069635550e-01,0.0000000000000000e+00
47,4.7000000000000025e-01,1,-4.5669950812850129e+00,-2.8615792164160143e+00,-1.6061003788876707e+00,-5.5084055751877692e+00,-3.2508762024145268e+00,-2.0305181930057272e+00,2.1088846189000000e-25,2.9641368651830263e-01,8.0256136041008730e-01,0.0000000000000000e+00
48,4.8000000000000026e-01,0,4.6708246184287905e+00,3.0853060690340266e+00,1.5791673974471097e+00,5.6713009950714364e+00,3.6842231983091853e+00,1.9550637544645943e+00,2.1088846189000000e-25,3.2620199532433597e-01,7.9725917779679090e-01,0.0000000000000000e+00
48,4.8000000000000026e-01,1,-4.6223846164354061e+00,-2.8942852429624564e+00,-1.6265106432853471e+00,-5.5686962504711852e+00,-3.2898029063123571e+00,-2.0512610319090281e+00,2.1088846189000000e-25,3.0304259222893881e-01,7.9578956534177869e-01,0.0000000000000000e+00
49,4.9000000000000027e-01,0,4.7278355422848195e+00,3.1223393777061523e+00,1.5988210451688720e+00,5.7300996494994081e+00,3.7219256067930075e+00,1.9753994612606025e+00,2.1088846189000000e-25,3.3297850120107514e-01,7.9062377755675695e-01,0.0000000000000000e+00
