group,label,v_c,well,tau,E0,R_A,depth_mean_A,num_scored,nbar_det,n1_solv,w1_solv,midHot,deepKE,supp,trap,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_n,KE2_n,KE1_r100,KE1_rmed,KE2_r,md_gate
incumbent,s1,7.25,eb1168,3.2,0.27,-,-,1862,4.189044038668099,0.22923588039867115,0.7284060172629905,1.0327557718430003,0.6016887389331966,0.19172932330827067,0.069,1.0381398397804071,1.0366467065765947,1.0062499999999999,0.7621862824340373,0.772444858602589,0.7437499999999999,345,206,1.0381398397804071,0.920336737393978,1.0795839694533107,1
incumbent,s2,7.25,eb1168,3.2,0.27,-,-,1873,4.187399893219434,0.24623444662737395,0.6061742945835119,1.020521865541245,0.6414901720144117,0.1847303790710091,0.0635,1.0453516192836183,1.0549412718760431,1.09375,0.7614782355302674,0.7671543487286596,0.83125,376,216,1.0453516192836183,0.926730158939378,1.0785810701561862,1
incumbent,s3,7.25,eb1168,3.2,0.27,-,-,1858,4.053821313240043,0.24850894632206763,0.5191587324227492,1.018892194220141,0.6213660625465254,0.18783638320775026,0.071,1.019669464204038,1.025254417378582,1.0062499999999999,0.7498035860406089,0.7607677073221122,0.7437499999999999,375,223,1.019669464204038,0.9039622909610268,1.0620447394342902,1
incumbent,s4,7.25,eb1168,3.2,0.27,-,-,1869,3.9165329052969504,0.24619457313037726,0.5595132762242976,1.00724929360983,0.6469192851056362,0.19154628143392188,0.0655,1.0285866024204322,1.0305325888771488,1.0062499999999999,0.7510422802045756,0.7546903366844571,0.7437499999999999,372,218,1.0285866024204322,0.9118675553372627,1.063799263745858,1
incumbent,s5,7.25,eb1168,3.2,0.27,-,-,1868,3.9914346895074946,0.24624428478118876,0.4821879969564085,0.9744958590828633,0.6521986611962516,0.180406852248394,0.066,1.03911420173646,1.0486754123284912,1.09375,0.7461072424735138,0.7538575409295833,0.83125,377,235,1.03911420173646,0.9212005334543086,1.0568091253165919,1
incumbent,pooled,7.25,eb1168,3.2,0.27,-,-,9330,4.067631296891747,0.24330739812739022,0.5713217661312104,1.0109642104787544,0.6312710047460899,0.1872454448017149,0.067,1.0341283321444128,1.0376410671155416,1.0062499999999999,0.7538782256911463,0.7621748311098042,0.7437499999999999,1845,1098,1.0341283321444128,0.9167804362982384,1.0678161836985076,1
geogrid,r1l1,7.25,eb1168,3.2,0.27,26.602341919582035,26.602341919582038,1000,8.394,0.0,4.9763356128937035,1.0406895666341378,1.8270103322172866,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
geogrid,r1l2,7.25,eb1168,3.2,0.27,26.602341919582035,24.86688531001195,1000,8.35,0.0,4.760335612893703,1.2514638938587563,1.577855855938497,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
geogrid,r1l3,7.25,eb1168,3.2,0.27,26.602341919582035,8.977366207672178,941,4.461211477151966,0.23469387755102042,0.813135826651111,1.0200187163558765,0.5082558566565054,0.16684378320935175,0.059,1.042390487304767,1.044210466056632,1.0062499999999999,0.7817118611463547,0.8038798626641754,0.83125,184,100,1.042390487304767,0.9241050419368502,1.1072405965245817,0
geogrid,r2l1,7.25,eb1168,3.2,0.27,33.99832451821369,33.998324518213686,1000,12.577,0.0,7.956247901473314,nan,1.488153292299413,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
