label,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_SD,above115_n1,tail_ge10,tail_ge13,n_max,n_marg,n1_B,nbar_B,w1_B,gate_B,md_gate_A,policy_blocked,a,tau,E0,role,pred_w1,pred_KE1,pred_tail,pred_midHot,pred_n1,pred_nbar,w1_err,d_w1_h405,d_KE1_h405
t1,990,0.01,0.01,0.0,0.2505050505050505,3.9242424242424243,0.19811320754716982,0.7805404646457262,1.3950446183285783,7,1.2667519580699171,8,1181.5642402441404,17,0.6575916034791074,0.6584555185951978,0.65625,0.598432611389441,0.5954126682098401,0.5687499999999999,0.027416320093775964,0.0,0.12323232323232323,0.050505050505050504,18,0,0.19811320754716982,3.9242424242424243,0.7805404646457262,1,1,0,35.0,4.0,0.45,best predicted joint winner,0.532,0.659,0.1507,1.38,0.194,3.919,0.2485404646457262,0.01304046464572628,0.02049160347910739
t2,952,0.048,0.046,0.002,0.27205882352941174,3.73109243697479,0.1976911976911977,0.8527858293439211,0.9269697561175811,7,0.5094824041343667,8,350.65107819233884,16,0.5070748530905422,0.5048267516943874,0.48124999999999996,0.443949417982763,0.4389953658618345,0.48124999999999996,0.030003254543195787,0.0,0.11869747899159663,0.03466386554621849,17,2,0.19712230215827337,3.762054507337526,0.8420910085771572,0,0,0,42.5,4.4,0.44,in-band W1 optimum,0.49,0.506,0.1563,0.923,0.1951,3.828,0.3627858293439211,0.08528582934392115,-0.13002514690945777
h405p,937,0.063,0.061,0.002,0.21558164354322304,3.7481323372465316,0.2054421768707483,0.7675227651983754,0.9466348995660248,7,0.47171880412104417,7,267.3376002321577,16,0.6371252413630879,0.639698461126461,0.65625,0.5511089418158279,0.5555929159365276,0.5687499999999999,0.0368148056718351,0.0,0.1056563500533618,0.026680896478121666,16,2,0.20488466757123472,3.779552715654952,0.7465017109150603,1,0,1,-,4.4,0.405,bar,-,-,-,-,-,-,-,-,-
