label,num_scored,trap,supp,nbar_det,n1_solv,w1_solv,midHot,deepKE,chi2_med,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_n,KE2_n,KE1_sd,KE2_sd,KE3_n,KE3_mean,KE3_sd,bare0,slow_bare,bare_lt1_share,KE1_above115,bareKE_mean,bareKE_med,stripped_frac,strip_mean,KE1_r100,KE2_r
h405,1826,0.087,0.1829134720700986,3.955093099671413,0.2077747989276139,0.7089318221187305,0.9566615105432767,0.6026417353201636,349.62811229694233,0.6370439100162096,0.638585022515015,0.65625,0.5508574484962794,0.5503173238722011,0.5687499999999999,310,230,0.03792561695116255,0.03248959014950681,181,0.4706353440510789,0.03458975672444512,0.1829134720700986,0.0,0.0,0.0,1.2471132981775066,1.239499340260448,nan,nan,0.6370439100162096,0.7802513434791493
cfull,791,0.5639470782800441,0.36788874841972186,3.197218710493047,0.14775725593667546,1.8869893262754247,0.36957205298909934,1.0264760780144049,329.6707360025841,0.18000986116725803,0.14348047573036055,0.13124999999999998,0.1383656256952977,0.1426915143461801,0.13124999999999998,56,46,0.1689878632107126,0.09125425556318104,21,0.11018641741200075,0.047676647612527136,0.5208596713021492,0.44627054361567636,0.8567961165048543,0.0,0.44871566465821877,0.2103105668146411,0.578,11.052768166089965,0.18000986116725803,0.19598530551741886
aonly,1666,0.167,0.5510204081632653,1.42797118847539,0.21016166281755191,0.9473560274335024,0.301808791419263,0.6480170417258888,187.21140719364314,0.11877866592828878,0.11928120355854242,0.13124999999999998,0.11835187071114919,0.11145997675396535,0.13124999999999998,91,66,0.049099652039019295,0.048309712519596745,35,0.1051992271629398,0.03989622016103149,0.7400960384153662,0.7400960384153662,1.0,0.0,0.1619936651626672,0.15309451550138456,0.903,13.704872646733111,0.11877866592828878,0.16763721063902154
bonly,970,0.4652701212789416,0.13814432989690723,6.689690721649485,0.08014354066985646,2.968101586172069,1.1667876646930848,0.9546051805181444,79.40146183743605,0.919807680593317,0.7138328564517112,0.65625,0.6490409318218646,0.5683805914926376,0.5687499999999999,67,53,0.2864176774739639,0.19610250526529102,61,0.5778875155626458,0.1910177403103512,0.13814432989690723,0.0,0.0,0.417910447761194,2.4341653763755753,2.50654436280185,0.0,0.0,0.919807680593317,0.9193214331754457
cq3hi,792,0.5633958103638368,0.3611111111111111,3.220959595959596,0.1653543307086614,1.9370589250953616,0.35044624677894587,1.045365274475889,325.09210596736875,0.21324001633159662,0.15712444825815008,0.13124999999999998,0.12700738403330697,0.13235453182818005,0.13124999999999998,63,31,0.20673151021660405,0.046267685198756243,23,0.12665723567279716,0.04723840242064449,0.5189393939393939,0.44191919191919193,0.851581508515815,0.0,0.44565268221460963,0.20945833966371405,0.573,11.335078534031414,0.21324001633159662,0.1798971445230977
