label,seed,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,md_gate,S
s1,20260730,1827,0.0865,0.0855,0.001,0.2025177887246853,3.8264915161466884,0.21345229924502404,0.8012917154689432,0.9343883681741149,7,0.5758557380345111,8,237.29824636754097,17,0.6435239722333034,0.6413444934139823,0.65625,0.5457367035721171,0.5472494117493771,0.5687499999999999,1,1.8888751811833329
s2,20260731,1864,0.068,0.068,0.0,0.19206008583690987,3.819206008583691,0.2211155378486056,0.7290995871622195,0.9432762864192353,7,0.5386903167948198,7,305.00764525334046,16,0.637146644671953,0.6377928620255571,0.65625,0.5494455201809991,0.5532711439113266,0.5687499999999999,1,1.694707075142517
s3,20260732,1855,0.0725,0.0695,0.003,0.19137466307277629,3.891644204851752,0.19933333333333336,0.7979309284636817,0.947622185915397,7,0.5241597672583238,7,270.7084818590556,15,0.6409106625220005,0.6420528015162554,0.65625,0.5510106116725352,0.5510796005943533,0.5687499999999999,1,1.782363132088514
s4,20260733,1848,0.076,0.075,0.001,0.19967532467532467,3.9063852813852815,0.1954022988505747,0.7633197046638158,0.956972557683335,7,0.50612689220119,7,327.7959272042717,15,0.6386479336856017,0.63781596190642,0.65625,0.5515011573930998,0.5537000212485977,0.5687499999999999,1,1.6514940617994318
s5,20260734,1826,0.087,0.086,0.001,0.1851040525739321,3.9403066812705365,0.21774193548387097,0.735645982227121,0.949028575986429,7,0.49797426237439396,7,437.7467039137519,16,0.6428966300748156,0.6403606018879764,0.65625,0.5480762807330413,0.5436422319579461,0.5687499999999999,1,1.6626715862998531
pooled,-,9220,0.078,0.0768,0.0012,0.19414316702819956,3.8766811279826463,0.20942126514131898,0.7652750289571781,0.9464441434091144,7,0.5034665347090981,8,460.97494313677583,17,0.6406207179394441,0.6395096236561473,0.65625,0.5492601535430535,0.5497780374348888,0.5687499999999999,1,1.7340727611415332
