label,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_SD,above115_n1,tail_ge10,tail_ge13,n_max,n_marg,n1_B,nbar_B,w1_B,gate_B,md_gate_A,policy_blocked,a,well,tau,E0,role,twin_trap,twin_supp,twin_nbar,twin_n1,twin_w1,twin_KE1,twin_KE2,twin_deepKE,twin_midHot,twin_phi,twin_gate,flow_hi_n,flow_hi_trapped,flow_hi_dn,flow_hi_still,d_w1_h405,d_KE1_h405
s37,976,0.024,0.024,0.0,0.16905737704918034,3.9272540983606556,0.19975339087546237,0.7900682075430062,1.216181341640966,7,0.7987158505648035,8,559.7190052138939,16,0.6532707915028229,0.6511276011553351,0.65625,0.5753051270123379,0.5805789250379411,0.5687499999999999,0.032790847167091325,0.0,0.09733606557377049,0.035860655737704916,17,0,0.19975339087546237,3.9272540983606556,0.7900682075430062,1,1,0,37.5,eb0482,4.8,0.38,a-curve,0.0215,0.1527,4.564,0.2027,0.6027,0.6365,0.567,1.5087,1.3384,0.869,1.0,237,13,0.21428571428571427,224,0.02254544234463085,0.016145550139734954
s40,962,0.038,0.036,0.002,0.2047817047817048,3.814968814968815,0.19607843137254902,0.8310681833656414,1.0594508629106718,7,0.662477360552924,7,351.6973896801538,15,0.5870486775303511,0.5870639912070903,0.5687499999999999,0.5174599826167895,0.5213072952383748,0.48124999999999996,0.030925022787132706,0.0,0.10291060291060292,0.031185031185031187,16,2,0.19556714471968709,3.8433609958506225,0.8133111979117461,1,1,0,40.0,eb0482,4.8,0.39,a-curve,0.0332,0.1789,4.506,0.2029,0.6657,0.5748,0.5071,1.2285,1.1691,0.927,1.0,237,27,0.32857142857142857,210,0.063545418167266,-0.05007656383273684
s425,951,0.049,0.047,0.002,0.18506834910620398,4.019978969505783,0.18838709677419355,0.8529596159693908,0.9689785746850071,7,0.47751552755843063,8,405.471789191036,16,0.5567654920991786,0.5556172129428738,0.5687499999999999,0.4855204332137717,0.4880128468403661,0.48124999999999996,0.03182441505350142,0.0,0.11461619348054679,0.029442691903259727,17,2,0.1879021879021879,4.050367261280168,0.8392908319780275,0,0,0,42.5,eb0482,4.8,0.39,decomposition: clone a at ring clock,0.0476,0.1644,4.72,0.193,0.8079,0.5412,0.4737,1.059,1.0694,0.985,1.0,237,38,0.5276381909547738,199,0.08543685077101548,-0.08035974926390932
s45,929,0.071,0.069,0.002,0.2131324004305705,3.870828848223897,0.1915184678522572,0.8784783485937239,0.8405206002059264,7,0.44436034862274953,7,199.76410474725427,15,0.5005465073228158,0.4998632430370856,0.48124999999999996,0.4325512982865218,0.4366486854354249,0.39375,0.03120350274460607,0.0,0.11733046286329386,0.02798708288482239,16,2,0.19099590723055934,3.903329752953813,0.8625551799354161,1,1,0,45.0,eb0482,4.8,0.4,a-trend saturation,0.0661,0.1873,4.641,0.1938,0.8795,0.487,0.4227,0.8788,0.9346,1.043,1.0,237,59,0.4887640449438202,178,0.1109555833953485,-0.1365787340402721
d2,986,0.014,0.014,0.0,0.034482758620689655,3.898580121703854,0.194327731092437,1.191649273078982,1.278159367087906,7,0.5854075072878622,7,650.1915016504558,16,0.7880556988563174,0.7813625699099329,0.7437499999999999,0.6749030724564993,0.6771317984289913,0.65625,0.0463159142355172,0.0,0.060851926977687626,0.014198782961460446,16,0,0.194327731092437,3.898580121703854,1.191649273078982,1,1,0,35.0,eb0482,6.4,0.3,tau mirror: lr6 a at clone clock,0.0128,0.026,4.423,0.1923,0.8031,0.7688,0.669,1.1753,1.4372,0.811,1.0,237,3,-9.803418803418804,94,0.4241265078806067,0.15093045749322953
j1,960,0.04,0.038,0.002,0.06666666666666667,3.763541666666667,0.2142857142857143,1.1453651344235185,0.9774229568525378,7,0.4180168770206336,5,377.4844360299668,14,0.6657395672046577,0.6642521520537288,0.65625,0.5560565219513517,0.5518201920313621,0.5687499999999999,0.04742516573357562,0.0,0.052083333333333336,0.009375,14,2,0.21380846325167038,3.7920997920997923,1.1181245402459836,1,0,1,40.0,eb0482,6.4,0.31,the joint candidate,0.0332,0.0518,4.392,0.2107,0.6814,0.6497,0.5491,0.7515,1.1091,0.927,0.0,237,29,-7.649038461538462,114,0.37784236922514314,0.028614325841569754
h405p,937,0.063,0.061,0.002,0.21558164354322304,3.7481323372465316,0.2054421768707483,0.7675227651983754,0.9466348995660248,7,0.47171880412104417,7,267.3376002321577,16,0.6371252413630879,0.639698461126461,0.65625,0.5511089418158279,0.5555929159365276,0.5687499999999999,0.0368148056718351,0.0,0.1056563500533618,0.026680896478121666,16,2,0.20488466757123472,3.779552715654952,0.7465017109150603,1,0,1,-,-,4.4,0.405,context,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
lr6,989,0.011,0.011,0.0,0.1435793731041456,4.0333670374115265,0.20188902007083825,0.7847867126171159,1.3933414038158074,7,0.9509484744422009,8,794.8393927745956,17,0.714557873711795,0.7137131595544934,0.7437499999999999,0.6398982238982414,0.6411097665913621,0.65625,0.033800643056952025,0.0,0.09605662285136501,0.03842264914054601,17,0,0.20188902007083825,4.0333670374115265,0.7847867126171159,1,1,0,35.0,-,4.8,0.37,context,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01726394741874049,0.07743263234870712
clone(pool),2814,0.062,0.06133333333333333,0.0006666666666666666,0.0511727078891258,3.9932480454868515,0.19213483146067414,1.0794074137848648,0.8908930322215594,7,0.37618368811492514,6,339.0766767050198,15,0.6347563786014722,0.6330644607480164,0.65625,0.5256725698647929,0.5257633232466765,0.5687499999999999,0.04685613785793748,0.0,0.06680881307746979,0.011371712864250177,15,-,-,-,-,-,1,-,42.5,eb0482,6.4,0.31,§6.5 clone (context),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.31188464858648945,-0.002368862761615742
