label,p_tail,num_scored,trap,supp,nbar_det,n1_solv,w1_solv,midHot,deepKE,chi2_med,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_n,KE2_n,KE1_r100,KE2_r,md_gate
h405,-1.0,1826,0.087,0.1829134720700986,3.955093099671413,0.2077747989276139,0.7089318221187305,0.9566615105432767,0.6026417353201636,349.62811229694233,0.6370439100162096,0.638585022515015,0.65625,0.5508574484962794,0.5503173238722011,0.5687499999999999,310,230,0.6370439100162096,0.7802513434791493,1
pt15,-1.5,1979,0.0105,0.2612430520464881,3.080343607882769,0.2585499316005472,0.8616707700498633,1.91702873494059,0.8811236979998185,2093.469652968936,0.9164920548149934,0.9155558499555292,0.91875,0.8492520713052517,0.8511211991112994,0.83125,378,255,0.9164920548149934,1.2029066165796767,0
pt20,-2.0,2000,0.0,0.335,2.3865,0.29473684210526313,1.3310622971268287,3.02068574793923,4.3167600076646195,8675.537995036255,1.1507758436473676,1.1516330570744815,1.18125,1.121634467175382,1.1217680102985466,1.09375,392,255,1.1507758436473676,1.5887173756025241,0
pt30,-3.0,2000,0.0,0.41,1.8405,0.34576271186440677,1.7691454969256144,4.413528623592544,12.46541627300369,46057.67555879034,1.4278437232128849,1.4284255804135721,1.4437499999999999,1.4466735787466316,1.4474916090142071,1.4437499999999999,408,223,1.4278437232128849,2.049112717771433,0
