v_c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
5.0,eb0482,4.0,0.4,0,0.128,1.0092
5.0,eb0482,4.0,0.4,1,0.1692,0.9349
5.0,eb0482,4.0,0.4,2,0.1252,0.8792
5.0,eb0482,4.0,0.4,3,0.1026,0.8348
5.0,eb0482,4.0,0.4,4,0.0726,0.7973
5.0,eb0482,4.0,0.4,5,0.0636,0.7625
5.0,eb0482,4.0,0.4,6,0.0602,0.7248
5.0,eb0482,4.0,0.4,7,0.0506,0.6807
5.0,eb0482,4.0,0.4,8,0.0434,0.6325
5.0,eb0482,4.0,0.4,9,0.0366,0.5782
5.0,eb0482,4.0,0.4,10,0.0311,0.5195
5.0,eb0482,4.0,0.4,11,0.0243,0.4531
5.0,eb0482,4.0,0.4,12,0.0207,0.3854
5.0,eb0482,4.0,0.4,13,0.0162,0.3117
5.0,eb0482,4.0,0.4,14,0.0134,0.2366
5.0,eb0482,4.0,0.4,15,0.0098,0.1781
5.0,eb0482,4.0,0.4,16,0.0087,0.1355
5.0,eb0482,4.0,0.4,17,0.0066,0.1029
5.0,eb0482,4.0,0.4,18,0.0057,0.077
5.0,eb0482,4.0,0.4,19,0.005,0.0537
5.0,eb0482,4.0,0.4,20,0.0042,0.0326
5.0,eb0482,4.0,0.4,21,0.0025,0.0146
5.0,eb0482,4.0,0.405,0,0.1469,1.0014
5.0,eb0482,4.0,0.405,1,0.1711,0.9237
5.0,eb0482,4.0,0.405,2,0.1238,0.8677
5.0,eb0482,4.0,0.405,3,0.0996,0.823
5.0,eb0482,4.0,0.405,4,0.0697,0.7858
5.0,eb0482,4.0,0.405,5,0.0625,0.7506
5.0,eb0482,4.0,0.405,6,0.0582,0.713
5.0,eb0482,4.0,0.405,7,0.0483,0.6688
5.0,eb0482,4.0,0.405,8,0.0415,0.621
5.0,eb0482,4.0,0.405,9,0.0351,0.5675
5.0,eb0482,4.0,0.405,10,0.0291,0.5104
5.0,eb0482,4.0,0.405,11,0.0238,0.4449
5.0,eb0482,4.0,0.405,12,0.0205,0.3769
5.0,eb0482,4.0,0.405,13,0.0156,0.3023
5.0,eb0482,4.0,0.405,14,0.0127,0.2303
5.0,eb0482,4.0,0.405,15,0.0096,0.1744
5.0,eb0482,4.0,0.405,16,0.0084,0.1335
5.0,eb0482,4.0,0.405,17,0.0065,0.1016
5.0,eb0482,4.0,0.405,18,0.0056,0.076
5.0,eb0482,4.0,0.405,19,0.0048,0.053
5.0,eb0482,4.0,0.405,20,0.0041,0.0324
5.0,eb0482,4.0,0.405,21,0.0025,0.0145
5.0,eb0482,4.0,0.41,0,0.1663,0.994
5.0,eb0482,4.0,0.41,1,0.1721,0.9125
5.0,eb0482,4.0,0.41,2,0.1209,0.8567
5.0,eb0482,4.0,0.41,3,0.0972,0.8121
5.0,eb0482,4.0,0.41,4,0.0673,0.7748
5.0,eb0482,4.0,0.41,5,0.0612,0.7397
5.0,eb0482,4.0,0.41,6,0.0554,0.7025
5.0,eb0482,4.0,0.41,7,0.0472,0.6583
5.0,eb0482,4.0,0.41,8,0.0399,0.6099
5.0,eb0482,4.0,0.41,9,0.0337,0.5569
5.0,eb0482,4.0,0.41,10,0.0276,0.5005
5.0,eb0482,4.0,0.41,11,0.0237,0.4352
5.0,eb0482,4.0,0.41,12,0.0191,0.3677
5.0,eb0482,4.0,0.41,13,0.0154,0.2944
5.0,eb0482,4.0,0.41,14,0.0124,0.2232
5.0,eb0482,4.0,0.41,15,0.009,0.1705
5.0,eb0482,4.0,0.41,16,0.0083,0.1316
5.0,eb0482,4.0,0.41,17,0.0064,0.1002
5.0,eb0482,4.0,0.41,18,0.0055,0.0751
5.0,eb0482,4.0,0.41,19,0.0048,0.0524
5.0,eb0482,4.0,0.41,20,0.0041,0.032
5.0,eb0482,4.0,0.41,21,0.0024,0.0143
5.0,eb0482,4.0,0.415,0,0.1857,0.9869
5.0,eb0482,4.0,0.415,1,0.1735,0.9012
5.0,eb0482,4.0,0.415,2,0.1174,0.8453
5.0,eb0482,4.0,0.415,3,0.0947,0.8011
5.0,eb0482,4.0,0.415,4,0.0638,0.764
5.0,eb0482,4.0,0.415,5,0.0609,0.7295
5.0,eb0482,4.0,0.415,6,0.0526,0.6917
5.0,eb0482,4.0,0.415,7,0.0461,0.648
5.0,eb0482,4.0,0.415,8,0.038,0.5993
5.0,eb0482,4.0,0.415,9,0.033,0.5468
5.0,eb0482,4.0,0.415,10,0.0264,0.4897
5.0,eb0482,4.0,0.415,11,0.0223,0.4264
5.0,eb0482,4.0,0.415,12,0.0189,0.36
5.0,eb0482,4.0,0.415,13,0.015,0.2861
5.0,eb0482,4.0,0.415,14,0.0116,0.2177
5.0,eb0482,4.0,0.415,15,0.0091,0.1671
5.0,eb0482,4.0,0.415,16,0.0079,0.1294
5.0,eb0482,4.0,0.415,17,0.0065,0.0988
5.0,eb0482,4.0,0.415,18,0.0054,0.0738
5.0,eb0482,4.0,0.415,19,0.0047,0.0518
5.0,eb0482,4.0,0.415,20,0.0042,0.0315
5.0,eb0482,4.0,0.415,21,0.0023,0.0138
5.0,eb0482,4.0,0.42,0,0.2055,0.9799
5.0,eb0482,4.0,0.42,1,0.1731,0.8905
5.0,eb0482,4.0,0.42,2,0.114,0.8346
5.0,eb0482,4.0,0.42,3,0.0925,0.7907
5.0,eb0482,4.0,0.42,4,0.062,0.7532
5.0,eb0482,4.0,0.42,5,0.0593,0.7192
5.0,eb0482,4.0,0.42,6,0.0506,0.6809
5.0,eb0482,4.0,0.42,7,0.0437,0.6379
5.0,eb0482,4.0,0.42,8,0.0369,0.5896
5.0,eb0482,4.0,0.42,9,0.0321,0.5373
5.0,eb0482,4.0,0.42,10,0.0252,0.4805
5.0,eb0482,4.0,0.42,11,0.0218,0.4179
5.0,eb0482,4.0,0.42,12,0.0179,0.3522
5.0,eb0482,4.0,0.42,13,0.0147,0.2797
5.0,eb0482,4.0,0.42,14,0.0112,0.2128
5.0,eb0482,4.0,0.42,15,0.0089,0.1641
5.0,eb0482,4.0,0.42,16,0.0077,0.1277
5.0,eb0482,4.0,0.42,17,0.0065,0.0976
5.0,eb0482,4.0,0.42,18,0.0053,0.0726
5.0,eb0482,4.0,0.42,19,0.0045,0.051
5.0,eb0482,4.0,0.42,20,0.0041,0.0312
5.0,eb0482,4.0,0.42,21,0.0023,0.0137
5.0,eb0482,4.4,0.365,0,0.081,1.0318
5.0,eb0482,4.4,0.365,1,0.1761,0.9608
5.0,eb0482,4.4,0.365,2,0.1411,0.8974
5.0,eb0482,4.4,0.365,3,0.1147,0.8465
5.0,eb0482,4.4,0.365,4,0.0809,0.803
5.0,eb0482,4.4,0.365,5,0.0703,0.7627
5.0,eb0482,4.4,0.365,6,0.0652,0.7189
5.0,eb0482,4.4,0.365,7,0.0535,0.6686
5.0,eb0482,4.4,0.365,8,0.0447,0.6138
5.0,eb0482,4.4,0.365,9,0.0369,0.5534
5.0,eb0482,4.4,0.365,10,0.0292,0.4895
5.0,eb0482,4.4,0.365,11,0.0239,0.4187
5.0,eb0482,4.4,0.365,12,0.0191,0.3459
5.0,eb0482,4.4,0.365,13,0.015,0.2678
5.0,eb0482,4.4,0.365,14,0.0115,0.1995
5.0,eb0482,4.4,0.365,15,0.0088,0.1508
5.0,eb0482,4.4,0.365,16,0.0075,0.1165
5.0,eb0482,4.4,0.365,17,0.0058,0.0881
5.0,eb0482,4.4,0.365,18,0.0049,0.0656
5.0,eb0482,4.4,0.365,19,0.0043,0.0453
5.0,eb0482,4.4,0.365,20,0.0038,0.0264
5.0,eb0482,4.4,0.365,21,0.0015,0.0112
5.0,eb0482,4.4,0.37,0,0.0998,1.022
5.0,eb0482,4.4,0.37,1,0.1823,0.9477
5.0,eb0482,4.4,0.37,2,0.1385,0.884
5.0,eb0482,4.4,0.37,3,0.1122,0.8328
5.0,eb0482,4.4,0.37,4,0.0777,0.7893
5.0,eb0482,4.4,0.37,5,0.0689,0.7483
5.0,eb0482,4.4,0.37,6,0.0611,0.7053
5.0,eb0482,4.4,0.37,7,0.0516,0.6554
5.0,eb0482,4.4,0.37,8,0.0419,0.6006
5.0,eb0482,4.4,0.37,9,0.0358,0.5414
5.0,eb0482,4.4,0.37,10,0.0274,0.4776
5.0,eb0482,4.4,0.37,11,0.0238,0.4076
5.0,eb0482,4.4,0.37,12,0.0179,0.3343
5.0,eb0482,4.4,0.37,13,0.0143,0.259
5.0,eb0482,4.4,0.37,14,0.0112,0.1942
5.0,eb0482,4.4,0.37,15,0.0087,0.1469
5.0,eb0482,4.4,0.37,16,0.0071,0.1142
5.0,eb0482,4.4,0.37,17,0.0058,0.0867
5.0,eb0482,4.4,0.37,18,0.0049,0.0645
5.0,eb0482,4.4,0.37,19,0.0042,0.0445
5.0,eb0482,4.4,0.37,20,0.0037,0.026
5.0,eb0482,4.4,0.37,21,0.0015,0.0111
5.0,eb0482,4.4,0.375,0,0.1207,1.0123
5.0,eb0482,4.4,0.375,1,0.1857,0.9345
5.0,eb0482,4.4,0.375,2,0.1365,0.8707
5.0,eb0482,4.4,0.375,3,0.1089,0.8192
5.0,eb0482,4.4,0.375,4,0.0734,0.776
5.0,eb0482,4.4,0.375,5,0.0676,0.7355
5.0,eb0482,4.4,0.375,6,0.0579,0.6923
5.0,eb0482,4.4,0.375,7,0.049,0.643
5.0,eb0482,4.4,0.375,8,0.0408,0.5881
5.0,eb0482,4.4,0.375,9,0.034,0.5291
5.0,eb0482,4.4,0.375,10,0.0263,0.4651
5.0,eb0482,4.4,0.375,11,0.0227,0.3965
5.0,eb0482,4.4,0.375,12,0.0171,0.3236
5.0,eb0482,4.4,0.375,13,0.0136,0.2501
5.0,eb0482,4.4,0.375,14,0.0107,0.1892
5.0,eb0482,4.4,0.375,15,0.0085,0.144
5.0,eb0482,4.4,0.375,16,0.0069,0.1121
5.0,eb0482,4.4,0.375,17,0.0057,0.0852
5.0,eb0482,4.4,0.375,18,0.0046,0.0637
5.0,eb0482,4.4,0.375,19,0.0042,0.0442
5.0,eb0482,4.4,0.375,20,0.0037,0.0258
5.0,eb0482,4.4,0.375,21,0.0015,0.011
5.0,eb0482,4.4,0.38,0,0.143,1.003
5.0,eb0482,4.4,0.38,1,0.1875,0.9213
5.0,eb0482,4.4,0.38,2,0.1332,0.8576
5.0,eb0482,4.4,0.38,3,0.1058,0.8061
5.0,eb0482,4.4,0.38,4,0.0698,0.7631
5.0,eb0482,4.4,0.38,5,0.0659,0.7234
5.0,eb0482,4.4,0.38,6,0.0553,0.6797
5.0,eb0482,4.4,0.38,7,0.0468,0.6307
5.0,eb0482,4.4,0.38,8,0.0389,0.5765
5.0,eb0482,4.4,0.38,9,0.0329,0.518
5.0,eb0482,4.4,0.38,10,0.0249,0.4538
5.0,eb0482,4.4,0.38,11,0.0218,0.3872
5.0,eb0482,4.4,0.38,12,0.0165,0.3145
5.0,eb0482,4.4,0.38,13,0.0133,0.2421
5.0,eb0482,4.4,0.38,14,0.0102,0.1838
5.0,eb0482,4.4,0.38,15,0.0084,0.1403
5.0,eb0482,4.4,0.38,16,0.0064,0.11
5.0,eb0482,4.4,0.38,17,0.0058,0.0842
5.0,eb0482,4.4,0.38,18,0.0045,0.0627
5.0,eb0482,4.4,0.38,19,0.0041,0.0437
5.0,eb0482,4.4,0.38,20,0.0036,0.0255
5.0,eb0482,4.4,0.38,21,0.0014,0.0108
5.0,eb0482,4.4,0.385,0,0.1658,0.9942
5.0,eb0482,4.4,0.385,1,0.1893,0.908
5.0,eb0482,4.4,0.385,2,0.1288,0.8443
5.0,eb0482,4.4,0.385,3,0.1021,0.7934
5.0,eb0482,4.4,0.385,4,0.0673,0.7502
5.0,eb0482,4.4,0.385,5,0.0636,0.7113
5.0,eb0482,4.4,0.385,6,0.0524,0.6673
5.0,eb0482,4.4,0.385,7,0.045,0.619
5.0,eb0482,4.4,0.385,8,0.0372,0.5651
5.0,eb0482,4.4,0.385,9,0.0314,0.5075
5.0,eb0482,4.4,0.385,10,0.0244,0.4427
5.0,eb0482,4.4,0.385,11,0.0204,0.3773
5.0,eb0482,4.4,0.385,12,0.0162,0.3062
5.0,eb0482,4.4,0.385,13,0.0127,0.2348
5.0,eb0482,4.4,0.385,14,0.0098,0.1797
5.0,eb0482,4.4,0.385,15,0.0084,0.1376
5.0,eb0482,4.4,0.385,16,0.0062,0.1076
5.0,eb0482,4.4,0.385,17,0.0056,0.0827
5.0,eb0482,4.4,0.385,18,0.0044,0.0618
5.0,eb0482,4.4,0.385,19,0.004,0.043
5.0,eb0482,4.4,0.385,20,0.0036,0.0252
5.0,eb0482,4.4,0.385,21,0.0014,0.0106
5.0,eb0482,4.4,0.39,0,0.1885,0.9859
5.0,eb0482,4.4,0.39,1,0.19,0.8952
5.0,eb0482,4.4,0.39,2,0.1255,0.831
5.0,eb0482,4.4,0.39,3,0.0986,0.7805
5.0,eb0482,4.4,0.39,4,0.0653,0.7365
5.0,eb0482,4.4,0.39,5,0.0607,0.6986
5.0,eb0482,4.4,0.39,6,0.0503,0.6543
5.0,eb0482,4.4,0.39,7,0.0425,0.6065
5.0,eb0482,4.4,0.39,8,0.0358,0.5533
5.0,eb0482,4.4,0.39,9,0.029,0.4972
5.0,eb0482,4.4,0.39,10,0.0241,0.4331
5.0,eb0482,4.4,0.39,11,0.0199,0.3672
5.0,eb0482,4.4,0.39,12,0.0152,0.2966
5.0,eb0482,4.4,0.39,13,0.0126,0.2275
5.0,eb0482,4.4,0.39,14,0.0092,0.1742
5.0,eb0482,4.4,0.39,15,0.0082,0.1352
5.0,eb0482,4.4,0.39,16,0.0061,0.1058
5.0,eb0482,4.4,0.39,17,0.0055,0.0815
5.0,eb0482,4.4,0.39,18,0.0043,0.061
5.0,eb0482,4.4,0.39,19,0.004,0.0426
5.0,eb0482,4.4,0.39,20,0.0036,0.0248
5.0,eb0482,4.4,0.39,21,0.0013,0.0105
5.0,eb0482,4.8,0.345,0,0.0687,1.0388
5.0,eb0482,4.8,0.345,1,0.1881,0.965
5.0,eb0482,4.8,0.345,2,0.1527,0.8943
5.0,eb0482,4.8,0.345,3,0.1231,0.8364
5.0,eb0482,4.8,0.345,4,0.0836,0.7871
5.0,eb0482,4.8,0.345,5,0.0738,0.7409
5.0,eb0482,4.8,0.345,6,0.0633,0.6923
5.0,eb0482,4.8,0.345,7,0.0522,0.6369
5.0,eb0482,4.8,0.345,8,0.0423,0.5764
5.0,eb0482,4.8,0.345,9,0.0347,0.5121
5.0,eb0482,4.8,0.345,10,0.0258,0.4415
5.0,eb0482,4.8,0.345,11,0.0221,0.3697
5.0,eb0482,4.8,0.345,12,0.0166,0.2909
5.0,eb0482,4.8,0.345,13,0.0127,0.2176
5.0,eb0482,4.8,0.345,14,0.0092,0.1646
5.0,eb0482,4.8,0.345,15,0.008,0.1272
5.0,eb0482,4.8,0.345,16,0.0062,0.0976
5.0,eb0482,4.8,0.345,17,0.0051,0.0745
5.0,eb0482,4.8,0.345,18,0.0041,0.0548
5.0,eb0482,4.8,0.345,19,0.0037,0.0376
5.0,eb0482,4.8,0.345,20,0.0033,0.021
5.0,eb0482,4.8,0.345,21,0.0007,0.0076
5.0,eb0482,4.8,0.35,0,0.0892,1.0274
5.0,eb0482,4.8,0.35,1,0.1964,0.95
5.0,eb0482,4.8,0.35,2,0.1501,0.8787
5.0,eb0482,4.8,0.35,3,0.1186,0.8207
5.0,eb0482,4.8,0.35,4,0.0788,0.7717
5.0,eb0482,4.8,0.35,5,0.072,0.7263
5.0,eb0482,4.8,0.35,6,0.0593,0.6773
5.0,eb0482,4.8,0.35,7,0.0498,0.6227
5.0,eb0482,4.8,0.35,8,0.0403,0.5625
5.0,eb0482,4.8,0.35,9,0.0318,0.5
5.0,eb0482,4.8,0.35,10,0.0263,0.4289
5.0,eb0482,4.8,0.35,11,0.0204,0.3568
5.0,eb0482,4.8,0.35,12,0.016,0.28
5.0,eb0482,4.8,0.35,13,0.0119,0.2098
5.0,eb0482,4.8,0.35,14,0.009,0.1603
5.0,eb0482,4.8,0.35,15,0.0076,0.1247
5.0,eb0482,4.8,0.35,16,0.0062,0.0959
5.0,eb0482,4.8,0.35,17,0.005,0.0729
5.0,eb0482,4.8,0.35,18,0.0041,0.0537
5.0,eb0482,4.8,0.35,19,0.0035,0.0369
5.0,eb0482,4.8,0.35,20,0.0032,0.0206
5.0,eb0482,4.8,0.35,21,0.0007,0.0076
5.0,eb0482,4.8,0.355,0,0.1125,1.016
5.0,eb0482,4.8,0.355,1,0.2014,0.9348
5.0,eb0482,4.8,0.355,2,0.1464,0.8633
5.0,eb0482,4.8,0.355,3,0.1144,0.8053
5.0,eb0482,4.8,0.355,4,0.0751,0.7563
5.0,eb0482,4.8,0.355,5,0.0689,0.7119
5.0,eb0482,4.8,0.355,6,0.057,0.6621
5.0,eb0482,4.8,0.355,7,0.0464,0.608
5.0,eb0482,4.8,0.355,8,0.0385,0.5488
5.0,eb0482,4.8,0.355,9,0.0304,0.4858
5.0,eb0482,4.8,0.355,10,0.0244,0.4166
5.0,eb0482,4.8,0.355,11,0.0194,0.3463
5.0,eb0482,4.8,0.355,12,0.0154,0.2706
5.0,eb0482,4.8,0.355,13,0.0115,0.2028
5.0,eb0482,4.8,0.355,14,0.0085,0.1555
5.0,eb0482,4.8,0.355,15,0.0074,0.1222
5.0,eb0482,4.8,0.355,16,0.0061,0.0944
5.0,eb0482,4.8,0.355,17,0.0048,0.0717
5.0,eb0482,4.8,0.355,18,0.0041,0.053
5.0,eb0482,4.8,0.355,19,0.0034,0.0362
5.0,eb0482,4.8,0.355,20,0.0031,0.0204
5.0,eb0482,4.8,0.355,21,0.0007,0.0075
5.0,eb0482,4.8,0.36,0,0.1378,1.0051
5.0,eb0482,4.8,0.36,1,0.2042,0.9196
5.0,eb0482,4.8,0.36,2,0.1416,0.8481
5.0,eb0482,4.8,0.36,3,0.1108,0.7904
5.0,eb0482,4.8,0.36,4,0.0718,0.7408
5.0,eb0482,4.8,0.36,5,0.0666,0.6971
5.0,eb0482,4.8,0.36,6,0.0535,0.647
5.0,eb0482,4.8,0.36,7,0.0439,0.5933
5.0,eb0482,4.8,0.36,8,0.0365,0.535
5.0,eb0482,4.8,0.36,9,0.0285,0.4728
5.0,eb0482,4.8,0.36,10,0.0239,0.4043
5.0,eb0482,4.8,0.36,11,0.0184,0.3338
5.0,eb0482,4.8,0.36,12,0.0144,0.2604
5.0,eb0482,4.8,0.36,13,0.0112,0.1966
5.0,eb0482,4.8,0.36,14,0.0082,0.1511
5.0,eb0482,4.8,0.36,15,0.0072,0.1193
5.0,eb0482,4.8,0.36,16,0.0059,0.0923
5.0,eb0482,4.8,0.36,17,0.0048,0.0702
5.0,eb0482,4.8,0.36,18,0.0039,0.0519
5.0,eb0482,4.8,0.36,19,0.0034,0.0357
5.0,eb0482,4.8,0.36,20,0.0031,0.02
5.0,eb0482,4.8,0.36,21,0.0007,0.0075
5.0,eb0482,4.8,0.365,0,0.1631,0.9952
5.0,eb0482,4.8,0.365,1,0.2072,0.9046
5.0,eb0482,4.8,0.365,2,0.1371,0.8324
5.0,eb0482,4.8,0.365,3,0.1051,0.7755
5.0,eb0482,4.8,0.365,4,0.07,0.7256
5.0,eb0482,4.8,0.365,5,0.0616,0.683
5.0,eb0482,4.8,0.365,6,0.0519,0.6333
5.0,eb0482,4.8,0.365,7,0.0412,0.5793
5.0,eb0482,4.8,0.365,8,0.0354,0.5217
5.0,eb0482,4.8,0.365,9,0.0268,0.4589
5.0,eb0482,4.8,0.365,10,0.023,0.3918
5.0,eb0482,4.8,0.365,11,0.017,0.3219
5.0,eb0482,4.8,0.365,12,0.0137,0.2517
5.0,eb0482,4.8,0.365,13,0.0109,0.1908
5.0,eb0482,4.8,0.365,14,0.008,0.1467
5.0,eb0482,4.8,0.365,15,0.007,0.1163
5.0,eb0482,4.8,0.365,16,0.0055,0.0906
5.0,eb0482,4.8,0.365,17,0.0048,0.0694
5.0,eb0482,4.8,0.365,18,0.0038,0.0512
5.0,eb0482,4.8,0.365,19,0.0034,0.0351
5.0,eb0482,4.8,0.365,20,0.003,0.0197
5.0,eb0482,4.8,0.365,21,0.0006,0.0067
5.0,eb0482,5.2,0.325,0,0.0424,1.0578
5.0,eb0482,5.2,0.325,1,0.1878,0.9823
5.0,eb0482,5.2,0.325,2,0.1669,0.9055
5.0,eb0482,5.2,0.325,3,0.1343,0.8409
5.0,eb0482,5.2,0.325,4,0.0902,0.7854
5.0,eb0482,5.2,0.325,5,0.0786,0.7338
5.0,eb0482,5.2,0.325,6,0.0648,0.6798
5.0,eb0482,5.2,0.325,7,0.0531,0.6193
5.0,eb0482,5.2,0.325,8,0.0424,0.5531
5.0,eb0482,5.2,0.325,9,0.0326,0.4837
5.0,eb0482,5.2,0.325,10,0.026,0.4077
5.0,eb0482,5.2,0.325,11,0.0194,0.3314
5.0,eb0482,5.2,0.325,12,0.015,0.2528
5.0,eb0482,5.2,0.325,13,0.0113,0.1874
5.0,eb0482,5.2,0.325,14,0.0086,0.1414
5.0,eb0482,5.2,0.325,15,0.0068,0.1104
5.0,eb0482,5.2,0.325,16,0.0055,0.0848
5.0,eb0482,5.2,0.325,17,0.0045,0.0645
5.0,eb0482,5.2,0.325,18,0.0039,0.0467
5.0,eb0482,5.2,0.325,19,0.0031,0.0311
5.0,eb0482,5.2,0.325,20,0.0024,0.0171
5.0,eb0482,5.2,0.33,0,0.0619,1.0432
5.0,eb0482,5.2,0.33,1,0.2012,0.9655
5.0,eb0482,5.2,0.33,2,0.1643,0.8875
5.0,eb0482,5.2,0.33,3,0.1289,0.8228
5.0,eb0482,5.2,0.33,4,0.0842,0.7679
5.0,eb0482,5.2,0.33,5,0.0762,0.7174
5.0,eb0482,5.2,0.33,6,0.0614,0.6619
5.0,eb0482,5.2,0.33,7,0.0497,0.6019
5.0,eb0482,5.2,0.33,8,0.0396,0.5368
5.0,eb0482,5.2,0.33,9,0.0304,0.4682
5.0,eb0482,5.2,0.33,10,0.025,0.3939
5.0,eb0482,5.2,0.33,11,0.0181,0.3175
5.0,eb0482,5.2,0.33,12,0.0145,0.2409
5.0,eb0482,5.2,0.33,13,0.0105,0.1803
5.0,eb0482,5.2,0.33,14,0.0086,0.1369
5.0,eb0482,5.2,0.33,15,0.0062,0.1073
5.0,eb0482,5.2,0.33,16,0.0054,0.0834
5.0,eb0482,5.2,0.33,17,0.0044,0.0636
5.0,eb0482,5.2,0.33,18,0.0037,0.0461
5.0,eb0482,5.2,0.33,19,0.0032,0.0307
5.0,eb0482,5.2,0.33,20,0.0023,0.0169
5.0,eb0482,5.2,0.335,0,0.0844,1.03
5.0,eb0482,5.2,0.335,1,0.2116,0.9485
5.0,eb0482,5.2,0.335,2,0.1601,0.8698
5.0,eb0482,5.2,0.335,3,0.1237,0.8051
5.0,eb0482,5.2,0.335,4,0.0798,0.7501
5.0,eb0482,5.2,0.335,5,0.0731,0.7005
5.0,eb0482,5.2,0.335,6,0.0578,0.6445
5.0,eb0482,5.2,0.335,7,0.0457,0.585
5.0,eb0482,5.2,0.335,8,0.0382,0.5211
5.0,eb0482,5.2,0.335,9,0.0281,0.4521
5.0,eb0482,5.2,0.335,10,0.0233,0.3807
5.0,eb0482,5.2,0.335,11,0.0174,0.3049
5.0,eb0482,5.2,0.335,12,0.0135,0.2311
5.0,eb0482,5.2,0.335,13,0.0099,0.1747
5.0,eb0482,5.2,0.335,14,0.0084,0.1336
5.0,eb0482,5.2,0.335,15,0.006,0.1047
5.0,eb0482,5.2,0.335,16,0.0054,0.0815
5.0,eb0482,5.2,0.335,17,0.0041,0.0622
5.0,eb0482,5.2,0.335,18,0.0037,0.0454
5.0,eb0482,5.2,0.335,19,0.0031,0.0301
5.0,eb0482,5.2,0.335,20,0.0023,0.0164
5.0,eb0482,5.2,0.34,0,0.1097,1.0173
5.0,eb0482,5.2,0.34,1,0.2181,0.9318
5.0,eb0482,5.2,0.34,2,0.1551,0.8525
5.0,eb0482,5.2,0.34,3,0.1191,0.7879
5.0,eb0482,5.2,0.34,4,0.0773,0.7316
5.0,eb0482,5.2,0.34,5,0.0668,0.6834
5.0,eb0482,5.2,0.34,6,0.0542,0.6289
5.0,eb0482,5.2,0.34,7,0.0438,0.5694
5.0,eb0482,5.2,0.34,8,0.0358,0.5062
5.0,eb0482,5.2,0.34,9,0.0263,0.4376
5.0,eb0482,5.2,0.34,10,0.0222,0.368
5.0,eb0482,5.2,0.34,11,0.0164,0.2938
5.0,eb0482,5.2,0.34,12,0.0132,0.2221
5.0,eb0482,5.2,0.34,13,0.0093,0.1684
5.0,eb0482,5.2,0.34,14,0.0082,0.1302
5.0,eb0482,5.2,0.34,15,0.0058,0.102
5.0,eb0482,5.2,0.34,16,0.0052,0.0797
5.0,eb0482,5.2,0.34,17,0.004,0.0612
5.0,eb0482,5.2,0.34,18,0.0037,0.0446
5.0,eb0482,5.2,0.34,19,0.003,0.0295
5.0,eb0482,5.2,0.34,20,0.0022,0.0162
5.0,eb0482,5.6,0.31,0,0.0261,1.0744
5.0,eb0482,5.6,0.31,1,0.1865,0.9944
5.0,eb0482,5.6,0.31,2,0.18,0.9118
5.0,eb0482,5.6,0.31,3,0.145,0.8403
5.0,eb0482,5.6,0.31,4,0.0935,0.7791
5.0,eb0482,5.6,0.31,5,0.083,0.723
5.0,eb0482,5.6,0.31,6,0.0664,0.662
5.0,eb0482,5.6,0.31,7,0.0521,0.596
5.0,eb0482,5.6,0.31,8,0.0414,0.5249
5.0,eb0482,5.6,0.31,9,0.0299,0.4504
5.0,eb0482,5.6,0.31,10,0.0243,0.3733
5.0,eb0482,5.6,0.31,11,0.018,0.2921
5.0,eb0482,5.6,0.31,12,0.0136,0.2154
5.0,eb0482,5.6,0.31,13,0.0093,0.1611
5.0,eb0482,5.6,0.31,14,0.0079,0.1244
5.0,eb0482,5.6,0.31,15,0.006,0.0959
5.0,eb0482,5.6,0.31,16,0.005,0.0741
5.0,eb0482,5.6,0.31,17,0.0037,0.0561
5.0,eb0482,5.6,0.31,18,0.0035,0.0406
5.0,eb0482,5.6,0.31,19,0.0029,0.0261
5.0,eb0482,5.6,0.31,20,0.0018,0.0131
5.0,eb0482,5.6,0.315,0,0.0437,1.0566
5.0,eb0482,5.6,0.315,1,0.2062,0.9758
5.0,eb0482,5.6,0.315,2,0.1773,0.8912
5.0,eb0482,5.6,0.315,3,0.1379,0.8197
5.0,eb0482,5.6,0.315,4,0.0882,0.7587
5.0,eb0482,5.6,0.315,5,0.0791,0.7034
5.0,eb0482,5.6,0.315,6,0.0616,0.6421
5.0,eb0482,5.6,0.315,7,0.048,0.5769
5.0,eb0482,5.6,0.315,8,0.0384,0.5082
5.0,eb0482,5.6,0.315,9,0.028,0.4339
5.0,eb0482,5.6,0.315,10,0.0231,0.3586
5.0,eb0482,5.6,0.315,11,0.017,0.2778
5.0,eb0482,5.6,0.315,12,0.0124,0.2055
5.0,eb0482,5.6,0.315,13,0.009,0.1556
5.0,eb0482,5.6,0.315,14,0.0075,0.1214
5.0,eb0482,5.6,0.315,15,0.0061,0.0938
5.0,eb0482,5.6,0.315,16,0.0047,0.072
5.0,eb0482,5.6,0.315,17,0.0037,0.0548
5.0,eb0482,5.6,0.315,18,0.0033,0.0397
5.0,eb0482,5.6,0.315,19,0.0029,0.0255
5.0,eb0482,5.6,0.315,20,0.0018,0.0127
5.0,eb0482,5.6,0.32,0,0.0662,1.0404
5.0,eb0482,5.6,0.32,1,0.2208,0.957
5.0,eb0482,5.6,0.32,2,0.1725,0.8713
5.0,eb0482,5.6,0.32,3,0.1318,0.7998
5.0,eb0482,5.6,0.32,4,0.0846,0.7379
5.0,eb0482,5.6,0.32,5,0.072,0.6843
