v_c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
5.5,eb0482,4.8,0.37,0,0.1327,0.8157
5.5,eb0482,4.8,0.37,1,0.1754,0.6979
5.5,eb0482,4.8,0.37,2,0.1245,0.6056
5.5,eb0482,4.8,0.37,3,0.0967,0.5322
5.5,eb0482,4.8,0.37,4,0.0671,0.471
5.5,eb0482,4.8,0.37,5,0.0564,0.4161
5.5,eb0482,4.8,0.37,6,0.0531,0.3593
5.5,eb0482,4.8,0.37,7,0.0435,0.3006
5.5,eb0482,4.8,0.37,8,0.0363,0.2449
5.5,eb0482,4.8,0.37,9,0.0307,0.2042
5.5,eb0482,4.8,0.37,10,0.0264,0.1721
5.5,eb0482,4.8,0.37,11,0.0237,0.1483
5.5,eb0482,4.8,0.37,12,0.0214,0.1272
5.5,eb0482,4.8,0.37,13,0.0171,0.1091
5.5,eb0482,4.8,0.37,14,0.0172,0.0943
5.5,eb0482,4.8,0.37,15,0.0155,0.0806
5.5,eb0482,4.8,0.37,16,0.014,0.0674
5.5,eb0482,4.8,0.37,17,0.0132,0.0552
5.5,eb0482,4.8,0.37,18,0.0118,0.0436
5.5,eb0482,4.8,0.37,19,0.0111,0.0313
5.5,eb0482,4.8,0.37,20,0.0096,0.0174
5.5,eb0482,4.8,0.37,21,0.0026,0.0099
5.5,eb0482,4.8,0.38,0,0.1761,0.7934
5.5,eb0482,4.8,0.38,1,0.1771,0.6649
5.5,eb0482,4.8,0.38,2,0.1167,0.5738
5.5,eb0482,4.8,0.38,3,0.091,0.5016
5.5,eb0482,4.8,0.38,4,0.061,0.4416
5.5,eb0482,4.8,0.38,5,0.0532,0.3872
5.5,eb0482,4.8,0.38,6,0.0481,0.3337
5.5,eb0482,4.8,0.38,7,0.0394,0.2767
5.5,eb0482,4.8,0.38,8,0.0345,0.2273
5.5,eb0482,4.8,0.38,9,0.0271,0.1911
5.5,eb0482,4.8,0.38,10,0.0256,0.1637
5.5,eb0482,4.8,0.38,11,0.0224,0.1413
5.5,eb0482,4.8,0.38,12,0.0195,0.1226
5.5,eb0482,4.8,0.38,13,0.0171,0.105
5.5,eb0482,4.8,0.38,14,0.0159,0.0919
5.5,eb0482,4.8,0.38,15,0.015,0.0781
5.5,eb0482,4.8,0.38,16,0.0134,0.0662
5.5,eb0482,4.8,0.38,17,0.0132,0.054
5.5,eb0482,4.8,0.38,18,0.0111,0.0424
5.5,eb0482,4.8,0.38,19,0.011,0.0305
5.5,eb0482,4.8,0.38,20,0.0094,0.017
5.5,eb0482,4.8,0.38,21,0.0023,0.01
5.5,eb0482,4.8,0.39,0,0.2208,0.7728
5.5,eb0482,4.8,0.39,1,0.1741,0.6333
5.5,eb0482,4.8,0.39,2,0.1094,0.543
5.5,eb0482,4.8,0.39,3,0.0848,0.4727
5.5,eb0482,4.8,0.39,4,0.0546,0.4143
5.5,eb0482,4.8,0.39,5,0.051,0.3618
5.5,eb0482,4.8,0.39,6,0.0444,0.3086
5.5,eb0482,4.8,0.39,7,0.0351,0.255
5.5,eb0482,4.8,0.39,8,0.0319,0.2131
5.5,eb0482,4.8,0.39,9,0.0264,0.18
5.5,eb0482,4.8,0.39,10,0.0232,0.1556
5.5,eb0482,4.8,0.39,11,0.0214,0.1355
5.5,eb0482,4.8,0.39,12,0.0175,0.1185
5.5,eb0482,4.8,0.39,13,0.0171,0.102
5.5,eb0482,4.8,0.39,14,0.016,0.0888
5.5,eb0482,4.8,0.39,15,0.014,0.0756
5.5,eb0482,4.8,0.39,16,0.013,0.064
5.5,eb0482,4.8,0.39,17,0.0125,0.0528
5.5,eb0482,4.8,0.39,18,0.0108,0.0414
5.5,eb0482,4.8,0.39,19,0.0108,0.0298
5.5,eb0482,4.8,0.39,20,0.0091,0.0164
5.5,eb0482,4.8,0.39,21,0.0021,0.01
5.5,eb0482,6.4,0.3,0,0.0289,0.8997
5.5,eb0482,6.4,0.3,1,0.1929,0.777
5.5,eb0482,6.4,0.3,2,0.1732,0.6523
5.5,eb0482,6.4,0.3,3,0.1335,0.5485
5.5,eb0482,6.4,0.3,4,0.087,0.4614
5.5,eb0482,6.4,0.3,5,0.0706,0.3844
5.5,eb0482,6.4,0.3,6,0.0584,0.3107
5.5,eb0482,6.4,0.3,7,0.0446,0.24
5.5,eb0482,6.4,0.3,8,0.0356,0.1914
5.5,eb0482,6.4,0.3,9,0.0301,0.1567
5.5,eb0482,6.4,0.3,10,0.0257,0.131
5.5,eb0482,6.4,0.3,11,0.0204,0.1105
5.5,eb0482,6.4,0.3,12,0.0181,0.0937
5.5,eb0482,6.4,0.3,13,0.016,0.08
5.5,eb0482,6.4,0.3,14,0.0142,0.067
5.5,eb0482,6.4,0.3,15,0.0123,0.0556
5.5,eb0482,6.4,0.3,16,0.0113,0.0457
5.5,eb0482,6.4,0.3,17,0.0095,0.0353
5.5,eb0482,6.4,0.3,18,0.0081,0.0255
5.5,eb0482,6.4,0.3,19,0.007,0.0154
5.5,eb0482,6.4,0.3,20,0.0026,0.0096
5.5,eb0482,6.4,0.31,0,0.0735,0.8537
5.5,eb0482,6.4,0.31,1,0.2234,0.7261
5.5,eb0482,6.4,0.31,2,0.1629,0.5992
5.5,eb0482,6.4,0.31,3,0.119,0.4977
5.5,eb0482,6.4,0.31,4,0.0737,0.4147
5.5,eb0482,6.4,0.31,5,0.0647,0.3426
5.5,eb0482,6.4,0.31,6,0.0489,0.2712
5.5,eb0482,6.4,0.31,7,0.04,0.2131
5.5,eb0482,6.4,0.31,8,0.0316,0.1725
5.5,eb0482,6.4,0.31,9,0.0267,0.1449
5.5,eb0482,6.4,0.31,10,0.0236,0.1223
5.5,eb0482,6.4,0.31,11,0.0183,0.1034
5.5,eb0482,6.4,0.31,12,0.017,0.0893
5.5,eb0482,6.4,0.31,13,0.0153,0.0758
5.5,eb0482,6.4,0.31,14,0.0131,0.0642
5.5,eb0482,6.4,0.31,15,0.0119,0.0531
5.5,eb0482,6.4,0.31,16,0.0103,0.0441
5.5,eb0482,6.4,0.31,17,0.0093,0.034
5.5,eb0482,6.4,0.31,18,0.0079,0.0245
5.5,eb0482,6.4,0.31,19,0.0066,0.0143
