ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
rq4graded,6.75,3.8,0.27,6000,2,0.1107,0.7348
rq4graded,6.75,3.8,0.27,6000,3,0.0781,0.5683
rq4graded,6.75,3.8,0.27,6000,4,0.0533,0.4374
rq4graded,6.75,3.8,0.27,6000,5,0.0434,0.3507
rq4graded,6.75,3.8,0.27,6000,6,0.0356,0.2787
rq4graded,6.75,3.8,0.27,6000,7,0.0326,0.2161
rq4graded,6.75,3.8,0.27,6000,8,0.0273,0.1839
rq4graded,6.75,3.8,0.27,6000,9,0.0251,0.1442
rq4graded,6.75,3.8,0.27,6000,10,0.0186,0.1208
rq4graded,6.75,3.8,0.27,6000,11,0.0222,0.0943
rq4graded,6.75,3.8,0.27,6000,12,0.0138,0.0834
rq4graded,6.75,3.8,0.27,6000,13,0.0129,0.0674
rq4graded,6.75,3.8,0.27,6000,14,0.0083,0.054
rq4graded,6.75,3.8,0.27,6000,15,0.006,0.0504
rq4graded,6.75,3.8,0.27,6000,16,0.0039,0.0436
rq4graded,6.75,3.8,0.27,6000,17,0.0023,0.0291
rq4graded,6.75,3.8,0.27,6000,18,0.0017,0.0202
floor1,7.0,3.2,0.23,6000,0,0.0566,1.5037
floor1,7.0,3.2,0.23,6000,1,0.1635,1.3126
floor1,7.0,3.2,0.23,6000,2,0.1085,1.1229
floor1,7.0,3.2,0.23,6000,3,0.0958,0.9749
floor1,7.0,3.2,0.23,6000,4,0.0851,0.8367
floor1,7.0,3.2,0.23,6000,5,0.0712,0.7031
floor1,7.0,3.2,0.23,6000,6,0.0665,0.5755
floor1,7.0,3.2,0.23,6000,7,0.0568,0.4474
floor1,7.0,3.2,0.23,6000,8,0.0496,0.3438
floor1,7.0,3.2,0.23,6000,9,0.0434,0.2778
floor1,7.0,3.2,0.23,6000,10,0.0407,0.2197
floor1,7.0,3.2,0.23,6000,11,0.033,0.1702
floor1,7.0,3.2,0.23,6000,12,0.0321,0.1401
floor1,7.0,3.2,0.23,6000,13,0.0294,0.1103
floor1,7.0,3.2,0.23,6000,14,0.0209,0.0982
floor1,7.0,3.2,0.23,6000,15,0.0172,0.0891
floor1,7.0,3.2,0.23,6000,16,0.0128,0.0669
floor1,7.0,3.2,0.23,6000,17,0.0077,0.0607
floor1,7.0,3.2,0.23,6000,18,0.0053,0.0463
floor1,7.0,3.2,0.23,6000,19,0.0028,0.0351
rq4graded,7.0,3.2,0.23,6000,1,0.1632,1.427
rq4graded,7.0,3.2,0.23,6000,2,0.1622,1.1699
rq4graded,7.0,3.2,0.23,6000,3,0.1166,0.9618
rq4graded,7.0,3.2,0.23,6000,4,0.0813,0.8038
rq4graded,7.0,3.2,0.23,6000,5,0.0685,0.6798
rq4graded,7.0,3.2,0.23,6000,6,0.0625,0.5583
rq4graded,7.0,3.2,0.23,6000,7,0.056,0.4359
rq4graded,7.0,3.2,0.23,6000,8,0.0483,0.3365
rq4graded,7.0,3.2,0.23,6000,9,0.042,0.2748
rq4graded,7.0,3.2,0.23,6000,10,0.0404,0.2158
rq4graded,7.0,3.2,0.23,6000,11,0.0314,0.1696
rq4graded,7.0,3.2,0.23,6000,12,0.0327,0.1399
rq4graded,7.0,3.2,0.23,6000,13,0.0286,0.1096
rq4graded,7.0,3.2,0.23,6000,14,0.0203,0.0976
rq4graded,7.0,3.2,0.23,6000,15,0.0167,0.0897
rq4graded,7.0,3.2,0.23,6000,16,0.0127,0.0667
rq4graded,7.0,3.2,0.23,6000,17,0.0076,0.0603
rq4graded,7.0,3.2,0.23,6000,18,0.0053,0.0463
rq4graded,7.0,3.2,0.23,6000,19,0.0028,0.0351
floor1,7.0,3.2,0.25,6000,0,0.1983,1.3517
floor1,7.0,3.2,0.25,6000,1,0.149,1.0946
floor1,7.0,3.2,0.25,6000,2,0.0923,0.9229
floor1,7.0,3.2,0.25,6000,3,0.0772,0.7946
floor1,7.0,3.2,0.25,6000,4,0.069,0.6745
floor1,7.0,3.2,0.25,6000,5,0.0609,0.5515
floor1,7.0,3.2,0.25,6000,6,0.0516,0.4432
floor1,7.0,3.2,0.25,6000,7,0.0481,0.3373
floor1,7.0,3.2,0.25,6000,8,0.0419,0.2776
floor1,7.0,3.2,0.25,6000,9,0.037,0.2291
floor1,7.0,3.2,0.25,6000,10,0.0319,0.1788
floor1,7.0,3.2,0.25,6000,11,0.0313,0.1514
floor1,7.0,3.2,0.25,6000,12,0.0288,0.1209
floor1,7.0,3.2,0.25,6000,13,0.023,0.0937
floor1,7.0,3.2,0.25,6000,14,0.0199,0.0912
floor1,7.0,3.2,0.25,6000,15,0.0145,0.0764
floor1,7.0,3.2,0.25,6000,16,0.0114,0.0619
floor1,7.0,3.2,0.25,6000,17,0.0059,0.0541
floor1,7.0,3.2,0.25,6000,18,0.0047,0.0434
floor1,7.0,3.2,0.25,6000,19,0.0025,0.0319
rq4graded,7.0,3.2,0.25,6000,0,0.0734,1.4831
rq4graded,7.0,3.2,0.25,6000,1,0.2274,1.2316
rq4graded,7.0,3.2,0.25,6000,2,0.1323,0.9664
rq4graded,7.0,3.2,0.25,6000,3,0.0975,0.7866
rq4graded,7.0,3.2,0.25,6000,4,0.0648,0.6503
rq4graded,7.0,3.2,0.25,6000,5,0.059,0.5338
rq4graded,7.0,3.2,0.25,6000,6,0.0509,0.4283
rq4graded,7.0,3.2,0.25,6000,7,0.0456,0.3325
rq4graded,7.0,3.2,0.25,6000,8,0.0405,0.2732
rq4graded,7.0,3.2,0.25,6000,9,0.037,0.2241
rq4graded,7.0,3.2,0.25,6000,10,0.0314,0.177
rq4graded,7.0,3.2,0.25,6000,11,0.031,0.1494
rq4graded,7.0,3.2,0.25,6000,12,0.0271,0.1219
rq4graded,7.0,3.2,0.25,6000,13,0.0226,0.094
rq4graded,7.0,3.2,0.25,6000,14,0.0199,0.0913
rq4graded,7.0,3.2,0.25,6000,15,0.0145,0.0758
rq4graded,7.0,3.2,0.25,6000,16,0.0113,0.0625
rq4graded,7.0,3.2,0.25,6000,17,0.0056,0.0535
rq4graded,7.0,3.2,0.25,6000,18,0.0047,0.0434
rq4graded,7.0,3.2,0.25,6000,19,0.0025,0.0319
floor1,7.0,3.2,0.27,6000,0,0.3263,1.2447
floor1,7.0,3.2,0.27,6000,1,0.1241,0.9075
floor1,7.0,3.2,0.27,6000,2,0.0743,0.7568
floor1,7.0,3.2,0.27,6000,3,0.0641,0.6463
floor1,7.0,3.2,0.27,6000,4,0.0565,0.5362
floor1,7.0,3.2,0.27,6000,5,0.0487,0.4337
floor1,7.0,3.2,0.27,6000,6,0.0453,0.3339
floor1,7.0,3.2,0.27,6000,7,0.0399,0.2808
floor1,7.0,3.2,0.27,6000,8,0.0358,0.2344
floor1,7.0,3.2,0.27,6000,9,0.0312,0.1828
floor1,7.0,3.2,0.27,6000,10,0.029,0.1613
floor1,7.0,3.2,0.27,6000,11,0.027,0.1279
floor1,7.0,3.2,0.27,6000,12,0.0252,0.1083
floor1,7.0,3.2,0.27,6000,13,0.0207,0.0841
floor1,7.0,3.2,0.27,6000,14,0.0174,0.0868
floor1,7.0,3.2,0.27,6000,15,0.0123,0.0655
floor1,7.0,3.2,0.27,6000,16,0.0099,0.0589
floor1,7.0,3.2,0.27,6000,17,0.0056,0.0447
floor1,7.0,3.2,0.27,6000,18,0.0039,0.0439
floor1,7.0,3.2,0.27,6000,19,0.0022,0.0239
rq4graded,7.0,3.2,0.27,6000,0,0.2069,1.344
rq4graded,7.0,3.2,0.27,6000,1,0.2008,1.0384
rq4graded,7.0,3.2,0.27,6000,2,0.1097,0.8016
rq4graded,7.0,3.2,0.27,6000,3,0.0819,0.6424
rq4graded,7.0,3.2,0.27,6000,4,0.055,0.5163
rq4graded,7.0,3.2,0.27,6000,5,0.0461,0.4183
rq4graded,7.0,3.2,0.27,6000,6,0.0447,0.3276
rq4graded,7.0,3.2,0.27,6000,7,0.0379,0.2726
rq4graded,7.0,3.2,0.27,6000,8,0.0357,0.2315
rq4graded,7.0,3.2,0.27,6000,9,0.0301,0.1808
rq4graded,7.0,3.2,0.27,6000,10,0.0278,0.1617
rq4graded,7.0,3.2,0.27,6000,11,0.027,0.1264
rq4graded,7.0,3.2,0.27,6000,12,0.0251,0.1058
rq4graded,7.0,3.2,0.27,6000,13,0.02,0.0848
rq4graded,7.0,3.2,0.27,6000,14,0.0169,0.0881
rq4graded,7.0,3.2,0.27,6000,15,0.0125,0.0654
rq4graded,7.0,3.2,0.27,6000,16,0.0095,0.059
rq4graded,7.0,3.2,0.27,6000,17,0.0057,0.0447
rq4graded,7.0,3.2,0.27,6000,18,0.0039,0.0433
rq4graded,7.0,3.2,0.27,6000,19,0.0021,0.0241
floor1,7.0,3.8,0.23,6000,0,0.1078,1.4413
floor1,7.0,3.8,0.23,6000,1,0.1951,1.2012
floor1,7.0,3.8,0.23,6000,2,0.1109,0.9807
floor1,7.0,3.8,0.23,6000,3,0.0951,0.8253
floor1,7.0,3.8,0.23,6000,4,0.0808,0.6787
floor1,7.0,3.8,0.23,6000,5,0.0697,0.5369
floor1,7.0,3.8,0.23,6000,6,0.0589,0.406
floor1,7.0,3.8,0.23,6000,7,0.0503,0.3071
floor1,7.0,3.8,0.23,6000,8,0.0442,0.2489
floor1,7.0,3.8,0.23,6000,9,0.0367,0.1877
floor1,7.0,3.8,0.23,6000,10,0.0326,0.1592
floor1,7.0,3.8,0.23,6000,11,0.03,0.1235
floor1,7.0,3.8,0.23,6000,12,0.0251,0.0966
floor1,7.0,3.8,0.23,6000,13,0.0214,0.0877
floor1,7.0,3.8,0.23,6000,14,0.0142,0.0775
floor1,7.0,3.8,0.23,6000,15,0.0122,0.0602
floor1,7.0,3.8,0.23,6000,16,0.0062,0.0511
floor1,7.0,3.8,0.23,6000,17,0.0049,0.0432
floor1,7.0,3.8,0.23,6000,18,0.0028,0.0317
rq4graded,7.0,3.8,0.23,6000,1,0.2384,1.3551
rq4graded,7.0,3.8,0.23,6000,2,0.1675,1.0387
rq4graded,7.0,3.8,0.23,6000,3,0.1185,0.8161
rq4graded,7.0,3.8,0.23,6000,4,0.0763,0.6498
rq4graded,7.0,3.8,0.23,6000,5,0.0655,0.5205
rq4graded,7.0,3.8,0.23,6000,6,0.0585,0.3911
rq4graded,7.0,3.8,0.23,6000,7,0.0486,0.2995
rq4graded,7.0,3.8,0.23,6000,8,0.0425,0.2468
rq4graded,7.0,3.8,0.23,6000,9,0.0351,0.1866
rq4graded,7.0,3.8,0.23,6000,10,0.0324,0.1572
rq4graded,7.0,3.8,0.23,6000,11,0.0303,0.122
rq4graded,7.0,3.8,0.23,6000,12,0.0237,0.0965
rq4graded,7.0,3.8,0.23,6000,13,0.021,0.0885
rq4graded,7.0,3.8,0.23,6000,14,0.0142,0.0774
rq4graded,7.0,3.8,0.23,6000,15,0.0118,0.0605
rq4graded,7.0,3.8,0.23,6000,16,0.0061,0.0511
rq4graded,7.0,3.8,0.23,6000,17,0.005,0.0425
rq4graded,7.0,3.8,0.23,6000,18,0.0028,0.0319
floor1,7.0,3.8,0.25,6000,0,0.2865,1.277
floor1,7.0,3.8,0.25,6000,1,0.1511,0.9508
floor1,7.0,3.8,0.25,6000,2,0.088,0.7666
floor1,7.0,3.8,0.25,6000,3,0.074,0.6332
floor1,7.0,3.8,0.25,6000,4,0.0646,0.5049
floor1,7.0,3.8,0.25,6000,5,0.0525,0.3873
floor1,7.0,3.8,0.25,6000,6,0.0478,0.2982
floor1,7.0,3.8,0.25,6000,7,0.0414,0.2446
floor1,7.0,3.8,0.25,6000,8,0.0345,0.1921
floor1,7.0,3.8,0.25,6000,9,0.0325,0.1593
floor1,7.0,3.8,0.25,6000,10,0.0267,0.132
floor1,7.0,3.8,0.25,6000,11,0.0271,0.1054
floor1,7.0,3.8,0.25,6000,12,0.0218,0.0804
floor1,7.0,3.8,0.25,6000,13,0.0173,0.0822
floor1,7.0,3.8,0.25,6000,14,0.0121,0.066
floor1,7.0,3.8,0.25,6000,15,0.0098,0.0529
floor1,7.0,3.8,0.25,6000,16,0.005,0.0453
floor1,7.0,3.8,0.25,6000,17,0.0045,0.0405
floor1,7.0,3.8,0.25,6000,18,0.002,0.0253
rq4graded,7.0,3.8,0.25,6000,0,0.133,1.414
rq4graded,7.0,3.8,0.25,6000,1,0.2513,1.1151
rq4graded,7.0,3.8,0.25,6000,2,0.1338,0.8208
rq4graded,7.0,3.8,0.25,6000,3,0.0925,0.6314
rq4graded,7.0,3.8,0.25,6000,4,0.0609,0.4888
rq4graded,7.0,3.8,0.25,6000,5,0.052,0.3723
rq4graded,7.0,3.8,0.25,6000,6,0.0465,0.2927
rq4graded,7.0,3.8,0.25,6000,7,0.0401,0.241
rq4graded,7.0,3.8,0.25,6000,8,0.0339,0.1873
rq4graded,7.0,3.8,0.25,6000,9,0.0302,0.1602
rq4graded,7.0,3.8,0.25,6000,10,0.0276,0.1294
rq4graded,7.0,3.8,0.25,6000,11,0.0255,0.1068
rq4graded,7.0,3.8,0.25,6000,12,0.0217,0.0804
rq4graded,7.0,3.8,0.25,6000,13,0.0169,0.0824
rq4graded,7.0,3.8,0.25,6000,14,0.0119,0.0662
rq4graded,7.0,3.8,0.25,6000,15,0.0098,0.0529
rq4graded,7.0,3.8,0.25,6000,16,0.0051,0.0448
rq4graded,7.0,3.8,0.25,6000,17,0.0043,0.0406
rq4graded,7.0,3.8,0.25,6000,18,0.002,0.0253
floor1,7.0,3.8,0.27,6000,0,0.4195,1.1694
floor1,7.0,3.8,0.27,6000,1,0.1201,0.7519
floor1,7.0,3.8,0.27,6000,2,0.0696,0.5954
floor1,7.0,3.8,0.27,6000,3,0.0566,0.4769
floor1,7.0,3.8,0.27,6000,4,0.0498,0.3718
floor1,7.0,3.8,0.27,6000,5,0.0461,0.2889
floor1,7.0,3.8,0.27,6000,6,0.0395,0.2408
floor1,7.0,3.8,0.27,6000,7,0.0313,0.1959
floor1,7.0,3.8,0.27,6000,8,0.0308,0.1602
floor1,7.0,3.8,0.27,6000,9,0.0263,0.1404
floor1,7.0,3.8,0.27,6000,10,0.026,0.1097
floor1,7.0,3.8,0.27,6000,11,0.0195,0.0919
floor1,7.0,3.8,0.27,6000,12,0.0219,0.0747
floor1,7.0,3.8,0.27,6000,13,0.0132,0.0714
floor1,7.0,3.8,0.27,6000,14,0.0117,0.0579
floor1,7.0,3.8,0.27,6000,15,0.007,0.0461
floor1,7.0,3.8,0.27,6000,16,0.0052,0.0439
floor1,7.0,3.8,0.27,6000,17,0.0033,0.0373
floor1,7.0,3.8,0.27,6000,18,0.0017,0.0217
rq4graded,7.0,3.8,0.27,6000,0,0.2957,1.2695
rq4graded,7.0,3.8,0.27,6000,1,0.1989,0.8943
rq4graded,7.0,3.8,0.27,6000,2,0.1071,0.6436
rq4graded,7.0,3.8,0.27,6000,3,0.0727,0.4777
rq4graded,7.0,3.8,0.27,6000,4,0.0478,0.3587
rq4graded,7.0,3.8,0.27,6000,5,0.0442,0.2843
rq4graded,7.0,3.8,0.27,6000,6,0.0381,0.2366
rq4graded,7.0,3.8,0.27,6000,7,0.0313,0.1914
rq4graded,7.0,3.8,0.27,6000,8,0.0301,0.1588
rq4graded,7.0,3.8,0.27,6000,9,0.026,0.1373
rq4graded,7.0,3.8,0.27,6000,10,0.0255,0.1091
rq4graded,7.0,3.8,0.27,6000,11,0.0187,0.0909
rq4graded,7.0,3.8,0.27,6000,12,0.0215,0.0757
rq4graded,7.0,3.8,0.27,6000,13,0.0126,0.072
rq4graded,7.0,3.8,0.27,6000,14,0.0117,0.0578
rq4graded,7.0,3.8,0.27,6000,15,0.007,0.0466
rq4graded,7.0,3.8,0.27,6000,16,0.0052,0.0431
rq4graded,7.0,3.8,0.27,6000,17,0.0033,0.0377
floor1,7.25,3.2,0.23,6000,0,0.055,1.4714
floor1,7.25,3.2,0.23,6000,1,0.1617,1.2636
floor1,7.25,3.2,0.23,6000,2,0.1061,1.0569
floor1,7.25,3.2,0.23,6000,3,0.0929,0.8946
floor1,7.25,3.2,0.23,6000,4,0.0808,0.7531
floor1,7.25,3.2,0.23,6000,5,0.0716,0.6063
floor1,7.25,3.2,0.23,6000,6,0.061,0.4813
floor1,7.25,3.2,0.23,6000,7,0.0527,0.3824
floor1,7.25,3.2,0.23,6000,8,0.05,0.2895
floor1,7.25,3.2,0.23,6000,9,0.0446,0.2365
floor1,7.25,3.2,0.23,6000,10,0.0399,0.1991
floor1,7.25,3.2,0.23,6000,11,0.0378,0.1615
floor1,7.25,3.2,0.23,6000,12,0.0326,0.1293
floor1,7.25,3.2,0.23,6000,13,0.032,0.109
floor1,7.25,3.2,0.23,6000,14,0.0242,0.0922
floor1,7.25,3.2,0.23,6000,15,0.02,0.0829
floor1,7.25,3.2,0.23,6000,16,0.0161,0.0751
floor1,7.25,3.2,0.23,6000,17,0.01,0.0608
floor1,7.25,3.2,0.23,6000,18,0.0062,0.0472
floor1,7.25,3.2,0.23,6000,19,0.0037,0.0388
rq4graded,7.25,3.2,0.23,6000,1,0.1608,1.3841
rq4graded,7.25,3.2,0.23,6000,2,0.1588,1.1066
rq4graded,7.25,3.2,0.23,6000,3,0.1141,0.8797
rq4graded,7.25,3.2,0.23,6000,4,0.0768,0.7154
rq4graded,7.25,3.2,0.23,6000,5,0.0665,0.5873
rq4graded,7.25,3.2,0.23,6000,6,0.0591,0.4679
rq4graded,7.25,3.2,0.23,6000,7,0.051,0.3751
rq4graded,7.25,3.2,0.23,6000,8,0.0494,0.2846
rq4graded,7.25,3.2,0.23,6000,9,0.0432,0.2333
rq4graded,7.25,3.2,0.23,6000,10,0.0393,0.198
rq4graded,7.25,3.2,0.23,6000,11,0.0374,0.1589
rq4graded,7.25,3.2,0.23,6000,12,0.0323,0.1288
rq4graded,7.25,3.2,0.23,6000,13,0.0305,0.1101
rq4graded,7.25,3.2,0.23,6000,14,0.0238,0.0924
rq4graded,7.25,3.2,0.23,6000,15,0.0198,0.0832
rq4graded,7.25,3.2,0.23,6000,16,0.0164,0.0746
rq4graded,7.25,3.2,0.23,6000,17,0.0098,0.0612
rq4graded,7.25,3.2,0.23,6000,18,0.0064,0.0467
rq4graded,7.25,3.2,0.23,6000,19,0.0035,0.0393
floor1,7.25,3.2,0.25,6000,0,0.1942,1.31
floor1,7.25,3.2,0.25,6000,1,0.1468,1.0315
floor1,7.25,3.2,0.25,6000,2,0.0883,0.846
floor1,7.25,3.2,0.25,6000,3,0.0746,0.7093
floor1,7.25,3.2,0.25,6000,4,0.0673,0.5802
floor1,7.25,3.2,0.25,6000,5,0.056,0.4667
floor1,7.25,3.2,0.25,6000,6,0.0501,0.3671
floor1,7.25,3.2,0.25,6000,7,0.0464,0.2917
floor1,7.25,3.2,0.25,6000,8,0.0416,0.2377
floor1,7.25,3.2,0.25,6000,9,0.038,0.2035
floor1,7.25,3.2,0.25,6000,10,0.037,0.1693
floor1,7.25,3.2,0.25,6000,11,0.0304,0.1346
floor1,7.25,3.2,0.25,6000,12,0.0317,0.1163
floor1,7.25,3.2,0.25,6000,13,0.0272,0.0966
floor1,7.25,3.2,0.25,6000,14,0.0208,0.0832
floor1,7.25,3.2,0.25,6000,15,0.0181,0.078
floor1,7.25,3.2,0.25,6000,16,0.0129,0.0629
floor1,7.25,3.2,0.25,6000,17,0.0092,0.0596
floor1,7.25,3.2,0.25,6000,18,0.0053,0.0426
floor1,7.25,3.2,0.25,6000,19,0.0031,0.0364
rq4graded,7.25,3.2,0.25,6000,0,0.0722,1.4486
rq4graded,7.25,3.2,0.25,6000,1,0.2229,1.1768
rq4graded,7.25,3.2,0.25,6000,2,0.1281,0.892
rq4graded,7.25,3.2,0.25,6000,3,0.0951,0.7004
rq4graded,7.25,3.2,0.25,6000,4,0.0613,0.5591
rq4graded,7.25,3.2,0.25,6000,5,0.056,0.4521
rq4graded,7.25,3.2,0.25,6000,6,0.0465,0.3588
rq4graded,7.25,3.2,0.25,6000,7,0.046,0.2848
rq4graded,7.25,3.2,0.25,6000,8,0.0412,0.2344
rq4graded,7.25,3.2,0.25,6000,9,0.0369,0.2036
rq4graded,7.25,3.2,0.25,6000,10,0.0369,0.1654
rq4graded,7.25,3.2,0.25,6000,11,0.0296,0.1353
rq4graded,7.25,3.2,0.25,6000,12,0.0309,0.1155
rq4graded,7.25,3.2,0.25,6000,13,0.0273,0.0968
rq4graded,7.25,3.2,0.25,6000,14,0.0202,0.0834
rq4graded,7.25,3.2,0.25,6000,15,0.0176,0.0784
rq4graded,7.25,3.2,0.25,6000,16,0.0128,0.0632
rq4graded,7.25,3.2,0.25,6000,17,0.0092,0.0596
rq4graded,7.25,3.2,0.25,6000,18,0.0053,0.0426
rq4graded,7.25,3.2,0.25,6000,19,0.0031,0.0364
floor1,7.25,3.2,0.27,6000,0,0.3219,1.1942
floor1,7.25,3.2,0.27,6000,1,0.1194,0.831
floor1,7.25,3.2,0.27,6000,2,0.0682,0.673
floor1,7.25,3.2,0.27,6000,3,0.0635,0.5574
floor1,7.25,3.2,0.27,6000,4,0.0534,0.4507
floor1,7.25,3.2,0.27,6000,5,0.0462,0.3571
floor1,7.25,3.2,0.27,6000,6,0.0428,0.2955
floor1,7.25,3.2,0.27,6000,7,0.0413,0.2365
floor1,7.25,3.2,0.27,6000,8,0.0358,0.2045
floor1,7.25,3.2,0.27,6000,9,0.0343,0.1791
floor1,7.25,3.2,0.27,6000,10,0.0299,0.1422
floor1,7.25,3.2,0.27,6000,11,0.0297,0.1261
floor1,7.25,3.2,0.27,6000,12,0.0269,0.0998
floor1,7.25,3.2,0.27,6000,13,0.0249,0.0884
floor1,7.25,3.2,0.27,6000,14,0.0185,0.0747
floor1,7.25,3.2,0.27,6000,15,0.0159,0.0746
floor1,7.25,3.2,0.27,6000,16,0.0116,0.0577
floor1,7.25,3.2,0.27,6000,17,0.0072,0.0532
floor1,7.25,3.2,0.27,6000,18,0.0052,0.0412
floor1,7.25,3.2,0.27,6000,19,0.0027,0.0342
rq4graded,7.25,3.2,0.27,6000,0,0.2021,1.3023
rq4graded,7.25,3.2,0.27,6000,1,0.1964,0.9732
rq4graded,7.25,3.2,0.27,6000,2,0.106,0.7219
rq4graded,7.25,3.2,0.27,6000,3,0.0783,0.5508
rq4graded,7.25,3.2,0.27,6000,4,0.0511,0.4361
rq4graded,7.25,3.2,0.27,6000,5,0.045,0.3471
rq4graded,7.25,3.2,0.27,6000,6,0.0421,0.2882
rq4graded,7.25,3.2,0.27,6000,7,0.0399,0.2327
rq4graded,7.25,3.2,0.27,6000,8,0.0354,0.2013
rq4graded,7.25,3.2,0.27,6000,9,0.033,0.1781
rq4graded,7.25,3.2,0.27,6000,10,0.0296,0.1415
rq4graded,7.25,3.2,0.27,6000,11,0.0285,0.1261
rq4graded,7.25,3.2,0.27,6000,12,0.0271,0.0989
rq4graded,7.25,3.2,0.27,6000,13,0.024,0.089
rq4graded,7.25,3.2,0.27,6000,14,0.0187,0.0747
rq4graded,7.25,3.2,0.27,6000,15,0.0156,0.0748
rq4graded,7.25,3.2,0.27,6000,16,0.0115,0.0578
rq4graded,7.25,3.2,0.27,6000,17,0.0071,0.0536
rq4graded,7.25,3.2,0.27,6000,18,0.0052,0.0412
rq4graded,7.25,3.2,0.27,6000,19,0.0027,0.0342
floor1,7.25,3.8,0.23,6000,0,0.1063,1.4041
floor1,7.25,3.8,0.23,6000,1,0.1914,1.1436
floor1,7.25,3.8,0.23,6000,2,0.1066,0.9066
floor1,7.25,3.8,0.23,6000,3,0.092,0.7437
floor1,7.25,3.8,0.23,6000,4,0.0789,0.5831
floor1,7.25,3.8,0.23,6000,5,0.0645,0.4508
floor1,7.25,3.8,0.23,6000,6,0.0542,0.3449
floor1,7.25,3.8,0.23,6000,7,0.0508,0.2626
floor1,7.25,3.8,0.23,6000,8,0.0461,0.2178
floor1,7.25,3.8,0.23,6000,9,0.0395,0.1826
floor1,7.25,3.8,0.23,6000,10,0.0337,0.1397
floor1,7.25,3.8,0.23,6000,11,0.0324,0.1217
floor1,7.25,3.8,0.23,6000,12,0.0296,0.0954
floor1,7.25,3.8,0.23,6000,13,0.0218,0.0822
floor1,7.25,3.8,0.23,6000,14,0.0193,0.075
floor1,7.25,3.8,0.23,6000,15,0.0126,0.0631
floor1,7.25,3.8,0.23,6000,16,0.0099,0.0567
floor1,7.25,3.8,0.23,6000,17,0.0051,0.0404
floor1,7.25,3.8,0.23,6000,18,0.0037,0.0377
rq4graded,7.25,3.8,0.23,6000,1,0.2346,1.308
rq4graded,7.25,3.8,0.23,6000,2,0.1623,0.9684
rq4graded,7.25,3.8,0.23,6000,3,0.1162,0.7313
rq4graded,7.25,3.8,0.23,6000,4,0.0706,0.558
rq4graded,7.25,3.8,0.23,6000,5,0.0638,0.437
rq4graded,7.25,3.8,0.23,6000,6,0.0523,0.3362
rq4graded,7.25,3.8,0.23,6000,7,0.0491,0.2567
rq4graded,7.25,3.8,0.23,6000,8,0.0441,0.2161
rq4graded,7.25,3.8,0.23,6000,9,0.0395,0.1806
rq4graded,7.25,3.8,0.23,6000,10,0.0328,0.1393
rq4graded,7.25,3.8,0.23,6000,11,0.0328,0.1192
rq4graded,7.25,3.8,0.23,6000,12,0.0281,0.0973
rq4graded,7.25,3.8,0.23,6000,13,0.0219,0.081
rq4graded,7.25,3.8,0.23,6000,14,0.0186,0.0758
rq4graded,7.25,3.8,0.23,6000,15,0.0124,0.0635
rq4graded,7.25,3.8,0.23,6000,16,0.0099,0.0562
rq4graded,7.25,3.8,0.23,6000,17,0.005,0.041
rq4graded,7.25,3.8,0.23,6000,18,0.0037,0.0377
floor1,7.25,3.8,0.25,6000,0,0.2798,1.2311
floor1,7.25,3.8,0.25,6000,1,0.1489,0.8795
floor1,7.25,3.8,0.25,6000,2,0.0818,0.6852
floor1,7.25,3.8,0.25,6000,3,0.0726,0.5457
floor1,7.25,3.8,0.25,6000,4,0.0605,0.4233
floor1,7.25,3.8,0.25,6000,5,0.0495,0.326
floor1,7.25,3.8,0.25,6000,6,0.046,0.257
floor1,7.25,3.8,0.25,6000,7,0.0433,0.2175
floor1,7.25,3.8,0.25,6000,8,0.0379,0.1838
floor1,7.25,3.8,0.25,6000,9,0.0329,0.1436
floor1,7.25,3.8,0.25,6000,10,0.0312,0.1268
floor1,7.25,3.8,0.25,6000,11,0.0275,0.0995
floor1,7.25,3.8,0.25,6000,12,0.0254,0.0851
floor1,7.25,3.8,0.25,6000,13,0.0196,0.0727
floor1,7.25,3.8,0.25,6000,14,0.0158,0.0714
floor1,7.25,3.8,0.25,6000,15,0.0113,0.0528
floor1,7.25,3.8,0.25,6000,16,0.007,0.0504
floor1,7.25,3.8,0.25,6000,17,0.005,0.0391
floor1,7.25,3.8,0.25,6000,18,0.0028,0.0359
rq4graded,7.25,3.8,0.25,6000,0,0.1302,1.376
rq4graded,7.25,3.8,0.25,6000,1,0.2456,1.0543
rq4graded,7.25,3.8,0.25,6000,2,0.1287,0.7421
rq4graded,7.25,3.8,0.25,6000,3,0.0901,0.541
rq4graded,7.25,3.8,0.25,6000,4,0.0575,0.4048
rq4graded,7.25,3.8,0.25,6000,5,0.0478,0.319
rq4graded,7.25,3.8,0.25,6000,6,0.0456,0.2484
rq4graded,7.25,3.8,0.25,6000,7,0.0418,0.2149
rq4graded,7.25,3.8,0.25,6000,8,0.0368,0.1822
rq4graded,7.25,3.8,0.25,6000,9,0.0321,0.1405
rq4graded,7.25,3.8,0.25,6000,10,0.0297,0.1276
rq4graded,7.25,3.8,0.25,6000,11,0.0278,0.0983
rq4graded,7.25,3.8,0.25,6000,12,0.0246,0.0846
rq4graded,7.25,3.8,0.25,6000,13,0.02,0.0725
rq4graded,7.25,3.8,0.25,6000,14,0.0149,0.0725
