ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
floor1,6.5,3.2,0.27,6000,12,0.0194,0.1311
floor1,6.5,3.2,0.27,6000,13,0.0145,0.1033
floor1,6.5,3.2,0.27,6000,14,0.0114,0.0875
floor1,6.5,3.2,0.27,6000,15,0.007,0.0703
floor1,6.5,3.2,0.27,6000,16,0.0053,0.0656
floor1,6.5,3.2,0.27,6000,17,0.004,0.0467
floor1,6.5,3.2,0.27,6000,18,0.0025,0.0309
rq4graded,6.5,3.2,0.27,6000,0,0.2146,1.4211
rq4graded,6.5,3.2,0.27,6000,1,0.2067,1.1647
rq4graded,6.5,3.2,0.27,6000,2,0.1173,0.9635
rq4graded,6.5,3.2,0.27,6000,3,0.0869,0.8232
rq4graded,6.5,3.2,0.27,6000,4,0.0582,0.7112
rq4graded,6.5,3.2,0.27,6000,5,0.056,0.6078
rq4graded,6.5,3.2,0.27,6000,6,0.046,0.5181
rq4graded,6.5,3.2,0.27,6000,7,0.0413,0.4155
rq4graded,6.5,3.2,0.27,6000,8,0.0319,0.3383
rq4graded,6.5,3.2,0.27,6000,9,0.0299,0.2578
rq4graded,6.5,3.2,0.27,6000,10,0.0243,0.2065
rq4graded,6.5,3.2,0.27,6000,11,0.0229,0.1544
rq4graded,6.5,3.2,0.27,6000,12,0.0186,0.1319
rq4graded,6.5,3.2,0.27,6000,13,0.0143,0.1029
rq4graded,6.5,3.2,0.27,6000,14,0.0111,0.0876
rq4graded,6.5,3.2,0.27,6000,15,0.0069,0.0707
rq4graded,6.5,3.2,0.27,6000,16,0.0053,0.0656
rq4graded,6.5,3.2,0.27,6000,17,0.004,0.0467
rq4graded,6.5,3.2,0.27,6000,18,0.0025,0.0309
floor1,6.5,3.8,0.23,6000,0,0.1126,1.5055
floor1,6.5,3.8,0.23,6000,1,0.1997,1.3061
floor1,6.5,3.8,0.23,6000,2,0.1153,1.1237
floor1,6.5,3.8,0.23,6000,3,0.1009,0.9919
floor1,6.5,3.8,0.23,6000,4,0.0868,0.8624
floor1,6.5,3.8,0.23,6000,5,0.0764,0.7292
floor1,6.5,3.8,0.23,6000,6,0.0658,0.6009
floor1,6.5,3.8,0.23,6000,7,0.056,0.4787
floor1,6.5,3.8,0.23,6000,8,0.0396,0.3644
floor1,6.5,3.8,0.23,6000,9,0.0362,0.2746
floor1,6.5,3.8,0.23,6000,10,0.027,0.2032
floor1,6.5,3.8,0.23,6000,11,0.0264,0.1539
floor1,6.5,3.8,0.23,6000,12,0.018,0.1209
floor1,6.5,3.8,0.23,6000,13,0.0153,0.0958
floor1,6.5,3.8,0.23,6000,14,0.0086,0.0769
