label,form,seed,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_sd,KE2_sd,KE3_n,KE3_mean,KE3_sd,KE1_n,KE1_above115
bigc1v725s1,cubic,20260722,1862,0.069,0.069,0.0,0.19172932330827067,4.189044038668099,0.22923588039867115,0.7284060172629905,1.0327557718430003,7,0.6016887389331966,8,154.82280206681713,17,1.0381398397804071,1.0366467065765947,1.0062499999999999,0.7621862824340373,0.772444858602589,0.7437499999999999,0.12968663582840367,0.11350142428900722,174,0.5637725164923364,0.13942580215541692,345,0.2
qccbigs1,lq,20260722,1918,0.041,0.041,0.0,0.21689259645464026,4.083420229405631,0.23368841544607186,0.6919983039593524,1.0419898125444518,7,0.6184397596371868,8,175.612653566289,17,0.9846982480391057,0.985186519069848,1.0062499999999999,0.7044763214276804,0.7109187753689673,0.7437499999999999,0.1322194325823851,0.11321850726808995,163,0.5263137805344962,0.11226663313127783,351,0.07692307692307693
bigc1v725s2,cubic,20260723,1873,0.0635,0.0635,0.0,0.1847303790710091,4.187399893219434,0.24623444662737395,0.6061742945835119,1.020521865541245,7,0.6414901720144117,8,114.19189633393583,17,1.0453516192836183,1.0549412718760431,1.09375,0.7614782355302674,0.7671543487286596,0.83125,0.129559242565516,0.12155018263124846,153,0.5597062689128466,0.14317383428792033,376,0.21808510638297873
qccbigs2,lq,20260723,1937,0.0315,0.0315,0.0,0.21270005162622613,4.1424883840991225,0.2459016393442623,0.6147811035163682,1.0289388268350057,7,0.6085169442838478,8,120.39809676844392,17,0.9994909980105249,1.0013950588162512,1.09375,0.702073998084783,0.708283566155423,0.7437499999999999,0.13800996554634,0.12833091026086726,150,0.5224311178898631,0.1170465318967628,375,0.13333333333333333
bigc1v725s3,cubic,20260724,1858,0.071,0.071,0.0,0.18783638320775026,4.053821313240043,0.24850894632206763,0.5191587324227492,1.018892194220141,7,0.6213660625465254,8,129.22027644782082,17,1.019669464204038,1.025254417378582,1.0062499999999999,0.7498035860406089,0.7607677073221122,0.7437499999999999,0.1258712749679429,0.12160089130205581,174,0.561116973245565,0.12581197612299239,375,0.15733333333333333
qccbigs3,lq,20260724,1923,0.0385,0.0385,0.0,0.2064482579303172,4.009880395215808,0.25884665792922673,0.5041535255686371,1.0249075033421866,7,0.6175914439482838,8,143.09889262616935,17,0.9757497324955112,0.982890713255261,1.0062499999999999,0.6899020826543854,0.6954615905844014,0.65625,0.12934330101728786,0.12144386768708049,154,0.5289292756055833,0.11440157230936926,395,0.07088607594936709
bigc1v725s4,cubic,20260725,1869,0.0655,0.0655,0.0,0.19154628143392188,3.9165329052969504,0.24619457313037726,0.5595132762242976,1.00724929360983,7,0.6469192851056362,8,136.32422437690474,17,1.0285866024204322,1.0305325888771488,1.0062499999999999,0.7510422802045756,0.7546903366844571,0.7437499999999999,0.12860819465861809,0.11996058311980938,188,0.5478732359748258,0.12949639418585257,372,0.1693548387096774
qccbigs4,lq,20260725,1931,0.0345,0.0345,0.0,0.21905748316934232,3.8783013982392545,0.24469496021220163,0.48050006912712573,1.0063716095109143,7,0.5857764010071471,8,161.25088974002324,17,0.9799000494033809,0.9883728447519694,1.0062499999999999,0.6854050964079785,0.701253060835107,0.7437499999999999,0.13451961426181336,0.1314948196656183,175,0.5269802664182776,0.10495633689390733,369,0.0921409214092141
bigc1v725s5,cubic,20260726,1868,0.066,0.066,0.0,0.180406852248394,3.9914346895074946,0.24624428478118876,0.4821879969564085,0.9744958590828633,7,0.6521986611962516,8,123.00110957233593,17,1.03911420173646,1.0486754123284912,1.09375,0.7461072424735138,0.7538575409295833,0.83125,0.12360962475716752,0.1240034661904909,177,0.5546370357946643,0.11579871121731582,377,0.19363395225464192
qccbigs5,lq,20260726,1926,0.037,0.037,0.0,0.2087227414330218,3.927829698857736,0.2401574803149606,0.487385481660109,1.0062769221388566,7,0.584946418672242,8,123.59472153914992,17,0.997639997797335,0.9991115854025632,1.09375,0.6897488552377017,0.6889870309449461,0.65625,0.127092873294407,0.1259121762105662,175,0.5143366847444213,0.10986485292941396,366,0.10109289617486339
cubic_pool,cubic,-,9330,0.067,0.067,0.0,0.1872454448017149,4.067631296891747,0.24330739812739022,0.5713217661312104,1.0109642104787544,7,0.6312710047460899,8,241.96878387522167,17,1.0341283321444128,1.0376410671155416,1.0062499999999999,0.7538782256911463,0.7621748311098042,0.7437499999999999,0.12763323435963714,0.12026775322780205,866,0.5572017945230753,0.1305470008140367,1845,0.18753387533875338
lq_pool,lq,-,9635,0.0365,0.0365,0.0,0.2127659574468085,4.008406850025947,0.2446934739617666,0.5484043966487753,1.0226446630766084,7,0.6012769467194939,8,277.26863075934784,17,0.9873807710533794,0.9923984004497303,1.0062499999999999,0.6939212131936121,0.7013444510092599,0.7437499999999999,0.1324833453319991,0.12440621213592602,817,0.5236712225303971,0.11139322531704521,1856,0.09482758620689655
