label,seed,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_SD,above115_n1,KE1_n,KE2_n,n_marg,n1_B,nbar_B,w1_B,gate_B,md_gate_A,policy_blocked,twin_trap,twin_supp,twin_nbar,twin_n1,twin_w1,twin_KE1,twin_KE2,twin_deepKE,twin_midHot,twin_phi,twin_gate,tmd_KE1,tmd_n1,tmd_nbar,d_KE1_h405bat,d_KE1_h405p,d_w1_h405bat,d_trap_h405bat,flow_new_trap,flow_freed,flow_R_med,flow_depth_med,flow_v0_med,flow_h405_n_med
s1,20260731,945,0.055,0.053,0.002,0.06031746031746032,3.912169312169312,0.19369369369369369,1.0829578743577981,0.8878454212280057,7,0.3328002975813928,6,234.06090995873208,14,0.635488555933928,0.6354079132970163,0.65625,0.5226064960816542,0.5230423019619841,0.48124999999999996,0.04646372187633497,0.0,172,178,2,0.1932584269662921,3.9429778247096094,1.0580590991781227,1,1,0,0.0476,0.0456,4.576,0.1966,0.6857,0.6153,0.5155,0.6444,1.0144,0.985,1.0,-0.020188555933927987,0.002906306306306311,0.6638306878306874,-0.005132162005516139,-0.0016366854291599564,0.31768284540062,-0.023,1,9,52.5860633226834,-30.79296179425417,0.00038521950469594304,15.0
s2,20260812,932,0.068,0.068,0.0,0.0407725321888412,4.104077253218884,0.17337807606263983,1.116341081326988,0.8925089322240818,7,0.3690621391214182,6,241.0897797935995,15,0.6367430201740916,0.6327364365493341,0.65625,0.5257011099082288,0.5268092438975939,0.5687499999999999,0.046239187884700814,0.0,155,175,0,0.17337807606263983,4.104077253218884,1.116341081326988,0,0,0,0.0476,0.0456,4.576,0.1966,0.6857,0.6153,0.5155,0.6444,1.0144,0.985,1.0,-0.02144302017409161,0.023221923937360167,0.47192274678111534,-0.003877697765352517,-0.0003822211889963345,0.3510660523698099,-0.009999999999999995,,,,,,
s3,20260813,937,0.063,0.063,0.0,0.052294557097118465,3.9647812166488796,0.20945945945945946,1.0536785950785181,0.8912683778781063,7,0.412257173638922,6,173.1105622625725,14,0.6324237767469647,0.6301500049061115,0.65625,0.5290313687827892,0.5266612160983636,0.5687499999999999,0.047870836757978624,0.0,186,161,0,0.20945945945945946,3.9647812166488796,1.0536785950785181,1,1,0,0.0476,0.0456,4.576,0.1966,0.6857,0.6153,0.5155,0.6444,1.0144,0.985,1.0,-0.017123776746964747,-0.01285945945945946,0.61121878335112,-0.008196941192479379,-0.0047014646161231965,0.28840356612134,-0.015,,,,,,
pooled,-,2814,0.062,0.06133333333333333,0.0006666666666666666,0.0511727078891258,3.9932480454868515,0.19213483146067414,1.0794074137848648,0.8908930322215594,7,0.37618368811492514,6,339.0766767050198,15,0.6347563786014722,0.6330644607480164,0.65625,0.5256725698647929,0.5257633232466765,0.5687499999999999,0.04685613785793748,0.0,513,514,2,0.19199101796407184,4.003551136363637,1.0711166918579316,1,1,0,0.0476,0.0456,4.576,0.1966,0.6857,0.6153,0.5155,0.6444,1.0144,0.985,1.0,-0.019456378601472202,0.004465168539325853,0.5827519545131481,-0.005864339337971924,-0.002368862761615742,0.3141323848276867,-0.016,,,,,,
h405p,20260731,937,0.063,0.061,0.002,0.21558164354322304,3.7481323372465316,0.2054421768707483,0.7675227651983754,0.9466348995660248,7,0.47171880412104417,7,267.3376002321577,16,0.6371252413630879,0.639698461126461,0.65625,0.5511089418158279,0.5555929159365276,0.5687499999999999,0.0368148056718351,0.0,151,112,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
