leg,config,n,weight,mean_KE_eV
s2,s2c1v65t32e21,1,0.0376,1.6412
s2,s2c1v65t32e21,2,0.1581,1.4866
s2,s2c1v65t32e21,3,0.1405,1.2993
s2,s2c1v65t32e21,4,0.1017,1.1526
s2,s2c1v65t32e21,5,0.0909,1.0274
s2,s2c1v65t32e21,6,0.0843,0.9026
s2,s2c1v65t32e21,7,0.0771,0.7743
s2,s2c1v65t32e21,8,0.0653,0.6425
s2,s2c1v65t32e21,9,0.056,0.5124
s2,s2c1v65t32e21,10,0.0468,0.4043
s2,s2c1v65t32e21,11,0.0376,0.3003
s2,s2c1v65t32e21,12,0.0309,0.2189
s2,s2c1v65t32e21,13,0.022,0.1698
s2,s2c1v65t32e21,14,0.0169,0.132
s2,s2c1v65t32e21,15,0.0128,0.1042
s2,s2c1v65t32e21,16,0.0094,0.082
s2,s2c1v65t32e21,17,0.0064,0.064
s2,s2c1v65t32e21,18,0.0036,0.0484
s2,s2c1v65t32e21,19,0.0015,0.0303
s2,s2c1v65t32e21,20,0.0005,0.0257
s2,s2c1v65t32e23,1,0.1725,1.5014
s2,s2c1v65t32e23,2,0.1572,1.2866
s2,s2c1v65t32e23,3,0.1249,1.1165
s2,s2c1v65t32e23,4,0.0857,0.9829
s2,s2c1v65t32e23,5,0.0786,0.864
s2,s2c1v65t32e23,6,0.0703,0.7518
s2,s2c1v65t32e23,7,0.0615,0.625
s2,s2c1v65t32e23,8,0.0523,0.5165
s2,s2c1v65t32e23,9,0.0451,0.4007
s2,s2c1v65t32e23,10,0.0361,0.3134
s2,s2c1v65t32e23,11,0.0308,0.2318
s2,s2c1v65t32e23,12,0.0237,0.1769
s2,s2c1v65t32e23,13,0.0182,0.1395
s2,s2c1v65t32e23,14,0.0141,0.1138
s2,s2c1v65t32e23,15,0.0113,0.0924
s2,s2c1v65t32e23,16,0.0076,0.0707
s2,s2c1v65t32e23,17,0.0054,0.0564
s2,s2c1v65t32e23,18,0.0033,0.0435
s2,s2c1v65t32e23,19,0.0011,0.0278
s2,s2c1v65t32e25,0,0.0769,1.5425
s2,s2c1v65t32e25,1,0.2294,1.3347
s2,s2c1v65t32e25,2,0.1367,1.113
s2,s2c1v65t32e25,3,0.1059,0.9606
s2,s2c1v65t32e25,4,0.0742,0.8323
s2,s2c1v65t32e25,5,0.0652,0.7311
s2,s2c1v65t32e25,6,0.0574,0.6166
s2,s2c1v65t32e25,7,0.0497,0.5115
s2,s2c1v65t32e25,8,0.0431,0.4028
s2,s2c1v65t32e25,9,0.0355,0.3183
s2,s2c1v65t32e25,10,0.0288,0.2487
s2,s2c1v65t32e25,11,0.0253,0.187
s2,s2c1v65t32e25,12,0.0194,0.1476
s2,s2c1v65t32e25,13,0.0156,0.1216
s2,s2c1v65t32e25,14,0.0123,0.0962
s2,s2c1v65t32e25,15,0.0092,0.0807
s2,s2c1v65t32e25,16,0.0069,0.0658
s2,s2c1v65t32e25,17,0.0047,0.0501
s2,s2c1v65t32e25,18,0.0024,0.0363
