label,num_scored,trap,trap_bound,trap_marg,supp,nbar_det,n1_solv,w1_solv,midHot,midHot_bins,deepKE,deepKE_bins,chi2_med,ke_npts,R_q50,depth_mean_A,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_SD,above115_n1,KE1_n,KE2_n,n_marg,n1_B,nbar_B,w1_B,gate_B,form,a,v_c,well,tau,E0,twin_trap,twin_supp,twin_nbar,twin_n1,twin_w1,twin_KE1,twin_KE2,twin_deepKE,twin_gate,d_n1_twin,d_nbar_twin,d_KE1_twin,md_gate_A,policy_blocked,d_KE1_h405,d_KE2_h405,flow_new_trap,flow_freed,flow_R_med,flow_depth_med,flow_v0_med,flow_h405_n_med,survivor,success
lr1,1000,0.0,0.0,0.0,0.093,3.979,0.20286659316427783,0.9476666648446934,1.9760411137098417,7,2.3722619558375277,6,2159.548147441031,15,47.7849883068193,34.71102843241746,0.9033279756549725,0.9027886225809392,0.91875,0.8347003119452033,0.8336873496777919,0.83125,0.033333295499566,0.0,184,149,0,0.20286659316427783,3.979,0.9476666648446934,1,lin,27.5,-,eb0482,4.8,0.35,0.0013,0.0767,4.488,0.1988,0.6729,0.8922,0.827,3.375,1,0.004066593164277821,-0.5090000000000003,0.011127975654972477,1,0,0.26620273429188457,0.2835913701293754,0,63,nan,nan,nan,nan,1,1
lr2,996,0.004,0.004,0.0,0.08634538152610442,3.9839357429718874,0.20219780219780217,0.9700348148864925,1.8431950041122072,7,1.9178916286106962,6,1670.7010046328685,15,47.7849883068193,34.71102843241746,0.8672151055048762,0.8663665548235173,0.83125,0.7961119920071486,0.7935710993498225,0.83125,0.033972766293334795,0.0,184,151,0,0.20219780219780217,3.9839357429718874,0.9700348148864925,1,lin,27.5,-,eb1168,4.8,0.35,0.0031,0.074,4.507,0.1965,0.6897,0.8546,0.7885,2.8414,1,0.005697802197802165,-0.5230642570281123,0.012615105504876212,1,0,0.23008986414178834,0.24500305019132063,0,59,nan,nan,nan,nan,1,1
lr3,997,0.003,0.003,0.0,0.12437311935807423,3.893681043129388,0.20847651775486825,0.8770020744310724,1.7437147913690514,7,1.6647114080370413,7,1540.4659535731746,15,47.7849883068193,34.71102843241746,0.8294974841764529,0.8288309379352057,0.83125,0.7567793101037974,0.757801483754749,0.7437499999999999,0.03343255721082638,0.0,182,143,0,0.20847651775486825,3.893681043129388,0.8770020744310724,1,lin,30.0,-,eb0482,4.8,0.36,0.003,0.1067,4.423,0.2083,0.5871,0.817,0.7491,2.7296,1,0.0001765177548682384,-0.529318956870612,0.012497484176452911,1,0,0.19237224281336496,0.20567036828796947,0,60,nan,nan,nan,nan,1,1
lr4,991,0.009,0.009,0.0,0.12008072653884964,3.8718466195761856,0.20183486238532108,0.9241859389917432,1.6108460270154736,7,1.455931114043947,7,1043.2923110400225,14,47.7849883068193,34.71102843241746,0.7947927113410739,0.7935792274564968,0.83125,0.7200081653740711,0.7196491471974108,0.7437499999999999,0.03355906136393836,0.0,176,150,0,0.20183486238532108,3.8718466195761856,0.9241859389917432,1,lin,30.0,-,eb1168,4.8,0.36,0.0076,0.1036,4.413,0.2067,0.624,0.7801,0.7114,2.2312,1,-0.0048651376146789105,-0.5411533804238147,0.01469271134107386,1,0,0.15766746997798597,0.16889922355824316,0,54,nan,nan,nan,nan,1,1
lr5,993,0.007,0.007,0.0,0.1107754279959718,4.1097683786505534,0.19818799546998866,0.8556142686706599,1.5943018874803319,7,1.290826820988077,8,1284.6358897814348,16,47.7849883068193,34.71102843241746,0.7861340349884861,0.7872104794845957,0.7437499999999999,0.7108968141245612,0.710096985146445,0.7437499999999999,0.03456894679445316,0.0,175,139,0,0.19818799546998866,4.1097683786505534,0.8556142686706599,1,lin,32.5,-,eb0482,4.8,0.36,0.007,0.0954,4.686,0.1958,0.6093,0.7725,0.7019,2.3022,1,0.002387995469988663,-0.5762316213494465,0.013634034988486143,1,0,0.1490087936253982,0.15978787230873326,0,56,nan,nan,nan,nan,1,1
lr6,989,0.011,0.011,0.0,0.1435793731041456,4.0333670374115265,0.20188902007083825,0.7847867126171159,1.3933414038158074,7,0.9509484744422009,8,794.8393927745956,17,47.7849883068193,34.71102843241746,0.714557873711795,0.7137131595544934,0.7437499999999999,0.6398982238982414,0.6411097665913621,0.65625,0.033800643056952025,0.0,171,130,0,0.20188902007083825,4.0333670374115265,0.7847867126171159,1,lin,35.0,-,eb0482,4.8,0.37,0.0128,0.1242,4.625,0.2008,0.5857,0.7027,0.6322,1.8634,1,0.001089020070838248,-0.5916329625884735,0.01185787371179503,1,0,0.07743263234870712,0.08878928208241343,0,52,nan,nan,nan,nan,1,0
lr7,1000,0.0,0.0,0.0,0.191,3.376,0.23485784919653896,0.9458587442592962,1.8419762401251525,7,2.1819089619892025,6,1794.6840382882244,15,47.7849883068193,34.71102843241746,0.8465767467797097,0.8464145467537971,0.83125,0.7798545085946478,0.7770504768524817,0.7437499999999999,0.030420374855588506,0.0,190,144,0,0.23485784919653896,3.376,0.9458587442592962,0,lin,27.5,-,eb0482,4.8,0.37,0.0013,0.1685,3.838,0.2397,0.5836,0.8366,0.7733,3.1395,0,-0.004842150803461037,-0.4620000000000002,0.009976746779709722,0,0,0.20945150541662183,0.22874556677881985,0,63,nan,nan,nan,nan,0,0
h405p,937,0.063,0.061,0.002,0.21558164354322304,3.7481323372465316,0.2054421768707483,0.7675227651983754,0.9466348995660248,7,0.47171880412104417,7,267.3376002321577,16,47.7849883068193,34.71102843241746,0.6371252413630879,0.639698461126461,0.65625,0.5511089418158279,0.5555929159365276,0.5687499999999999,0.0368148056718351,0.0,151,112,2,0.20488466757123472,3.779552715654952,0.7465017109150603,1,capped,-,5.5,eb1168,4.4,0.405,nan,nan,4.484,0.2083,0.7025,0.6236,0.5407,nan,1,-0.002857823129251702,-0.7358676627534684,0.013525241363087859,0,1,0.0,0.0,,,,,,,-,-
