a,j0,w_j,P0_twin,P_strip0,P_surv1,P_surv2,twin_ratio,nbar_det,nbar_det_repsd,n1_solv,n1_solv_repsd,bin0,bin0_repsd,w1_solv,w1_solv_repsd,midHot,midHot_repsd,deepKE,deepKE_repsd,KE1_mean,KE1_mean_repsd,KE1_sd,KE1_sd_repsd,KE2_mean,KE2_mean_repsd,KE1_conv,KE1_conv_repsd,conv_n0_frac,conv_n0_frac_repsd
1.0,1.0,0.5,1.0,0.4312407691214906,0.49873755776193923,0.06875610054951087,0.8646647167633872,3.3003377144943413,0.02216781659275515,0.32138868187747566,0.009142047069202682,0.18178395399780944,0.008160828260484244,0.8577378386381157,0.03460358662797795,0.7945972054639223,0.00831094747151225,0.4788594313135837,0.030058652874476757,0.6453489656204857,0.004044847988673435,0.12494735338962386,0.004063803435397246,0.5147515674427322,0.00783757619251063,0.7747683498701008,0.003394105617620848,0.4311377245508982,0.022574743846893033
1.0,1.0,1.0,1.0,0.2979864430906633,0.4714076115748238,0.2005646408261146,0.6321205593078669,3.4658976816356337,0.021862282153503675,0.3042989296986658,0.007231091447059434,0.12690534866739686,0.007444699788578896,0.9318475445392216,0.030391088554585704,0.8287193260485813,0.009213366958800226,0.4878438175785867,0.02821678210001026,0.6501432161262466,0.004979430584925804,0.11489614434675814,0.003335835644569745,0.5692682338302016,0.00818422628143932,0.7735428680448813,0.0035300255064488134,0.30719810379241513,0.032941309537220125
1.0,1.0,1.5,1.0,0.20027773329205628,0.4116001088184277,0.2869654787394849,0.4865832855753844,3.6185879883169036,0.023156749660825614,0.2819346682101356,0.007644271264358355,0.08643665571376413,0.006597261679264147,0.9843420001924873,0.019036121196558436,0.8631710515752595,0.008810154978124683,0.49564949061053626,0.040881442519830766,0.6524288964912578,0.004516380104094645,0.10678781510031898,0.0035323604635265834,0.5958522431891357,0.009089277654751744,0.7727547521470921,0.00433289982627156,0.20334331337325348,0.022531050298658446
1.0,1.0,2.0,1.0,0.13368473066555683,0.33974959615686784,0.32598084070932193,0.39348017533428487,3.766691767068273,0.021482382575583898,0.2602024766679783,0.00683074161348878,0.056692679810149686,0.004883922188871144,1.0009515112490017,0.02006851473752693,0.8981330682776791,0.0087486269484031,0.49893677476697945,0.03714806980456908,0.652264753892492,0.004035855160691738,0.09844036579692306,0.004564945491716316,0.6083683469702423,0.0067516591430795015,0.7735778571491524,0.005827562468261523,0.13566616766467066,0.018957500179949807
1.0,1.5,0.5,1.0,0.18583794296842582,0.5842263407025495,0.21893479029450555,0.31809237280357844,3.53733114275283,0.022588275166369364,0.3299081816083896,0.008237864730279753,0.0792259948886455,0.005823556767893781,1.0468234512869532,0.030964514668119412,0.8296198653085766,0.007786087615664753,0.4941010302630325,0.03690661435554991,0.65963942807142,0.003409799850558486,0.11238134376217908,0.0035682496635943057,0.5768865041152126,0.009401819412115263,0.773928865948084,0.0033628880187340894,0.18637724550898205,0.021057949644624277
1.0,1.5,1.0,1.0,0.1693630429501379,0.44173923355401395,0.3098639079424187,0.3834004998549193,3.6378810697334796,0.022146045667943776,0.2914326147733029,0.008629292415805973,0.07141064257028112,0.007084560124498245,1.0086160092531966,0.02084206934385429,0.8604122667900375,0.008876161911808898,0.49236895679777654,0.03460506640935902,0.6541225434813888,0.0042414018367340845,0.10607335260035033,0.003802826090512643,0.60175277334476,0.007962563248656896,0.7734422114138285,0.004231891592890302,0.17034680638722555,0.02256831845213133
1.0,1.5,1.5,1.0,0.12326137425309613,0.35353681587600777,0.3439962021480432,0.3486521593166305,3.7651515151515156,0.0183034394528061,0.26314194157483106,0.008349714962098903,0.05190078495801387,0.00505376260855562,1.0128250270578665,0.020197066400665552,0.8930196744829524,0.009993551335254971,0.4919002188416124,0.03266827325153827,0.6530991596415349,0.003448151283167708,0.09883327494006793,0.0034740188892265827,0.6123933892766593,0.006947333373336095,0.7748518002729045,0.005620974884234638,0.12655938123752494,0.020048701476659467
1.0,1.5,2.0,1.0,0.08540360549480723,0.278693583581288,0.34334736339485034,0.3064426686734147,3.8896951442132166,0.02299300218313869,0.2429086513419907,0.006758434957201583,0.03592780211756116,0.004917451211197422,1.0167137660510328,0.02156263643431113,0.9318090373134352,0.011785148446931607,0.496266815898785,0.035228510399497245,0.651311351768098,0.003615670770924826,0.09176183114211216,0.003326618515381337,0.6145633445010982,0.005313799671109166,0.775237156469066,0.005674136402173834,0.08501746506986028,0.015609231345826194
1.0,2.0,0.5,1.0,0.05140515977434706,0.4392865835545413,0.4474825116468895,0.11701964434787855,3.76085021905805,0.01638624542254913,0.2838105120211004,0.0051476947996163,0.021415206279664114,0.0029723059462652404,1.0984620475711795,0.01657096989172604,0.8681291912866578,0.007419823855043094,0.49123171896627776,0.029826401126264605,0.6603882262577198,0.002725294580946578,0.09673227301554994,0.00300838934062057,0.6269991981670099,0.005575109692677097,0.772785873134341,0.0036266373835045383,0.05170908183632735,0.011939995155753762
1.0,2.0,1.0,1.0,0.08014089771897488,0.34462657918358447,0.3985667181647728,0.23254415811115772,3.815146951442132,0.021791010985012425,0.26123910579794835,0.0066583627097924975,0.03316675794085433,0.0037381245122082,1.040723206853614,0.02030444708186546,0.8950133177838344,0.008997421158769916,0.49078143537712543,0.03217633043431793,0.6543219679695388,0.004285939643896521,0.09634104224887279,0.0031540913323329194,0.6229019658459605,0.006112644463793661,0.7747499173140175,0.005261081810625782,0.07647205588822355,0.014483865913795578
