leg,ladder,v_c,p_tail,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,trapped_frac,suppressed_frac,nbar_det,pred_md_nbar,n1_solv,w1_solv,midhot_geo,deepke,n1_ke_eV,S_measured,S_provisional,gate_n1,gate_nbar,gate,pareto
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.8,1,0.295,20000,0.9113,0.0887,0.025,4.62,4.1,0.1941,0.6474,0.6817,0.4351,0.6288,18.7496,9.8298,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,5.6,0,0.335,20000,0.8749,0.1251,0.083,4.482,3.996,0.2109,0.6483,0.6806,0.5232,0.5557,18.8234,8.5238,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.6,0,0.33,20000,0.9945,0.0055,0.1001,4.142,3.737,0.2433,0.4928,1.478,1.0652,0.827,18.8282,4.1105,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.0,0,0.335,20000,0.9818,0.0182,0.1338,4.964,4.363,0.2263,0.8419,0.6842,0.7458,0.5556,18.9184,6.2887,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.4,0,0.395,20000,0.9732,0.0268,0.1806,4.193,3.775,0.2202,0.4572,1.4881,1.1549,0.7482,19.0795,4.6754,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,6.4,0,0.32,20000,0.9818,0.0182,0.1042,4.91,4.321,0.2315,0.5942,0.675,0.6974,0.5765,19.1128,6.432,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.365,20000,0.9113,0.0887,0.1573,4.573,4.064,0.2148,0.6806,0.676,0.5582,0.5157,19.1955,8.1657,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,5.2,0,0.35,20000,0.9945,0.0055,0.1414,4.135,3.731,0.2419,0.3631,1.4975,1.1741,0.8033,19.2075,4.6734,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.0,0,0.325,20000,0.9113,0.0887,0.0851,4.538,4.038,0.2206,0.5009,0.6683,0.4961,0.5667,19.4091,8.7762,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,4.8,0,0.405,20000,0.9818,0.0182,0.2383,5.129,4.488,0.1994,1.8446,0.7028,0.9205,0.4863,19.4121,6.3461,1,1,1,0
