tau_ps,tau_flag,E0_eV,n1_solv_f100,nbar_f100,strip_le8_f100,gate_f100,f_gate_lo,f_gate_hi,n1_solv_f025,nbar_f025,gate_f025,n1_ok_fge025,gate_ok_fge025
3.2,0,0.39,0.0003,15.222,0.0625,0,nan,nan,0.3918,0.811,0,1,0
3.2,0,0.4,0.0004,15.077,0.0705,0,nan,nan,0.4115,0.693,0,1,0
3.2,0,0.41,0.0007,14.932,0.08,0,nan,nan,0.4286,0.587,0,1,0
3.2,0,0.42,0.0009,14.784,0.0897,0,nan,nan,0.4535,0.496,0,1,0
3.2,0,0.43,0.0013,14.641,0.0989,0,nan,nan,0.4699,0.418,0,1,0
3.2,0,0.44,0.0017,14.496,0.1081,0,nan,nan,0.4926,0.35,0,1,0
3.2,0,0.45,0.0025,14.352,0.118,0,nan,nan,0.5199,0.292,0,1,0
3.2,0,0.46,0.0034,14.209,0.1272,0,nan,nan,0.5477,0.242,0,1,0
3.2,0,0.47,0.0042,14.066,0.1367,0,nan,nan,0.5835,0.199,0,1,0
3.2,0,0.48,0.0058,13.922,0.1458,0,nan,nan,0.633,0.163,0,1,0
3.2,0,0.49,0.007,13.779,0.156,0,nan,nan,0.6783,0.133,0,1,0
3.2,0,0.5,0.0078,13.64,0.1656,0,nan,nan,0.7223,0.107,0,1,0
3.2,0,0.51,0.0091,13.5,0.1749,0,nan,nan,0.7651,0.085,0,1,0
3.2,0,0.52,0.0102,13.363,0.1852,0,nan,nan,0.7995,0.067,0,1,0
4.8,0,0.17,0.0,16.297,0.0,0,nan,nan,0.0,8.136,0,0,0
4.8,0,0.18,0.0,16.027,0.0001,0,nan,nan,0.0,7.386,0,0,0
4.8,0,0.19,0.0,15.752,0.0006,0,nan,nan,0.0,6.641,0,0,0
4.8,0,0.2,0.0,15.48,0.0017,0,nan,nan,0.0,5.898,0,0,0
4.8,0,0.21,0.0,15.211,0.0048,0,nan,nan,0.0003,5.183,0,0,0
4.8,0,0.22,0.0,14.94,0.0107,0,nan,nan,0.0133,4.505,0,0,0
4.8,0,0.23,0.0,14.668,0.0197,0,nan,nan,0.0775,3.864,0,0,0
4.8,0,0.24,0.0,14.4,0.0307,0,nan,nan,0.1881,3.276,0,0,0
4.8,0,0.25,0.0,14.128,0.046,0,nan,nan,0.2879,2.74,0,1,0
4.8,0,0.26,0.0,13.856,0.0644,0,nan,nan,0.3514,2.244,0,1,0
4.8,0,0.27,0.0,13.586,0.0861,0,nan,nan,0.395,1.802,0,1,0
4.8,0,0.28,0.0001,13.315,0.1068,0,nan,nan,0.4267,1.427,0,1,0
4.8,0,0.29,0.0001,13.046,0.1293,0,nan,nan,0.4572,1.121,0,1,0
4.8,0,0.3,0.0003,12.776,0.1523,0,nan,nan,0.4894,0.866,0,1,0
4.8,0,0.31,0.0005,12.508,0.1759,0,nan,nan,0.5272,0.664,0,1,0
4.8,0,0.32,0.0009,12.237,0.2008,0,nan,nan,0.5714,0.505,0,1,0
4.8,0,0.33,0.002,11.974,0.2237,0,nan,nan,0.6145,0.378,0,1,0
4.8,0,0.34,0.0039,11.705,0.2464,0,nan,nan,0.669,0.277,0,1,0
4.8,0,0.35,0.0067,11.443,0.2681,0,nan,nan,0.7418,0.198,0,1,0
4.8,0,0.36,0.0097,11.18,0.2896,0,nan,nan,0.8166,0.139,0,1,0
4.8,0,0.37,0.0134,10.924,0.3109,0,nan,nan,0.8829,0.096,0,1,0
4.8,0,0.38,0.0177,10.665,0.3319,0,nan,nan,0.9209,0.063,0,1,0
4.8,0,0.39,0.0219,10.415,0.352,0,nan,nan,0.9393,0.038,0,1,0
4.8,0,0.4,0.0268,10.166,0.3702,0,nan,nan,0.9413,0.022,0,1,0
4.8,0,0.41,0.0331,9.918,0.3885,0,nan,nan,0.9439,0.011,0,1,0
4.8,0,0.42,0.0393,9.675,0.4061,0,nan,nan,0.9571,0.005,0,1,0
4.8,0,0.43,0.0445,9.446,0.423,0,nan,nan,0.9552,0.003,0,1,0
4.8,0,0.44,0.0518,9.209,0.4393,0,nan,nan,1.0,0.001,0,1,0
4.8,0,0.45,0.0566,8.982,0.4551,0,nan,nan,1.0,0.001,0,1,0
4.8,0,0.46,0.0609,8.763,0.4706,0,nan,nan,1.0,0.0,0,1,0
4.8,0,0.47,0.0654,8.547,0.4848,0,nan,nan,1.0,0.0,0,1,0
4.8,0,0.48,0.0692,8.333,0.5006,0,nan,nan,1.0,0.0,0,1,0
4.8,0,0.49,0.0721,8.129,0.5147,0,nan,nan,nan,0.0,0,1,0
4.8,0,0.5,0.0763,7.926,0.5289,0,nan,nan,nan,0.0,0,1,0
4.8,0,0.51,0.0808,7.73,0.5411,0,nan,nan,nan,0.0,0,1,0
4.8,0,0.52,0.085,7.541,0.5535,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.17,0.0,14.509,0.0009,0,nan,nan,0.0,6.923,0,0,0
6.4,0,0.18,0.0,14.137,0.0047,0,nan,nan,0.0,6.104,0,0,0
6.4,0,0.19,0.0,13.762,0.0147,0,nan,nan,0.0,5.285,0,0,0
6.4,0,0.2,0.0,13.387,0.0324,0,nan,nan,0.0,4.512,0,0,0
6.4,0,0.21,0.0,13.011,0.0603,0,nan,nan,0.0094,3.791,0,0,0
6.4,0,0.22,0.0,12.639,0.094,0,nan,nan,0.1052,3.12,0,0,0
6.4,0,0.23,0.0,12.265,0.1307,0,nan,nan,0.2748,2.518,0,1,0
6.4,0,0.24,0.0,11.891,0.1702,0,nan,nan,0.4121,1.998,0,1,0
6.4,0,0.25,0.0,11.518,0.2112,0,nan,nan,0.4911,1.505,0,1,0
6.4,0,0.26,0.0001,11.144,0.2508,0,nan,nan,0.5418,1.098,0,1,0
6.4,0,0.27,0.0004,10.769,0.2892,0,nan,nan,0.5969,0.78,0,1,0
6.4,0,0.28,0.001,10.403,0.3271,0,nan,nan,0.658,0.538,0,1,0
6.4,0,0.29,0.0032,10.033,0.3622,0,nan,nan,0.7265,0.365,0,1,0
6.4,0,0.3,0.0076,9.671,0.3956,0,nan,nan,0.8217,0.235,0,1,0
6.4,0,0.31,0.0137,9.313,0.4273,0,nan,nan,0.9077,0.145,0,1,0
6.4,0,0.32,0.0218,8.961,0.4572,0,nan,nan,0.958,0.087,0,1,0
6.4,0,0.33,0.0312,8.615,0.4852,0,nan,nan,0.9715,0.046,0,1,0
6.4,0,0.34,0.0431,8.271,0.5137,0,nan,nan,0.974,0.019,0,1,0
6.4,0,0.35,0.0544,7.943,0.5393,0,nan,nan,0.982,0.006,0,1,0
6.4,0,0.36,0.0683,7.621,0.5632,0,nan,nan,1.0,0.002,0,1,0
6.4,0,0.37,0.0792,7.305,0.5861,0,nan,nan,1.0,0.001,0,1,0
6.4,0,0.38,0.0872,7.004,0.6066,0,nan,nan,1.0,0.0,0,1,0
6.4,0,0.39,0.0968,6.713,0.6274,0,nan,nan,1.0,0.0,0,1,0
6.4,0,0.4,0.1053,6.426,0.6465,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.41,0.1115,6.158,0.6639,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.42,0.119,5.899,0.6804,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.43,0.1231,5.648,0.6965,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.44,0.1281,5.41,0.7113,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.45,0.1326,5.181,0.7275,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.46,0.1363,4.961,0.7415,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.47,0.1416,4.753,0.7539,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.48,0.1434,4.554,0.7676,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.49,0.1471,4.362,0.7798,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.5,0.1489,4.182,0.791,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.51,0.1521,4.008,0.8022,0,nan,nan,nan,0.0,0,1,0
6.4,0,0.52,0.1543,3.836,0.8129,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.17,0.0,11.935,0.0521,0,nan,nan,0.0,5.576,0,0,0
9.6,1,0.18,0.0,11.407,0.1162,0,nan,nan,0.0,4.682,0,0,0
9.6,1,0.19,0.0,10.884,0.1927,0,nan,nan,0.0,3.854,0,0,0
9.6,1,0.2,0.0,10.358,0.2702,0,nan,nan,0.0026,3.087,0,0,0
9.6,1,0.21,0.0,9.831,0.3461,0,nan,nan,0.1555,2.402,0,0,0
9.6,1,0.22,0.0,9.306,0.4134,0,nan,nan,0.4338,1.817,0,1,0
9.6,1,0.23,0.0001,8.788,0.4758,0,nan,nan,0.6264,1.342,0,1,0
9.6,1,0.24,0.0005,8.264,0.5356,0,nan,nan,0.727,0.863,0,1,0
9.6,1,0.25,0.0033,7.758,0.5865,0,nan,nan,0.8225,0.513,0,1,0
9.6,1,0.26,0.013,7.256,0.6319,0,nan,nan,0.9376,0.279,0,1,0
9.6,1,0.27,0.0303,6.77,0.6728,0,nan,nan,0.9857,0.141,0,1,0
9.6,1,0.28,0.0571,6.299,0.7095,0,nan,nan,0.9969,0.058,0,1,0
9.6,1,0.29,0.0875,5.845,0.7447,0,nan,nan,1.0,0.012,0,1,0
9.6,1,0.3,0.116,5.411,0.7759,0,nan,nan,1.0,0.002,0,1,0
9.6,1,0.31,0.1415,4.991,0.8031,0,nan,nan,1.0,0.0,0,1,0
9.6,1,0.32,0.161,4.6,0.8279,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.33,0.1776,4.228,0.8514,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.34,0.1921,3.884,0.8719,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.35,0.2013,3.563,0.8892,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.36,0.2118,3.266,0.9051,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.37,0.2189,2.991,0.9198,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.38,0.2262,2.734,0.9336,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.39,0.2385,2.502,0.9452,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.4,0.2453,2.287,0.9569,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.41,0.252,2.09,0.9665,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.42,0.2586,1.909,0.9739,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.43,0.2629,1.74,0.9805,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.44,0.2677,1.586,0.9858,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.45,0.2729,1.445,0.9896,0,nan,nan,nan,0.0,0,1,0
