v_mps,signal_arb
8.6178,41.7629247897568
17.2356,82.8398349647984
25.8534,122.569693704183
34.4712,161.336856673847
43.089,200.276856462613
51.7068,239.851374053848
60.3246,280.449418494163
68.9424,321.54966817591
77.5602,361.760310251
86.178,399.84325089544
94.7958,436.184505090661
103.4136,473.127135463822
112.0314,512.794866178573
120.6492,553.325632816788
129.267,595.909415048232
137.8848,639.989227337066
146.5026,682.419307388399
155.1204,722.28118789529
163.7382,760.88131391951
172.356,798.750473642098
180.9738,837.47821204109
189.5916,876.818895209921
198.2094,917.484679085871
206.8272,957.354060392807
215.445,998.7868031505
224.0628,1040.02113676753
232.6806,1082.78012686616
241.2984,1125.98508384231
249.9162,1169.33122031634
258.534,1210.03010333455
267.1518,1247.83851071143
275.7696,1284.19562870168
284.3874,1319.88934303186
293.0052,1357.24455931619
301.623,1400.16122563886
310.2408,1445.16670305747
318.8586,1488.61696045192
327.4764,1527.34093315181
336.0942,1559.58797837566
344.712,1581.20515440868
353.3298,1598.51885581037
361.9476,1617.71347572177
370.5654,1641.97801519328
379.1832,1670.31705309502
387.801,1697.64331533718
396.4188,1723.43089418495
405.0366,1748.55516179596
413.6544,1770.19858487921
422.2722,1788.22196238808
430.89,1806.60182765829
439.5078,1826.22013192956
448.1256,1842.31329793714
456.7434,1855.76181064724
465.3612,1868.09578968143
473.979,1879.37940296635
482.5968,1889.44436611712
491.2146,1899.46390860312
499.8324,1911.69499726749
508.4502,1926.50250104818
517.068,1945.59215416411
525.6858,1965.1401472794
534.3036,1982.57344177511
542.9214,1997.95909696585
551.5392,2010.25415179892
560.157,2015.97062575411
568.7748,2021.13408142986
577.3926,2030.28084453097
586.0104,2041.85931015754
594.6282,2053.50519554176
603.246,2063.8840222731
611.8638,2070.748797301
620.4816,2075.15121695129
629.0994,2077.82116199773
637.7172,2082.53033731873
646.335,2089.52325348245
654.9528,2097.24312438493
663.5706,2097.83663761957
672.1884,2094.30353124386
680.8062,2090.49353847695
689.424,2090.22097075633
698.0418,2090.37994715259
706.6596,2091.82237020172
715.2774,2091.31212196286
723.8952,2084.20689465721
732.513,2076.06971341386
741.1308,2072.99935309443
749.7486,2072.84783438262
758.3664,2073.42007230781
766.9842,2074.14156285111
775.602,2068.79846555268
784.2198,2061.78895862172
792.8376,2057.69026036153
801.4554,2052.86465217618
810.0732,2045.78134711001
818.691,2038.03578162163
827.3088,2028.09164961624
835.9266,2014.19589404594
844.5444,1998.07665769843
853.1622,1983.24312067072
861.78,1971.45997423054
870.3978,1965.28277748472
879.0156,1958.3836525975
887.6334,1949.58611918194
896.2512,1940.5894635592
904.869,1933.69048294502
913.4868,1926.43774902254
922.1046,1918.1948239288
930.7224,1908.99579566332
939.3402,1900.75871923494
947.958,1892.3821991572
956.5758,1883.81503055303
965.1936,1876.26332167869
973.8114,1868.93753268253
982.4292,1861.17142963137
991.047,1857.88073047208
999.6648,1856.56304825943
1008.2826,1858.05401541242
1016.9004,1857.32362656309
1025.5182,1851.92587516174
1034.136,1845.90132186346
1042.7538,1840.37014718777
1051.3716,1833.73844411607
1059.9894,1828.40809285975
1068.6072,1824.59883721473
1077.225,1824.33603541565
1085.8428,1824.15159756321
1094.4606,1823.34535202866
1103.0784,1825.79526928066
1111.6962,1827.20603887866
1120.314,1828.98975363081
1128.9318,1838.25848054664
1137.5496,1851.91171307145
1146.1674,1864.7310448812
1154.7852,1876.18990863849
1163.403,1882.6225583876
1172.0208,1886.61678250642
1180.6386,1889.47167804136
1189.2564,1889.56129194211
1197.8742,1889.76249270034
1206.492,1897.48410863889
1215.1098,1914.20880739964
1223.7276,1931.29084166426
1232.3454,1945.25207804473
1240.9632,1961.65090434982
1249.581,1978.46908387584
1258.1988,1995.57682086196
1266.8166,2009.87399815237
1275.4344,2020.49081002298
1284.0522,2029.83475323502
1292.67,2038.58207484055
1301.2878,2040.68990201056
1309.9056,2042.80761552745
1318.5234,2046.89746021643
1327.1412,2051.43036785428
1335.759,2054.95622467736
1344.3768,2056.82903452167
1352.9946,2051.38418555512
1361.6124,2042.45903831696
1370.2302,2028.05016834299
1378.848,2015.43524934564
1387.4658,2004.08149048818
1396.0836,1996.8200817217
1404.7014,1991.6489697155
1413.3192,1990.04787357917
1421.937,1986.43458637614
1430.5548,1981.49330738844
1439.1726,1977.11467245468
1447.7904,1966.87347175671
1456.4082,1950.96496145529
1465.026,1926.31048260233
1473.6438,1901.81762802525
1482.2616,1880.45349330152
1490.8794,1863.99181030483
1499.4972,1847.53045075576
1508.115,1831.09228308001
1516.7328,1816.99831170876
1525.3506,1800.95883820995
1533.9684,1784.00332706126
1542.5862,1762.49517711813
1551.204,1740.31315828361
1559.8218,1716.20431430801
1568.4396,1688.57696865705
1577.0574,1659.57435622972
1585.6752,1632.03404772349
1594.293,1603.99157721235
1602.9108,1575.74542748161
1611.5286,1549.74202117288
1620.1464,1526.52271192811
1628.7642,1503.59610458035
1637.382,1481.03075376334
1645.9998,1455.06252117586
1654.6176,1427.31291407903
1663.2354,1398.7291244035
1671.8532,1373.81031584422
1680.471,1352.79555131275
1689.0888,1339.47098791664
1697.7066,1329.9501159386
1706.3244,1323.97872229932
1714.9422,1318.23519532739
1723.56,1310.86011828775
1732.1778,1296.64615189876
1740.7956,1283.31525194298
1749.4134,1274.20709391057
1758.0312,1268.69279608848
1766.649,1267.44537021601
1775.2668,1265.04992577942
1783.8846,1258.06446154287
1792.5024,1252.23340987087
1801.1202,1243.98282464795
1809.738,1237.2671999551
1818.3558,1238.08649703049
1826.9736,1245.33656399339
1835.5914,1258.26194038282
1844.2092,1269.83912689895
1852.827,1278.88409201196
1861.4448,1286.34443625483
1870.0626,1287.22662152691
1878.6804,1286.66524312928
1887.2982,1290.63358783135
1895.916,1300.93348693229
1904.5338,1312.51779752504
1913.1516,1326.81841292284
1921.7694,1341.73408652726
1930.3872,1351.75126755329
1939.005,1357.9715432424
1947.6228,1365.24573033529
1956.2406,1373.36999472928
1964.8584,1379.86548072292
1973.4762,1387.97005815284
1982.094,1396.44158469991
1990.7118,1402.58347772565
1999.3296,1406.75866005614
2007.9474,1405.63063007812
2016.5652,1402.87624798675
2025.183,1403.02680757795
2033.8008,1407.79506101088
2042.4186,1408.4893870428
2051.0364,1399.76323804027
2059.6542,1388.97931610915
2068.272,1375.14505588627
2076.8898,1358.70369754029
2085.5076,1344.75616334563
2094.1254,1335.63360113868
2102.7432,1328.83107295079
2111.361,1324.16856301527
2119.9788,1316.33914087414
2128.5966,1305.38429001249
2137.2144,1287.84903767415
2145.8322,1271.86519246027
2154.45,1252.29574813977
2163.0678,1234.88401457185
2171.6856,1214.87386694025
2180.3034,1190.5833510346
2188.9212,1162.05555145979
2197.539,1130.3474338683
2206.1568,1099.14618476344
2214.7746,1070.68590721165
2223.3924,1042.51970171246
2232.0102,1014.11900627122
2240.628,984.159758021122
2249.2458,951.456253465274
2257.8636,921.440600815154
2266.4814,891.23275561827
2275.0992,864.225905670927
2283.717,839.315658922702
2292.3348,817.099065261794
2300.9526,796.432219057602
2309.5704,776.296696719068
2318.1882,756.102072106546
2326.806,735.677787920849
2335.4238,716.372060129858
2344.0416,697.607060868451
2352.6594,678.383865224932
2361.2772,663.466669208321
2369.895,646.762490718752
2378.5128,633.973580308031
2387.1306,622.354580509971
2395.7484,615.527368435445
2404.3662,609.538362532144
2412.984,602.734115261277
2421.6018,593.134010416641
2430.2196,582.189265504228
2438.8374,569.802144411498
2447.4552,556.590302296131
2456.073,545.682269978701
2464.6908,538.292399909282
2473.3086,531.346618306162
2481.9264,525.910445928501
2490.5442,524.353654365357
2499.162,523.906596230197
2507.7798,523.59898719492
2516.3976,522.673679408381
2525.0154,523.600696294923
2533.6332,526.337194624949
2542.251,527.12650472879
2550.8688,523.411664361803
2559.4866,523.537397885675
2568.1044,526.17484162649
2576.7222,533.011359555939
2585.34,540.938032846008
2593.9578,545.267598137036
2602.5756,544.605971841634
2611.1934,540.543403786252
2619.8112,532.473303331588
2628.429,527.9605391656
2637.0468,531.285944815541
2645.6646,536.53151842008
2654.2824,539.334071326995
2662.9002,540.024840455631
2671.518,537.74643204128
2680.1358,530.27277866741
2688.7536,520.993427043219
2697.3714,516.038112006462
2705.9892,515.280532142102
2714.607,512.556321500285
2723.2248,506.936386120753
2731.8426,500.648748863724
2740.4604,493.674217160539
2749.0782,487.936991371261
2757.696,481.18615778603
2766.3138,477.447182341782
2774.9316,474.204765395575
2783.5494,468.786403680816
2792.1672,461.787445212671
2800.785,451.685026467124
2809.4028,441.569354850044
2818.0206,432.639974529549
2826.6384,423.459568239788
2835.2562,414.355623300003
2843.874,405.511336939612
2852.4918,393.332593251935
2861.1096,377.708613295645
2869.7274,362.603839127322
2878.3452,347.819168325459
2886.963,330.778151523668
2895.5808,312.130247221433
2904.1986,296.412897497763
2912.8164,281.641931696523
2921.4342,267.697103547079
2930.052,256.096563409428
2938.6698,245.615448310575
2947.2876,233.941164324642
2955.9054,223.003553965636
2964.5232,214.158499931621
2973.141,203.655085443028
2981.7588,191.850780785275
2990.3766,179.396347825113
